"Budget";"Movie_length";"Lead_Actor_Rating";"Lead_Actress_rating";"Director_rating";"Producer_rating";"Trailer_views";"X3D_available";"Genre";"Collection"
35740,87;173,5;9,06;9,125;9,08;9,065;302506;"NO";"Comedy";14400
32635,625;171,4;7,935;4,785;8,065;8,745;480787;"NO";"Thriller";56600
35890,855;149,5;5,305;6,71;8,88;6,845;502413;"YES";"Action";51900
34118,81;165,2;7,91;8,01;7,845;8,275;387496;"YES";"Thriller";30400
33441,1;173,5;8,475;8,685;9,065;7,385;480067;"YES";"Comedy";50600
34452,11;152,2;8,965;9,17;8,94;9,2;439565;"NO";"Drama";21800
37907,32;150;8,975;9,105;8,96;9,375;362317;"NO";"Comedy";16800
36457,465;169,1;8,48;8,665;8,545;8,62;493498;"YES";"Drama";65000
29285,96;167,5;9,005;9,145;9,075;9,305;426057;"NO";"Thriller";26200
37368,485;107;7,25;7,36;7,3;7,29;499995;"YES";"Drama";56000
32724,505;170,8;8,725;9,09;5,45;9,26;406685;"NO";"Comedy";19700
31313,535;173,5;8,1;7,035;8,925;6,855;462958;"NO";"Comedy";41300
31152,44;173,5;8,9;7,1;8,83;9,475;516279;"YES";"Action";52300
35640,88;143,1;8,73;8,09;8,295;8,745;546620;"YES";"Thriller";42500
37740,67;146,2;6,985;8,205;8,165;9,095;473988;"YES";"Drama";43800
35007,61;119,3;6,275;8,31;8,6;9,065;424127;"YES";"Comedy";44600
35063,16;165,4;8,175;9,015;9,08;9,08;458883;"YES";"Thriller";45200
31669,055;81,9;9,26;6,5;8,905;7,07;461313;"YES";"Action";48200
22986,59;126,3;8,1;9,24;7,25;6,66;540602;"YES";"Action";17300
33857,725;150,2;7,9;8,94;8,915;7,385;493047;"YES";"Comedy";27100
35418,68;161,9;8,59;8,885;8,705;8,69;416540;"YES";"Comedy";35400
33141,13;127,5;8,865;8,22;8,965;8,445;540602;"YES";"Thriller";43800
35179,815;156,4;8,87;7,075;8,72;7,08;491978;"YES";"Drama";40000
34485,44;168,5;8,78;8,955;8,845;8,975;420282;"NO";"Comedy";23400
35851,97;171,9;8,925;9,235;8,915;9,225;442884;"YES";"Comedy";34200
46650,89;153,3;8,92;8,35;6,275;6,56;495797;"YES";"Thriller";34600
34402,115;166,1;9,055;9,17;8,955;9,235;437541;"NO";"Thriller";27600
36396,36;94,9;8,22;8,36;8,29;8,385;561219;"YES";"Comedy";63000
36079,725;167,9;7,715;7,825;7,655;7,895;455480;"YES";"Thriller";36800
35579,775;173,5;7,115;6,11;6,295;6,525;418266;"NO";"Comedy";41300
32724,505;163,4;9,19;8,33;8,64;6,665;401740;"YES";"Thriller";25200
35646,435;173,5;8,685;8,91;9,04;9,14;480067;"YES";"Thriller";60500
33841,06;168,5;6,105;8,895;7,7;8,2;467883;"YES";"Thriller";41600
32635,625;168,1;8,65;8,79;8,64;9,07;438703;"NO";"Drama";34800
31202,435;120,7;8,865;8,9;7,82;6,22;493569;"YES";"Action";34100
34174,36;144,1;6,92;6,725;9,095;8,97;437878;"NO";"Thriller";59100
40873,69;145,1;7,88;8,09;7,835;7,9;533135;"YES";"Thriller";63000
37840,66;105,7;7,825;8,04;7,89;8,045;504458;"NO";"Drama";70200
42273,55;89,2;6,825;6,955;6,735;6,95;554735;"NO";"Action";84600
36968,525;166,2;9,08;9,24;9,14;9,365;480695;"YES";"Comedy";48700
39912,675;112,4;7,585;7,785;7,66;7,835;520707;"NO";"Thriller";69800
32535,635;171,7;9,055;9,295;9,08;9,235;380380;"NO";"Thriller";26600
36968,525;107,3;8,25;8,15;9,175;6,89;302506;"YES";"Thriller";44300
33196,68;161,4;8,675;8,85;8,61;8,705;369607;"NO";"Thriller";25400
31980,135;169,3;8,5;7,14;8,855;8,83;471960;"NO";"Thriller";51100
33046,695;170,1;6,65;6,085;6,67;7,07;405787;"YES";"Thriller";40200
34235,465;143,1;8,21;8,325;8,23;8,245;467769;"NO";"Thriller";42800
25103,045;164,5;8,535;8,545;8,195;8,225;382809;"NO";"Action";26200
43440,1;173,5;6,92;8,985;6,41;8,405;504043;"NO";"Drama";48100
33224,455;171,7;8,84;9,145;6,11;9,22;518247;"YES";"Comedy";36600
32707,84;165,9;6,62;7,875;6,565;7,46;450060;"NO";"Thriller";44000
33141,13;147,4;8,02;9,095;8,9;8,955;455145;"YES";"Thriller";50900
37674,01;114,6;8,095;8,15;8,065;8,115;480787;"YES";"Thriller";64000
36696,33;115,7;6,875;6,945;6,795;7,005;507617;"NO";"Action";46600
22986,59;138,7;7,825;8,755;9,195;7,82;456975;"NO";"Comedy";37200
36979,635;173,5;9,22;9,295;9,17;9,26;353054;"NO";"Comedy";34400
40407,07;168,2;6,745;8,645;6,18;7,895;382809;"YES";"Thriller";18500
37362,93;140;8,165;8,31;8,015;8,205;514773;"YES";"Thriller";58000
37540,69;106,4;7,9;8,01;7,81;8,12;510207;"NO";"Thriller";64800
36624,115;163,5;8,96;8,705;7,965;9,315;276179;"NO";"Comedy";34500
36896,31;92,6;6,875;6,4;6,74;9,12;502128;"YES";"Drama";53800
38568,365;156,7;6,68;6,78;8,82;8,265;461695;"YES";"Action";53800
35646,435;139,6;8,43;8,535;8,425;8,425;503147;"YES";"Drama";45200
27775;163;9,105;9,26;9,115;9,48;276179;"NO";"Action";14800
33274,45;152,7;7,625;8,945;6,825;6,905;542840;"NO";"Action";39500
30941,35;171,6;8,035;8,205;7,955;8,21;371051;"YES";"Action";27200
33957,715;158,9;9,08;8,98;8,885;9,22;388265;"NO";"Comedy";36700
34663,2;156;8,175;8,965;8,925;9,14;405787;"NO";"Thriller";41400
35235,365;173,5;9,12;9,33;9,095;9,305;374897;"YES";"Comedy";14400
33113,355;91;7,28;7,4;7,29;7,455;491978;"NO";"Action";43400
37862,88;114;5,685;5,86;5,815;5,99;512129;"YES";"Drama";63200
30013,665;173,5;9,33;9,48;9,18;9,365;329378;"YES";"Thriller";26800
32707,84;156,9;6,645;8,405;9,2;8;367698;"YES";"Comedy";29800
33124,465;119,2;6,46;6,725;6,5;6,685;442225;"YES";"Thriller";39400
36935,195;166,8;9,175;9,445;9,315;9,375;362344;"YES";"Comedy";27800
33135,575;101,2;7,88;8,04;9,04;9,39;489220;"NO";"Thriller";64200
33591,085;173,5;9,035;8,36;9,08;9,05;402133;"YES";"Action";44300
31669,055;171,7;9,11;9,32;8,865;7,49;448615;"YES";"Comedy";29300
36018,62;167,1;8,71;8,85;8,76;9,075;373575;"YES";"Thriller";33400
37740,67;115,8;7,185;7,965;6,015;8,42;480986;"NO";"Comedy";48800
32752,28;95,8;8,745;9,345;9,065;6,95;473988;"NO";"Comedy";38700
39373,84;94,3;6,28;6,5;6,18;6,425;489220;"YES";"Action";64400
29463,72;167,5;8,51;9,125;8,29;8,115;558567;"NO";"Comedy";40600
33057,805;167,3;8,54;8,56;8,46;8,66;411880;"YES";"Comedy";43000
28291,615;171,5;9,015;9,2;9,025;9,115;286130;"YES";"Action";16200
33557,755;144,8;8,31;9,32;8,285;7,28;479856;"YES";"Comedy";36100
32518,97;170,1;9,035;9,105;8,965;9,1;346747;"NO";"Action";21600
35735,315;154,3;9,015;9,24;6,27;6,43;483051;"NO";"Thriller";39700
33107,8;111,3;6,665;6,66;7,645;9,095;450933;"YES";"Thriller";46300
35318,69;126,4;6,445;6,595;6,405;6,485;479264;"YES";"Thriller";44400
36624,115;142,6;8,68;8,775;8,62;8,97;492480;"NO";"Action";44800
21458,965;161,4;8,72;8,985;7,64;6,43;351221;"NO";"Action";8100
35540,89;173,5;7,585;9,23;8,84;9,365;495560;"YES";"Thriller";46200
32930,04;150,2;8,855;4,035;6,405;7,665;524356;"NO";"Thriller";68900
31313,535;164,5;9,175;8,83;7,96;9,185;359760;"YES";"Comedy";47900
42467,975;119,2;7,965;7,785;6,565;8,67;406685;"YES";"Action";56700
35579,775;102,8;7,64;9,195;8,82;8,725;482381;"YES";"Action";44100
37318,49;91;5,96;6,2;5,96;6,23;531248;"YES";"Comedy";52400
34357,675;172,2;8,785;8,9;8,815;8,98;416481;"YES";"Comedy";28200
35457,565;109,2;5,34;5,535;5,285;5,465;539589;"YES";"Drama";49400
30296,97;166,2;8,95;9,215;9,02;9,175;411264;"NO";"Comedy";30400
46312,035;169,7;8,815;8,025;9,1;8,805;480187;"NO";"Action";66000
35140,93;95,4;7,575;8,98;9,05;7,67;496877;"NO";"Thriller";33600
32918,93;116,1;8,725;8,93;8,805;8,78;462430;"YES";"Thriller";49000
32507,86;151,3;9,15;9,38;9,14;9,33;270691;"NO";"Thriller";12600
33535,535;119,8;7,97;9,07;6,235;8,69;387823;"NO";"Comedy";18700
35396,46;172,2;7,32;9,025;9,02;9,42;354854;"YES";"Drama";38000
31280,205;93;8,215;9,07;8,89;8,41;482433;"NO";"Thriller";36900
31135,775;143,7;5,86;6,085;5,86;6,285;405929;"YES";"Comedy";37000
27974,98;170,5;9,01;9,125;9,035;9,29;317358;"NO";"Comedy";19400
27569,465;171,3;9,11;6,24;9,14;8,59;354854;"NO";"Thriller";37300
37096,29;104,6;6,9;7,135;6,965;7,08;534560;"YES";"Thriller";57200
35402,015;165,9;8,175;8,375;8,315;8,405;451935;"YES";"Comedy";46000
35579,775;158,9;8,485;8,725;8,635;8,725;457364;"NO";"Action";37200
32341,21;168,9;8,635;8,79;8,735;8,895;426316;"YES";"Action";36800
41195,88;136;8,085;8,32;8,165;8,435;484613;"NO";"Thriller";66400
38751,68;164,2;8,65;6,945;8,75;8,36;378970;"YES";"Drama";43800
32418,98;165,4;8,815;8,965;8,76;9,04;405008;"YES";"Drama";39000
34918,73;165,3;7,85;7,305;8,425;4,75;416738;"YES";"Comedy";39500
33274,45;142,2;8,615;8,845;9,155;9,58;334417;"NO";"Thriller";23400
37362,93;80,3;6,37;7,27;9,26;7,23;535003;"NO";"Drama";60800
30019,22;162,1;8,005;8,295;8,1;8,27;347413;"NO";"Thriller";38600
30913,575;144,1;8,87;9,005;8,81;9,185;398327;"NO";"Comedy";23400
33479,985;158,6;8,66;8,875;8,735;6,655;399184;"NO";"Drama";30600
35263,14;159,6;8,86;9,105;8,92;9,005;416738;"NO";"Thriller";29000
35102,045;169,6;8,855;8,98;8,88;9,085;473988;"NO";"Comedy";47600
33929,94;108,4;5,815;6,11;5,81;6,155;465288;"YES";"Comedy";48600
38046,195;143,8;8,36;8,555;8,345;8,375;490857;"YES";"Action";56400
32707,84;129,5;8,28;8,515;8,285;8,695;429010;"YES";"Action";46600
32318,99;170,6;7,44;9,125;8,465;8,85;478332;"NO";"Thriller";41400
40195,98;169,5;9,13;9,155;8,44;7,23;483080;"NO";"Thriller";34500
34307,68;146;8,535;8,645;8,5;8,86;432696;"NO";"Comedy";42400
32707,84;121,1;6,3;6,365;6,2;6,5;410055;"YES";"Comedy";37800
37074,07;169,5;9,15;6,4;6,46;9,23;474433;"YES";"Thriller";46500
27252,83;173,5;9,26;9,505;9,36;9,525;237541;"YES";"Comedy";27600
35890,855;150;7,505;6,095;8,635;7,69;353650;"NO";"Thriller";47500
36824,095;168,1;8,925;9,015;8,93;8,88;338798;"NO";"Action";26800
33557,755;123,4;7,535;7,785;7,565;7,67;491464;"NO";"Comedy";40800
31074,67;138,6;8,15;8,31;5,96;5,655;516279;"YES";"Thriller";43600
38107,3;91,3;6,645;9,48;7,285;6,58;416162;"YES";"Comedy";45200
35563,11;168,7;8,85;8,94;8,835;8,85;449755;"NO";"Action";44600
31313,535;168,2;8,85;9,06;8,95;9,175;406685;"YES";"Drama";28600
33257,785;103,2;8,26;8,09;7,73;6,785;498425;"YES";"Action";38500
33496,65;145,2;6,87;8,985;8,655;7,94;496877;"NO";"Drama";30700
34091,035;108;8,1;6,8;8,75;8,36;422013;"NO";"Thriller";40300
33046,695;135,3;7,64;7,705;7,535;7,705;472490;"YES";"Comedy";40800
32185,67;92;9,135;9,005;9,195;8,29;457316;"YES";"Comedy";39300
33963,27;153,3;8,225;8,33;8,12;8,235;435929;"YES";"Comedy";38200
35874,19;172,4;8,815;9,035;8,82;9,095;466796;"YES";"Comedy";38400
32257,885;107,7;6,87;9,295;8,69;7,765;455480;"YES";"Action";32400
36418,58;102,6;7,69;7,86;7,66;7,655;537380;"YES";"Thriller";59600
32341,21;130,3;9,055;8,98;8,345;6,895;437611;"YES";"Thriller";40300
30663,6;119,3;9,135;9,145;6,735;8,555;444948;"YES";"Thriller";31800
33807,73;170,4;6,015;7,255;9,175;9,365;365213;"YES";"Comedy";34700
32163,45;152,7;8,025;9,105;7,615;9,375;544945;"NO";"Action";33500
32518,97;93;8,42;6,41;9,05;8,85;367698;"YES";"Thriller";56700
40368,185;122,5;7,53;7,66;7,515;7,72;490028;"NO";"Drama";66400
38873,89;119,3;6,895;7,035;6,92;7,02;516279;"YES";"Drama";66800
43623,415;89,2;9,02;9,46;8,895;9,21;365213;"YES";"Comedy";65000
34035,485;161,4;8,1;9,17;7,315;9,03;495540;"YES";"Thriller";32000
37918,43;101,1;7,43;7,58;7,54;7,725;516911;"NO";"Thriller";66200
27108,4;111,9;7,375;8,33;7,44;8,87;383739;"NO";"Thriller";33300
35090,935;162,7;7,505;7,825;6,865;8,79;466851;"NO";"Comedy";48300
34129,92;135,7;8,655;8,805;8,605;8,74;461876;"YES";"Thriller";72400
36524,125;96,4;8,96;8,595;5,95;8,805;475124;"NO";"Thriller";45800
33257,785;173,5;8,165;8,185;8,44;8,29;353054;"YES";"Action";43200
32691,175;106,5;6,725;6,805;6,7;6,77;499656;"NO";"Drama";41800
36457,465;132;6,745;9,015;8,545;9,05;496077;"NO";"Action";35700
40268,195;95,4;5,55;5,795;5,605;5,655;512329;"YES";"Thriller";70800
45917,63;151,8;8,52;8,635;8,435;8,62;549160;"YES";"Drama";89600
30019,22;95,3;7,1;9,33;6,92;6,56;492480;"YES";"Thriller";36700
32663,4;161,4;8,75;9,23;6,685;9,195;536791;"YES";"Thriller";42700
36968,525;173,5;9,11;9,12;7,465;7,175;362317;"YES";"Comedy";20000
29285,96;157,6;7,375;9,26;8,06;7,4;302506;"YES";"Thriller";12300
32746,725;93;8,48;6,19;8,705;8,245;512129;"YES";"Comedy";52400
33252,23;161,9;8,935;9,075;8,855;9,155;443766;"YES";"Drama";42800
35718,65;132,2;6,89;7,1;6,885;7,005;498425;"YES";"Comedy";57400
33152,24;157;7,72;7,895;4,69;7,3;503151;"NO";"Drama";40100
33379,995;156,4;6,865;7,035;6,745;6,905;451646;"NO";"Action";37800
33135,575;162,1;8,345;9,225;7,94;8,87;459998;"NO";"Drama";32300
35690,875;106,5;9,185;8,695;8,83;9,43;401981;"NO";"Thriller";50000
36329,7;173,5;8,8;6,11;9,11;8,555;532331;"YES";"Thriller";51800
32713,395;158,6;6,755;8,76;8,71;7,765;426057;"YES";"Thriller";37400
40701,485;168;8,795;8,99;8,895;9,16;450060;"YES";"Comedy";62000
35635,325;152,7;8,75;8,475;8,54;8,075;439085;"YES";"Comedy";26200
29313,735;169,5;6,755;6,505;9,08;8,375;502420;"NO";"Comedy";50600
38212,845;151,2;8,295;8,395;8,31;8,455;470809;"YES";"Action";55000
34285,46;169,6;6,98;7,075;6,875;7,17;400821;"NO";"Drama";44200
31980,135;171,9;8,825;8,86;8,735;8,885;402396;"NO";"Action";31200
34268,795;80,1;7,035;7,27;7,06;7,19;526836;"NO";"Thriller";50600
31835,705;106,4;5,69;7,5;9,36;8,08;540041;"YES";"Comedy";50600
38612,805;167,6;9,25;9,12;8,095;9,41;369811;"NO";"Comedy";32800
37368,485;153,4;8,45;8,66;8,595;8,74;471052;"YES";"Drama";55000
32496,75;165,1;8,68;9,17;8,755;7,53;436753;"YES";"Thriller";20800
34568,765;173,5;9,26;9,435;9,26;9,27;353650;"NO";"Action";20400
33779,955;157,9;8,63;8,76;8,6;8,575;438369;"YES";"Drama";40000
34118,81;76,4;6,825;8,955;6,735;9,205;529498;"NO";"Drama";32900
35440,9;115,9;7,545;8,56;8,395;5,985;374797;"NO";"Thriller";30900
34602,095;161,5;8,865;9,09;8,96;9,185;457225;"NO";"Thriller";42800
35424,235;167,8;6,675;6,845;6,725;7,06;369595;"NO";"Drama";30000
35718,65;172,2;8,725;8,01;9,195;9,115;503965;"NO";"Comedy";55800
35757,535;110,1;5,565;9,04;9,115;7,455;302776;"NO";"Thriller";30800
31091,335;168,4;9,12;9,39;9,205;9,24;347105;"NO";"Comedy";30800
45812,085;143,9;8,09;8,255;8,13;8,225;529841;"YES";"Comedy";96600
32918,93;138;9,26;9,04;9,14;7,29;498425;"YES";"Thriller";34500
35579,775;167,1;6,105;6,955;8,295;9,22;469499;"YES";"Comedy";56900
31569,065;80,1;6,62;8,35;6,5;8,735;533713;"NO";"Action";43400
37540,69;119,2;7,685;9,305;7,22;9,095;384688;"NO";"Thriller";27200
36751,88;131,6;8,185;8,475;8,175;8,425;462490;"NO";"Comedy";56800
36524,125;138,7;7,825;8,095;7,91;7,995;527367;"YES";"Thriller";48000
35457,565;173,5;8,825;9,17;8,72;9,095;515199;"YES";"Thriller";41600
36329,7;105,7;8,345;7,075;8,065;8,85;402950;"YES";"Comedy";63200
34490,995;138,9;8,42;8,56;8,45;8,64;456948;"NO";"Action";42800
34229,91;111,9;6,8;6,965;6,8;6,89;501886;"YES";"Thriller";48200
36835,205;150;7,77;8,05;7,9;7,985;502128;"YES";"Action";50200
32802,275;173,5;8,935;8,805;9,1;6,215;360183;"NO";"Comedy";29100
38007,31;95,4;8,215;9,1;9,18;9,19;499656;"NO";"Thriller";43700
36829,65;96,9;7,375;7,48;7,315;7,595;529498;"NO";"Thriller";55800
30146,985;160,8;8,035;7,17;8,955;7,19;402950;"YES";"Drama";29200
35440,9;173,5;8,46;8,32;7,87;8,75;399297;"YES";"Action";36400
33963,27;147,4;8,085;9,195;8,165;7,985;528366;"YES";"Comedy";48500
34940,95;91,3;6,69;6,785;6,575;6,725;545499;"NO";"Thriller";47000
31496,85;102,3;8,46;8,755;8,465;8,72;394787;"NO";"Action";46200
34241,02;106,6;8,615;9,155;7,515;9,19;480187;"NO";"Comedy";47800
35668,655;152,4;7,505;7,65;7,44;7,47;494055;"NO";"Drama";43200
30019,22;173,5;9,07;9,27;9,115;9,365;466687;"NO";"Thriller";39200
37301,825;105,4;8,76;8,515;7,395;9,07;418275;"YES";"Drama";53800
33791,065;161,5;5,28;9,015;7,58;9,205;401242;"YES";"Thriller";15800
36318,59;125,3;5,815;9,02;4,575;8,725;495540;"NO";"Comedy";19900
33252,23;89,8;8,225;8,255;7,715;6,39;395312;"NO";"Thriller";29700
35851,97;172,4;7,485;6,62;8,88;7,655;437611;"NO";"Comedy";45800
38612,805;168,4;7,535;7,455;5,445;8,955;369595;"NO";"Comedy";30800
34257,685;91,2;8,73;8,995;7,835;6,685;329378;"NO";"Action";34000
42695,73;154,8;9,105;7,925;4,62;9,085;394787;"YES";"Thriller";46800
35735,315;80,3;6,21;7,19;9,16;9,315;402133;"NO";"Thriller";45100
31991,245;173,5;8,935;8,885;6,965;9,03;544945;"YES";"Thriller";40200
33863,28;143;6,62;7,805;9,21;9,165;405929;"NO";"Thriller";48200
33929,94;105,5;5,305;5,495;5,345;5,42;528690;"NO";"Thriller";43800
34168,805;170,8;6,825;8,04;7,35;7,515;467075;"NO";"Drama";30200
31702,385;127,5;8,65;8,865;8,79;8,93;441556;"YES";"Thriller";43600
32724,505;167,4;9,235;8,04;8,365;5,68;454755;"NO";"Comedy";41500
34135,475;168,5;8,73;8,985;8,25;7,935;383325;"NO";"Comedy";35700
34918,73;160,9;7,9;6,78;8,83;8,885;470298;"NO";"Action";67200
36457,465;168;9,26;7,645;9,065;9,435;429010;"NO";"Drama";74800
35735,315;122,6;5,975;6,13;6,055;6,185;504043;"YES";"Thriller";49000
37540,69;141,3;9,235;9,015;8,415;8,95;401512;"YES";"Thriller";37800
34257,685;173,5;8,875;8,675;8,905;8,36;412194;"YES";"Comedy";39900
37562,91;116,9;5,885;6,155;5,95;6,045;469499;"YES";"Action";50000
32974,48;153,8;8,57;8,755;8,595;8,52;402267;"NO";"Comedy";27000
39462,72;171,7;8,8;7,48;9,065;7,06;455196;"YES";"Thriller";58600
35563,11;171,7;8,63;8,775;6,3;8,475;411772;"NO";"Thriller";28300
31735,715;170,5;8,9;9,145;8,885;9,22;416162;"YES";"Thriller";30200
33257,785;173,5;9,135;9,31;9,04;9,335;308973;"YES";"Drama";11200
33713,295;113,5;7,095;7,245;7,05;7,165;471960;"NO";"Thriller";42400
33591,085;162,3;7,75;7,8;7,7;7,845;406866;"YES";"Drama";29600
35052,05;118,5;8,52;7,88;7,285;7,455;496877;"YES";"Comedy";47300
31263,54;173,5;9,09;9,255;9,155;9,47;399297;"YES";"Thriller";31200
37224,055;127,5;7,825;6,82;8,6;6,41;399297;"NO";"Action";37900
32707,84;93;8,39;7,86;6,775;6,39;456271;"NO";"Drama";25700
36318,59;150,5;6,445;7,345;9,02;6,43;547397;"YES";"Thriller";44900
38707,24;129,5;8,965;8,705;7,615;8,995;362344;"NO";"Drama";44000
31091,335;149,5;9,18;8,725;6,73;9,095;472490;"NO";"Drama";63900
29463,72;111,6;7,315;6,79;8,42;8,94;477265;"YES";"Thriller";43100
34296,57;167,1;9,07;9,23;9,065;9,41;354960;"NO";"Drama";28000
34268,795;90,5;6,21;8,875;8,72;6,965;480986;"NO";"Comedy";32500
30724,705;158,9;9,05;9,22;9,185;9,33;312011;"NO";"Comedy";17000
35735,315;135;8,09;5,685;9,015;9,095;405200;"YES";"Comedy";74800
31569,065;173,5;9,235;9,405;9,28;9,23;342621;"YES";"Thriller";10000
37774;83,4;6,77;6,935;6,775;7,08;503965;"NO";"Thriller";62200
27569,465;164,9;8,96;9,225;9,07;9,245;417956;"NO";"Drama";43800
37368,485;163,4;9,235;8,075;8,015;8,425;435929;"NO";"Thriller";49000
34135,475;167,1;9,18;8,595;7,655;7,595;485496;"NO";"Comedy";36200
29991,445;168,8;7,01;7,16;7,02;7,07;264112;"NO";"Comedy";28800
36857,425;103,2;5,69;5,91;5,73;5,985;507911;"YES";"Comedy";49000
19781,355;171,5;8,73;8,675;6,295;9,43;540041;"YES";"Thriller";38700
36546,345;109,4;4,51;4,785;4,575;4,705;528366;"YES";"Thriller";48200
42695,73;90,5;8,225;8,35;8,195;8,475;547397;"YES";"Drama";93400
33791,065;117,2;7,205;7,31;7,26;7,395;448684;"NO";"Comedy";44400
40407,07;111,8;6,235;6,39;6,27;6,485;519868;"NO";"Drama";69200
34618,76;161,4;7,28;6,79;8,015;8,075;504226;"YES";"Drama";40300
31069,115;150;5,925;6,19;5,94;6,035;458708;"NO";"Comedy";35200
33407,77;122;5,88;6,045;5,885;6,165;494404;"YES";"Drama";35000
32907,82;167,6;7,655;7,965;7,64;7,94;414145;"YES";"Drama";31200
42273,55;93,6;9,005;9,005;7,505;6,485;350102;"NO";"Comedy";35300
36751,88;172,3;8,49;8,73;8,965;9,21;504226;"YES";"Action";49500
39873,79;99,8;6,62;6,83;6,7;6,895;515199;"YES";"Drama";72800
30146,985;168,9;8,695;8,835;8,72;8,895;418266;"NO";"Action";27600
34091,035;160,9;8,515;8,79;8,56;8,71;443252;"YES";"Comedy";38600
30019,22;135,3;7,7;8,81;9,28;8,56;528690;"YES";"Comedy";51100
36363,03;106,6;8,39;8,545;8,395;8,41;500067;"YES";"Comedy";58800
33502,205;96,8;6,525;6,71;6,6;6,885;480695;"YES";"Comedy";38800
32518,97;147;6,875;6,49;9,095;5,795;391198;"YES";"Drama";46200
33557,755;126,7;7,27;8,01;5,45;8,975;356325;"NO";"Comedy";31200
27625,015;152,7;9,19;6,955;8,11;8,78;346747;"NO";"Thriller";54400
35585,33;159,6;8,71;9,46;7,315;7,515;461313;"YES";"Comedy";31000
34168,805;171,4;9,045;9,205;9,16;9,255;411330;"YES";"Drama";35600
31102,445;159,2;7,655;7,835;7,64;7,96;422375;"YES";"Thriller";27800
40195,98;156,3;9,24;6,445;7,91;8,885;335532;"NO";"Comedy";63500
27236,165;142,3;8,1;9,25;7,535;8,67;517172;"YES";"Action";46600
32596,74;173,5;7,53;7,245;8,135;7,19;264112;"NO";"Comedy";33300
35085,38;155,5;8,68;7,1;8,015;8,045;270691;"YES";"Thriller";54800
32663,4;170,8;8,69;8,82;8,725;8,985;470298;"NO";"Thriller";38200
33152,24;132;7,47;7,62;7,515;7,77;459687;"YES";"Comedy";37400
39323,845;163,4;5,815;9,17;7,125;8,65;465605;"NO";"Drama";32800
32407,87;130;7,7;7,825;7,64;7,84;497626;"YES";"Thriller";39800
32802,275;171,6;5,965;7,46;8;9,175;486963;"NO";"Drama";49000
27108,4;173,5;9,115;9,315;9,175;9,215;278464;"NO";"Drama";20400
35224,255;169,9;8,885;8,98;8,89;9,105;401882;"NO";"Comedy";29800
34585,43;152,7;5,915;6,005;5,85;6,12;484343;"NO";"Thriller";41000
39707,14;163,9;9,035;6,48;7,655;8,225;382738;"NO";"Thriller";65500
30374,74;173,5;9,18;9,4;9,21;9,385;308802;"YES";"Comedy";31200
38212,845;104,6;8,815;9,405;6,8;7,3;535003;"NO";"Thriller";46400
39323,845;136,6;8,17;8,31;8,135;8,555;515362;"YES";"Comedy";57400
34046,595;169,5;9,115;9,265;9,015;9,11;440004;"NO";"Action";34000
34979,835;151,6;9,125;8,165;8,065;6,975;406685;"YES";"Action";41200
35263,14;113,9;7,99;9,48;8,42;7,665;478332;"YES";"Thriller";60700
34402,115;151,6;8,94;9,07;9,005;9,11;356325;"YES";"Thriller";22000
