"Budget";"Movie_length";"Lead_Actor_Rating";"Lead_Actress_rating";"Director_rating";"Producer_rating";"Trailer_views";"Genre";"Collection"
21458,965;105,8;6,865;7,225;8,365;4,775;494055;"Comedy";33900
33052,25;155,5;7,995;8,07;7,845;8,105;299587;"Thriller";26400
36479,685;160,8;8,04;8,345;8,1;8,305;483058;"Drama";47600
34035,485;102,8;8,595;8,865;5,45;8,705;428936;"Thriller";26300
38707,24;110,7;7,225;7,54;7,215;7,53;546620;"Comedy";70800
39707,14;165,6;8,515;8,51;8,295;8,56;467075;"Comedy";45500
31257,985;165,4;5,815;8,555;8,91;9,095;503151;"Action";40500
38185,07;101,6;6,645;6,91;6,665;6,85;534902;"Thriller";62400
33952,16;170,1;8,68;7,54;9,095;7,855;547397;"Comedy";58000
37368,485;94,9;9,07;5,73;7,45;9,095;475977;"Comedy";65000
32974,48;93;8,71;9,325;9,015;8,685;373307;"Thriller";63700
32518,97;165,3;8,645;8,805;8,755;8,95;467883;"Drama";45400
31457,965;95,4;4,62;4,815;4,62;4,775;484954;"Comedy";36400
33196,68;161,4;8,675;8,85;8,61;8,705;369607;"Thriller";25400
32546,745;142,2;8,58;8,65;8,485;8,88;480435;"Thriller";45200
32885,6;166,9;8,71;6,71;8,84;8,94;308802;"Action";35500
34007,71;170,8;9,175;9,24;9,035;9,315;428936;"Thriller";43000
33441,1;120,7;8,125;8,295;8,11;8,36;491916;"Drama";46400
39790,465;153,4;8,345;8,44;8,36;8,42;506523;"Thriller";63200
39018,32;89,3;7,185;7,345;7,235;7,43;567784;"Thriller";69800
37074,07;160,8;7,735;8,03;7,82;7,935;466851;"Thriller";42000
32518,97;130;8,635;9,125;9,125;8,225;512329;"Comedy";57200
32641,18;92,6;5,385;5,445;5,26;5,47;459998;"Comedy";41800
33441,1;106,6;6,48;8,385;7,755;7,785;471052;"Action";58300
30308,08;171,8;7,235;6,845;8,1;9,365;426044;"Thriller";44200
39112,755;83,5;6,08;6,095;5,945;6,22;524749;"Drama";58000
33141,13;109,2;9,06;9,105;9,36;6,56;233100;"Comedy";23800
27974,98;123,4;9,185;9,48;8,83;9,095;474736;"Action";50400
31735,715;141,7;8,835;8,545;8,915;8,425;458882;"Comedy";28200
45878,745;81,9;5,485;5,555;5,465;5,68;518247;"Thriller";85600
32613,405;115,4;8,035;8,22;8,115;8,185;438045;"Drama";41200
35724,205;171,7;8,225;7,305;9,08;9,1;405200;"Comedy";55300
36829,65;96,9;7,375;7,48;7,315;7,595;529498;"Thriller";55800
33963,27;153,3;8,225;8,33;8,12;8,235;435929;"Comedy";38200
35452,01;140,7;8,1;8,325;8,21;8,3;478332;"Comedy";46200
34046,595;160,9;8,71;7,255;4,575;8,87;420044;"Comedy";62800
34118,81;165,2;7,91;8,01;7,845;8,275;387496;"Thriller";30400
33252,23;161,9;8,935;9,075;8,855;9,155;443766;"Drama";42800
38073,97;173,5;8,23;8,885;9,36;7,175;479264;"Thriller";37200
33957,715;132,3;7,965;8,07;7,88;8,08;471282;"Action";42000
32635,625;168,1;8,65;8,79;8,64;9,07;438703;"Drama";34800
32318,99;172,2;8,69;8,255;8,25;8,41;458882;"Comedy";35000
35785,31;127,1;8,02;8,295;8,015;8,34;489837;"Drama";45800
33224,455;141,6;8,015;8,31;8,06;8,265;480986;"Comedy";48600
21458,965;173,5;9,235;9,305;9,23;9,215;466467;"Drama";46200
31374,64;132,2;9,135;9,035;7,25;8,065;264112;"Thriller";12200
37862,88;114;5,685;5,86;5,815;5,99;512129;"Drama";63200
30308,08;110,1;8,1;8,24;8,07;8;448317;"Action";40400
31074,67;170,8;8,585;8,31;8,725;8,225;494604;"Action";36800
36762,99;154,3;8,25;8,4;8,23;8,58;489836;"Thriller";60200
36857,425;106,8;7,505;6,66;8,62;9,225;500120;"Action";60100
34663,2;89,8;7,72;7,815;7,655;7,95;527157;"Thriller";50400
39462,72;156,5;6,89;7,035;9,075;8,72;444896;"Drama";50100
33996,6;150,2;8,78;8,945;8,77;8,93;482875;"Action";41200
38046,195;161,5;8,22;7,15;8,44;7;480187;"Drama";48300
34740,97;104,6;9,235;8,09;8,605;9,22;416738;"Thriller";49600
34718,75;164,7;8,865;7,62;7,195;7,785;503965;"Comedy";51500
32341,21;168,9;8,635;8,79;8,735;8,895;426316;"Action";36800
31180,215;118,9;8,815;6,4;8,04;4,705;540041;"Comedy";50400
33363,33;118,6;5,96;8,66;7,295;8,85;295168;"Comedy";28200
33791,065;146,2;5,395;8,335;7,835;6,98;473146;"Thriller";31000
34168,805;171,4;9,045;9,205;9,16;9,255;411330;"Drama";35600
33152,24;132;7,47;7,62;7,515;7,77;459687;"Comedy";37400
34740,97;157,7;8,73;8,93;8,855;8,975;446050;"Action";37000
35751,98;161,4;8,83;8,885;8,8;8,85;418275;"Action";28600
33135,575;162,7;7,945;8,14;7,83;8,06;457361;"Comedy";39200
36318,59;93,6;7,72;9,135;7,91;8,67;495311;"Drama";41400
30296,97;80,1;8,83;6,165;8,5;6,975;499995;"Comedy";44900
32968,925;102,8;7,67;7,805;7,74;7,785;532331;"Comedy";46200
39634,925;87,4;6,105;6,185;6,015;6,39;535003;"Drama";65800
32707,84;121,1;6,3;6,365;6,2;6,5;410055;"Comedy";37800
37374,04;101,2;7,64;7,52;6,44;9,47;497626;"Drama";52600
34007,71;147,8;9,26;4,725;9,06;8,435;401981;"Drama";49100
36035,285;167,9;9,005;9,145;9,18;7,78;473146;"Thriller";37500
34002,155;130,3;8,035;8,13;8,08;8,26;489563;"Comedy";44400
38168,405;120,9;5,955;6,16;6,055;6,175;503113;"Thriller";49600
27625,015;146,4;9,26;7,14;9,36;7,665;489563;"Comedy";55400
34107,7;173,5;8,485;8,645;8,915;6,175;335532;"Thriller";53600
34007,71;95,4;8,925;9,045;8,97;8,435;528887;"Comedy";37600
31313,535;168,2;8,85;9,06;8,95;9,175;406685;"Drama";28600
42723,505;154,3;9,11;7,91;8,485;8,74;389121;"Thriller";66300
34357,675;164,5;9,01;9,37;7,76;8,695;414813;"Thriller";37900
31091,335;168,4;9,12;9,39;9,205;9,24;347105;"Comedy";30800
31691,275;151,2;7,99;8,1;7,945;8,075;482381;"Thriller";32400
38107,3;143,9;8,65;8,185;7,89;8,985;546620;"Action";44300
36935,195;160,9;8,75;9,2;8,46;8,275;450060;"Drama";56500
32752,28;159,8;7,205;8,605;8,835;9,215;378970;"Comedy";35600
33274,45;94,3;8,45;8,86;7,195;6,855;503147;"Comedy";31900
28291,615;147,9;7,25;8,01;8,1;9,01;459687;"Thriller";45500
36329,7;133,2;6,77;6,895;6,705;7,095;494604;"Thriller";33000
33318,89;94,9;6,555;6,74;6,565;6,51;496877;"Thriller";46800
35235,365;170,2;6,525;9,145;7,76;6,525;270691;"Comedy";43600
36635,225;115,8;7,1;6,85;8,485;8,305;514773;"Thriller";53000
22986,59;116,9;7,91;9,075;5,95;9,005;398327;"Thriller";21100
32546,745;105,4;7,24;8,305;7,25;8,99;362317;"Comedy";42400
37496,25;148,4;8,28;8,37;8,31;8,38;488266;"Comedy";47400
32407,87;130;7,7;7,825;7,64;7,84;497626;"Thriller";39800
35879,745;173,5;7,505;9,27;7,655;5,505;468741;"Thriller";18800
35874,19;172,4;8,815;9,035;8,82;9,095;466796;"Comedy";38400
39462,72;115;6,105;8,82;9,035;6,685;295168;"Action";35400
34052,15;173,5;9,155;9,37;9,14;9,495;305675;"Thriller";27600
31074,67;110,3;6,745;6,915;6,73;6,615;461313;"Thriller";34800
31835,705;79,5;8,685;8,175;8,795;8,58;547051;"Drama";48900
31702,385;173,5;7,945;9,075;9,26;8,41;491464;"Thriller";40500
38923,885;159,8;8,25;8,455;8,28;8,175;509357;"Thriller";47200
35579,775;167,3;6,755;8,63;7,26;6,905;515199;"Comedy";46100
35190,925;167,1;8,985;7,62;8,56;7,82;459998;"Thriller";73700
29285,96;102,4;8,975;6,965;7,16;8,695;449755;"Comedy";45100
33791,065;117,2;7,205;7,31;7,26;7,395;448684;"Comedy";44400
38007,31;115,4;6,18;8,075;7,225;8,445;233100;"Drama";43300
31735,715;130,2;8,49;8,705;8,44;8,715;437878;"Comedy";40200
44823,295;149,5;8,15;8,34;8,215;8,305;543618;"Thriller";77400
34174,36;156,1;9,06;9,275;9,04;9,13;432078;"Thriller";31200
35635,325;113,6;7,5;7,75;7,49;7,82;528887;"Thriller";50000
34257,685;120,2;7,24;7,41;7,165;7,385;485743;"Drama";45800
32291,215;119,8;7,67;8,09;7,73;9,255;501152;"Thriller";44500
32968,925;114,6;8,925;8,715;6,27;8,425;423752;"Action";38700
34807,63;156,3;8,31;8,51;8,295;8,36;474736;"Comedy";43200
32318,99;150,8;8,77;9,205;7,315;8,895;276179;"Comedy";25800
28636,025;158;8,285;5,73;9,075;9,275;411264;"Thriller";45800
31457,965;110,8;7,185;9,22;6,795;8,41;437541;"Drama";34900
31980,135;171,9;8,825;8,86;8,735;8,885;402396;"Action";31200
31069,115;150;5,925;6,19;5,94;6,035;458708;"Comedy";35200
36479,685;173,5;6,28;6,11;8,885;8,575;430817;"Comedy";53000
33496,65;157,7;5,955;7,43;5,86;8,305;394967;"Thriller";47900
38746,125;173,5;3,84;8,85;8,885;8,975;489837;"Comedy";45500
35396,46;171,4;8,795;8,92;8,8;8,83;456491;"Action";46000
35263,14;159,6;8,86;9,105;8,92;9,005;416738;"Thriller";29000
42723,505;109,6;5,885;8,14;8,895;7,515;383325;"Drama";81200
36857,425;111,3;8,25;7,305;9,015;9,185;443252;"Thriller";52900
31713,495;172;9,11;9,32;9,05;9,275;411772;"Comedy";38800
36624,115;142,6;8,68;8,775;8,62;8,97;492480;"Action";44800
36001,955;92;6,87;6,94;6,775;7,035;523902;"Action";47400
35579,775;169,5;9,115;9,18;9,1;9,255;390048;"Thriller";25000
32635,625;146;8,96;7,455;7,195;9,095;467670;"Comedy";53500
37907,32;150;8,975;9,105;8,96;9,375;362317;"Comedy";16800
34046,595;169,5;9,115;9,265;9,015;9,11;440004;"Action";34000
32657,845;158,9;6,67;9,01;6,435;6,975;401740;"Thriller";23900
34713,195;150,8;8,095;8,33;8,04;8,305;468556;"Action";41200
40701,485;155,5;3,84;9,26;8,955;5,755;458883;"Thriller";52700
32713,395;163,9;6,01;6,665;6,85;8,85;491916;"Drama";29100
36196,38;101,2;5,565;5,855;5,71;5,795;485496;"Drama";46200
34035,485;91,9;7,12;7,305;7,165;7,4;486691;"Thriller";47800
35418,68;127,8;7,575;7,81;7,595;7,94;484440;"Drama";46200
35879,745;168,3;8,9;9,15;8,995;8,98;342695;"Thriller";23600
29285,96;167,5;9,005;9,145;9,075;9,305;426057;"Thriller";26200
32518,97;168,9;6,65;7,305;8,44;7,82;461313;"Comedy";39400
36824,095;168,1;8,925;9,015;8,93;8,88;338798;"Action";26800
37368,485;153,4;8,45;8,66;8,595;8,74;471052;"Drama";55000
32724,505;95,8;7,88;8,19;7,945;8,09;456271;"Thriller";45200
31180,215;169,1;9,035;9,24;9,1;9,115;303828;"Drama";31400
31180,215;103,2;7,545;8,775;8,97;4,75;515362;"Thriller";38600
32918,93;172,3;8,47;9,14;5,86;9,31;437541;"Thriller";30400
41218,1;145,4;8,345;8,54;8,36;8,555;497990;"Thriller";66800
37368,485;107;7,25;7,36;7,3;7,29;499995;"Drama";56000
39373,84;119,2;8,15;9,155;6,735;8,23;421532;"Drama";45500
31735,715;170,5;8,9;9,145;8,885;9,22;416162;"Thriller";30200
36468,575;168,8;8,825;7,62;9,125;9,46;495540;"Drama";74200
33691,075;154,3;8,645;6,155;8,795;8,745;365213;"Thriller";48800
39746,025;165,7;8,64;8,675;8,54;8,75;549262;"Thriller";75800
34740,97;152,2;8,39;8,36;6,74;9,41;533135;"Comedy";34300
31735,715;165,7;9,13;9,435;8,88;8,385;461876;"Drama";49600
27569,465;136;8,415;4,035;6,055;6,175;545730;"Comedy";49400
34135,475;102,7;6,01;6,115;5,965;6,28;480067;"Comedy";46600
31702,385;115;6,745;8,79;7,235;8,38;485496;"Drama";53000
39323,845;136,6;8,17;8,31;8,135;8,555;515362;"Comedy";57400
34490,995;138,9;8,42;8,56;8,45;8,64;456948;"Action";42800
34168,805;111,9;7,5;9,17;7,145;8,58;482875;"Thriller";27000
33407,77;122;5,88;6,045;5,885;6,165;494404;"Drama";35000
33124,465;119,2;6,46;6,725;6,5;6,685;442225;"Thriller";39400
37668,455;144,8;8,425;8,63;8,44;8,79;491484;"Thriller";53000
35079,825;114;8,425;8,93;8,885;8,055;400065;"Thriller";41000
35613,105;143,9;9,215;8,07;8,1;8,84;402133;"Drama";45100
34174,36;107;8,64;9,325;8,12;7,495;506523;"Comedy";40100
31069,115;101,1;6,675;8,825;7,64;8,29;467883;"Drama";51700
40479,285;107,6;6,21;6,4;6,245;6,525;549247;"Action";66600
34568,765;173,5;9,26;9,435;9,26;9,27;353650;"Action";20400
36968,525;173,5;7,095;8,33;8,68;8,045;525053;"Drama";46900
35418,68;133;9,07;9,155;7,395;7,175;305675;"Thriller";35600
27841,66;168,9;8,9;7,5;7,145;7,955;286266;"Thriller";9500
32163,45;164,6;8,725;8,945;7,83;9,16;414145;"Action";43600
35890,855;166,8;8,84;9,09;8,945;9,125;404986;"Thriller";19200
37435,145;173,5;9,25;8,79;7,125;8,435;431225;"Comedy";35600
33613,305;101,2;8,025;5,575;6,665;8,62;498052;"Comedy";42400
31813,485;158,9;6,675;7,265;8,795;6,665;408819;"Drama";48700
35402,015;165,9;8,175;8,375;8,315;8,405;451935;"Comedy";46000
35079,825;146,9;8,325;8,36;8,295;8,38;487150;"Drama";49200
38612,805;162;8,485;8,64;8,485;8,67;480270;"Thriller";53400
32802,275;109,2;7,555;6,78;7,93;9,23;489220;"Action";32500
31991,245;121,7;8,37;8,595;8,365;8,54;431316;"Comedy";39800
34129,92;105,7;6,99;7,225;7,05;6,985;465165;"Thriller";39600
38873,89;173,5;8,925;7,815;8,52;8,74;416540;"Drama";57300
31696,83;101,9;6,665;6,72;6,67;6,665;450203;"Drama";34200
38107,3;90,5;8,555;8,92;9,075;9,495;369907;"Comedy";37800
39018,32;162,1;9,185;8,65;8,73;9,47;367698;"Thriller";33900
33657,745;164,2;7,86;7,92;7,89;8,265;489220;"Comedy";63600
33346,665;171,4;8,65;7,15;7,54;9,075;474433;"Comedy";50300
33352,22;159,4;6,665;6,725;6,575;6,855;412012;"Thriller";37800
32124,565;146,2;7,68;7,875;7,7;8,04;378970;"Comedy";45000
33141,13;103,7;7,925;8,17;7,98;8,23;498052;"Thriller";48400
33479,985;172,3;7,32;7,43;7,83;9,23;480787;"Action";29300
36801,875;131,3;8,215;8,385;8,12;8,29;489220;"Thriller";56800
32885,6;135;7,89;8,185;8,015;8,075;442828;"Action";41400
32007,91;126;7,545;9,035;7,815;6,77;360183;"Drama";21700
33363,33;111,9;9,135;9,105;7,94;6,185;308802;"Drama";21200
37496,25;95,8;8,68;8,88;8,55;4,03;500067;"Thriller";44500
33613,305;164,5;7,985;9,315;8,02;9,06;373575;"Thriller";37800
34235,465;107,3;8,32;7,125;6,815;7,54;470298;"Comedy";46800
36635,225;95,3;7,175;7,325;7,225;7,475;553070;"Thriller";61600
33729,96;148,3;7,67;6,4;7,08;6,815;502413;"Thriller";36700
32930,04;132,6;8,655;8,14;8,77;9,47;538611;"Thriller";39600
38212,845;151,2;8,295;8,395;8,31;8,455;470809;"Action";55000
35513,115;81,3;6,47;6,515;6,435;6,505;537248;"Thriller";47400
32974,48;153,8;8,57;8,755;8,595;8,52;402267;"Comedy";27000
35613,105;123,2;7,12;8,805;8,915;7,06;375488;"Thriller";33400
37607,35;102,3;6,01;9,225;6,875;9,475;437611;"Comedy";33600
32763,39;173,5;9,08;9,325;9,18;8,445;545730;"Drama";44300
35735,315;122,6;5,975;6,13;6,055;6,185;504043;"Thriller";49000
30074,77;171,8;8,96;9,235;9,03;9,26;351221;"Comedy";14000
31735,715;107,3;8,48;9,155;8,955;8,88;484343;"Drama";58700
30663,6;157,6;6,235;9,18;8,54;8,775;531448;"Drama";41400
35640,88;157,6;8,57;8,715;8,615;8,805;467457;"Comedy";47200
35640,88;122,6;9,01;7,325;7,835;8,12;472490;"Drama";56000
36079,725;91,9;7,1;7,4;7,16;7,36;495797;"Action";52800
36857,425;166,1;8,16;8,88;9,05;8,015;458882;"Thriller";41000
32613,405;127,7;8,89;6,11;7,16;9,03;492480;"Thriller";48400
40268,195;95,4;5,55;5,795;5,605;5,655;512329;"Thriller";70800
32746,725;138,6;8,855;9,07;8,815;8,955;517077;"Comedy";40700
33435,545;173,5;8,555;9,26;8,845;9,025;539571;"Thriller";49400
29463,72;158,6;7,53;9,295;5,96;9;377048;"Drama";19500
35851,97;135,7;4,59;7,225;8,345;8,97;489836;"Thriller";52900
32518,97;164,5;6,48;8,865;6,5;8,235;408819;"Thriller";23300
32846,715;166,4;8,725;8,885;8,72;8,965;394329;"Thriller";37600
32924,485;120,7;6,37;6,66;6,45;6,66;467075;"Comedy";39200
37224,055;173,5;9,215;9,12;8,295;9,435;342621;"Action";34000
34052,15;166,4;9,05;8,545;6,665;8,14;458708;"Action";59500
36024,175;95,4;9,01;8,01;8,82;7,83;420044;"Thriller";51600
44662,2;169,2;8,475;7,41;8,42;6,655;480187;"Thriller";46100
35740,87;90,5;9,22;7,86;9,095;9,185;353054;"Action";37700
29685,92;173,5;8,025;8,07;7,93;8,225;367698;"Comedy";40000
35457,565;109,2;5,34;5,535;5,285;5,465;539589;"Drama";49400
35140,93;142,2;8,8;6,935;8,635;9,255;299587;"Comedy";49900
35052,05;112;6,74;6,83;6,655;6,855;505077;"Action";41400
29463,72;114,6;7,89;6,045;8,36;8,265;468741;"Action";44200
28808,23;152,7;8,325;8,865;7,835;8,075;380129;"Thriller";30800
34035,485;119,1;9,235;9,23;8,9;9,215;374797;"Thriller";38900
40623,715;161,5;8,965;9,385;9,115;7,17;340338;"Comedy";33200
34485,44;168,5;8,78;8,955;8,845;8,975;420282;"Comedy";23400
31696,83;168,1;9,26;7,405;8,69;8,045;533713;"Drama";47500
35613,105;173,5;9,035;9,095;9,06;9,095;431269;"Action";33400
31102,445;161,4;8,475;8,185;7,745;9,58;533135;"Drama";48600
37374,04;129,6;9,05;8,725;5,295;6,285;383739;"Comedy";29000
