"price";"bedrooms";"bathrooms";"sqft_living";"sqft_lot";"floors";"condition";"lat";"long"
760000;4;2,5;2430;6099;1;5;47,6777;-122,287
586500;3;2,5;1780;1487;3;3;47,6539;-122,351
275000;2;1,5;1270;32175;1;4;47,3347;-122,304
699900;4;2,75;2810;7302;2;3;47,5985;-121,977
713500;3;2;1720;4200;2;3;47,6285;-122,301
189000;2;2;1700;3171;1;5;47,3025;-122,224
599000;5;3,25;2590;6180;1;3;47,551;-122,272
520000;2;1;950;3880;1;4;47,687;-122,389
583000;4;2,5;2660;4000;2;3;47,6876;-122,038
348000;3;2,5;2370;7500;1;3;47,4091;-122,331
790000;5;3,25;2900;12160;1;4;47,6154;-122,168
239000;3;1,75;1340;16480;1;4;47,364;-122,162
455000;3;2,5;2090;8653;2;3;47,7498;-122,184
680000;3;1,75;1660;5750;1;4;47,5843;-122,385
272000;3;2,5;1528;7616;2;3;47,3774;-122,186
440000;5;1,75;3690;36036;1;3;47,3473;-122,085
465000;3;1;930;3348;1;4;47,5532;-122,277
341000;3;2,5;1480;1663;2;3;47,5443;-122,375
553000;2;2;1400;1512;2;3;47,6719;-122,392
278100;4;1,75;2120;8520;1;3;47,302;-122,373
359950;3;1,75;1890;9100;2;4;47,7676;-122,339
990000;4;3,75;3450;4940;2;3;47,692;-122,338
385000;3;2,25;1650;7800;1;3;47,7377;-122,197
405000;3;1,75;1520;7252;1;3;47,7358;-122,175
315000;2;1;630;6550;1;3;47,5486;-122,38
379000;3;3,25;1380;1234;3;3;47,6935;-122,342
5e+05;4;1,75;2290;9215;1;5;47,5328;-122,051
254000;3;2,5;1560;10608;2;3;47,3572;-122,161
648000;4;2,25;2170;8240;2;4;47,5634;-122,128
384500;2;1;1130;5236;1;4;47,5103;-122,386
575000;3;1,75;2680;8625;1;5;47,5316;-122,056
191000;3;1;840;5525;1;5;47,3607;-122,085
739000;3;2,5;2750;16000;2;4;47,693;-122,187
280000;3;1;1720;9605;1;3;47,7439;-122,242
250000;3;1;1250;7920;1;4;47,4853;-122,126
905000;4;2,5;3300;10250;1;3;47,5873;-122,249
629000;5;2;2050;3000;1,5;3;47,6864;-122,352
409000;2;1,75;1480;4000;1;4;47,6916;-122,38
408200;3;2,5;1800;5761;2;4;47,5293;-122,363
201000;3;1;960;15273;1;4;47,238;-122,039
323800;3;2,5;2060;7658;2;3;47,2923;-122,36
718000;3;1;1030;4958;1;5;47,6647;-122,277
304500;3;2,25;1790;6930;1;3;47,3536;-122,317
620000;3;1,75;2140;5808;1;3;47,6435;-122,373
151600;2;1;1060;16988;1;3;47,4305;-122,157
340000;3;1,75;1210;9635;1;4;47,7382;-121,98
560000;2;1;1010;9219;1;4;47,6886;-122,202
710000;2;1;1790;4000;1;4;47,6405;-122,301
506000;3;1,75;2180;7700;1;3;47,7594;-122,361
370000;4;2,5;2710;5880;2;3;47,3314;-122,172
284000;2;1;860;7204;1;3;47,5361;-122,351
1e+06;6;2,75;3600;9675;1;4;47,5726;-122,213
418000;4;3,25;3266;5969;2;3;47,2975;-122,35
494000;2;1;1290;4650;1;4;47,6877;-122,325
870000;4;1,75;1920;3600;2;4;47,6382;-122,368
365000;4;2,5;2905;4874;2;3;47,4084;-122,169
310000;3;1,75;1840;10723;1;4;47,429;-122,154
544500;5;1;1690;3240;1,5;3;47,6746;-122,325
440000;4;2,5;2560;10400;1;4;47,5225;-122,04
464500;5;1,5;2940;13425;1;3;47,7632;-122,29
580135;4;2,5;3150;5886;2;3;47,4787;-122,122
410000;3;1,75;1880;8424;1;4;47,5116;-122,161
399990;5;2,75;1690;4000;1;5;47,5312;-122,354
452000;4;2,5;2716;7850;2;3;47,352;-122,197
177000;3;1,75;1150;8079;1;4;47,3766;-122,18
268500;3;2,25;1140;977;2;3;47,5439;-122,375
390000;1;1,75;1440;4920;1;3;47,534;-122,376
678940;5;2,25;2610;4080;2;5;47,6757;-122,309
260000;4;2,5;1790;4358;2;3;47,3994;-122,204
629000;3;2,5;2160;1912;2;3;47,5642;-122,292
710000;3;2;1780;9732;1;3;47,5796;-122,229
419000;5;3;2190;9652;2;3;47,5049;-122,239
998160;2;2,5;3010;16050;1;4;47,5643;-122,16
690000;4;2;1760;7800;1;3;47,6945;-122,38
393000;5;2;1820;5054;1;4;47,5547;-122,299
655000;4;2,5;3500;11306;2;3;47,5428;-121,861
469000;5;2,5;2690;11745;1;3;47,7708;-122,362
275000;3;1,5;1170;1174;2;3;47,5459;-122,376
270000;3;2;1300;1920;2;3;47,5183;-122,376
550000;4;2;2070;9822;1;5;47,566;-122,14
430000;3;2;1730;9000;1;3;47,5202;-122,047
430000;3;2,75;2550;11160;2;3;47,7351;-122,323
7e+05;4;1,5;2470;6000;1,5;3;47,6365;-122,391
243500;3;3;2110;7794;1;3;47,4005;-122,293
643403;3;2,5;2350;9648;1;4;47,6156;-122,108
395000;5;1,75;2100;9599;1;3;47,7097;-122,216
510000;4;2,75;3180;13348;2;3;47,7439;-121,977
438900;4;2,5;2740;5700;2;3;47,3535;-122,026
447000;3;1;1220;7200;1;4;47,6218;-122,116
772000;3;2,25;1640;1204;3;3;47,6196;-122,297
827000;4;2,5;3230;12100;1;3;47,562;-122,146
7e+05;3;2;2080;3880;1;5;47,686;-122,391
362362;2;1;710;4000;1;3;47,5535;-122,269
453000;3;1,75;1430;20193;1;3;47,5619;-122,183
488000;2;2;1360;4688;1;3;47,6874;-122,315
772500;5;2,75;3890;9130;2;3;47,5407;-121,86
289000;3;2,5;1490;8628;2;3;47,3643;-122,041
235000;3;1,75;1950;8712;1;3;47,4391;-122,189
690000;4;3,5;2710;2147;2;3;47,5468;-121,994
365000;5;2;1600;4168;1,5;3;47,5297;-122,381
255000;2;1;960;28717;1;4;47,3356;-122,502
484000;1;0;690;23244;1;4;47,6429;-121,955
924000;5;2,75;3210;8001;2;3;47,5935;-122,061
650000;3;2;2520;5980;1;3;47,5767;-122,383
540000;3;2,5;1810;3930;2;3;47,7169;-122,02
255000;3;1,5;1110;10296;1;5;47,422;-122,153
241500;3;1;1400;10425;1;4;47,2738;-122,301
268000;3;2,75;1880;1793;2;3;47,5405;-122,293
735000;3;2,5;2540;6762;2;3;47,6239;-122,144
525000;5;3;2450;4591;2;3;47,6828;-122,388
408000;2;2;1200;3900;1;3;47,72;-122,024
733000;5;2,75;2880;4425;2;3;47,7048;-122,109
347500;3;2,5;1890;7053;2;4;47,3967;-122,183
545000;3;2,5;3550;136343;2;3;47,6223;-121,869
195000;2;2;1180;2553;2;3;47,3501;-122,02
699999;2;2;1460;1085;2;3;47,6205;-122,299
390000;4;2,5;2610;7227;2;3;47,314;-122,023
790000;4;2,75;2640;9000;2;3;47,6481;-122,125
204000;3;1;980;8000;1;4;47,42;-122,317
324950;4;1,75;2320;9240;1;3;47,4909;-122,257
360000;3;1,75;1950;7260;1;3;47,7187;-122,33
490000;2;1;1160;5000;1;4;47,6865;-122,399
248000;3;1;950;9400;1;4;47,5746;-122,136
320000;3;1;1260;9600;1;3;47,4444;-121,762
175000;2;1;660;5000;1;3;47,5664;-122,364
9e+05;5;2,25;2510;35691;1;3;47,6435;-122,154
135000;2;1;830;7609;1;3;47,5057;-122,348
1130000;5;2,5;4310;28008;2;3;47,6662;-122,056
715000;4;2,5;2570;7980;2;3;47,6378;-122,065
725000;2;1;2410;5930;2;3;47,5657;-122,395
3e+05;5;2,5;2760;6000;2;3;47,5289;-122,321
885000;2;2;1313;3600;1;3;47,6369;-122,365
320000;3;2,5;2280;7417;2;3;47,3557;-122,278
650000;3;2,5;2380;3332;2;3;47,7194;-122,199
278500;3;1,75;1390;8980;1;4;47,2015;-122,005
705380;3;2,5;2490;4343;2;3;47,5493;-121,993
350000;2;0,75;1392;43710;1,5;4;47,4491;-122,453
553650;2;2,5;1360;1349;2;3;47,6254;-122,292
515000;4;2,5;1850;9248;2;3;47,735;-122,244
273000;3;2,25;1830;7651;2;3;47,2642;-122,219
760000;4;2,5;3520;8095;2;3;47,7065;-122,109
184900;2;1;1230;5000;1;5;47,2064;-121,988
504600;5;3;2360;5000;1;3;47,6931;-122,33
350000;4;2,5;2260;13755;1;4;47,3767;-122,161
348000;3;2,5;1670;5090;2;3;47,4799;-122,18
574950;5;3,25;3160;10000;2;4;47,52;-122,047
6e+05;3;1,75;1580;7416;1;3;47,6056;-122,173
175003;3;1,5;1390;1882;2;3;47,5667;-122,297
1135000;6;4,25;6900;244716;2;4;47,7506;-122,012
317500;2;1,5;1220;8409;1;4;47,7534;-122,324
825000;3;2,5;3400;38400;1;3;47,7611;-122,372
392137;3;2;1460;3696;2;3;47,6861;-122,013
6e+05;4;3,5;3270;15160;1;3;47,7437;-122,287
284000;3;2,25;1580;7034;1;4;47,3564;-122,04
357000;4;2,5;2380;7066;2;4;47,3982;-122,172
315500;3;1;1160;10500;1;4;47,7267;-122,227
530000;3;1,75;1690;8190;1;4;47,5857;-122,172
348000;3;2,25;2570;8491;2;4;47,3759;-122,125
585000;2;1,75;1980;8550;1;3;47,6989;-122,369
440000;4;1;1440;6678;1;3;47,571;-122,392
315000;3;1,75;1660;8160;1;4;47,4608;-122,358
750000;4;2,5;2510;17200;1;4;47,6287;-122,089
563000;3;2;1380;5000;1,5;4;47,6807;-122,369
1100000;4;3,25;3190;11774;2;3;47,5033;-122,225
316000;3;0,75;1270;10092;1;5;47,7567;-122,073
625000;3;2,5;1730;1301;3;3;47,653;-122,352
213950;3;1;1430;7000;1;3;47,3018;-122,369
279000;4;2;1980;10051;1;3;47,3231;-122,103
401000;3;2;1240;11172;1;3;47,6364;-122,037
720000;3;1,75;2040;4000;2;5;47,6675;-122,289
938000;3;2,5;3090;10940;2;3;47,5492;-122,119
280000;3;1,75;1360;6603;1;4;47,4619;-122,168
240415;3;1,75;1120;10187;1;3;47,3694;-122,311
206000;3;1;1060;10350;1;4;47,365;-122,028
760000;4;2,5;3600;155509;2;3;47,3538;-121,986
627500;4;2,5;2540;11500;1;4;47,5609;-122,15
530000;5;2,25;2720;8800;1;4;47,5976;-122,118
429000;3;3,25;2210;3600;2;3;47,7031;-122,279
190000;2;1;880;6900;1;3;47,4903;-122,191
449000;5;1,75;1720;14040;1;4;47,7365;-122,339
310000;2;1;700;3000;1;4;47,6846;-122,346
438000;3;2,25;2340;14279;1;3;47,5715;-122,124
417500;2;1;1330;5510;1;3;47,6901;-122,362
465000;5;1,5;1830;9000;1;3;47,7488;-122,292
645000;4;2,5;2850;37522;2;3;47,5852;-121,992
330000;3;1,75;1510;15744;1;3;47,476;-121,755
386000;3;1,5;1550;8000;1;3;47,5536;-122,286
1110000;4;2,5;2990;8640;1;5;47,5932;-122,172
555500;2;1;920;10000;1;4;47,6938;-122,21
210000;3;1,5;1160;5200;1;5;47,364;-122,094
1280000;4;3,5;4340;5500;2;3;47,6427;-122,397
335000;2;1;1440;8842;1;3;47,7443;-122,325
285000;3;2,5;1940;9874;2;3;47,3794;-122,113
505000;4;2,5;3170;5340;2;3;47,4911;-122,138
475000;6;3;3470;117612;1,5;3;47,7663;-122,234
397950;4;1,75;2120;7620;2;3;47,457;-122,346
759000;3;2,25;1640;1873;3;3;47,6196;-122,297
485000;4;2,25;1810;7068;2;5;47,7319;-122,204
508450;4;1,75;1520;9600;1;4;47,5763;-122,154
420000;3;1,5;1050;6615;1;4;47,6578;-122,39
883000;4;2,5;2800;6874;2;3;47,6215;-122,29
531000;5;2,75;2540;5022;1;4;47,5593;-122,3
525000;2;2,5;1160;1458;2;3;47,6384;-122,373
209000;2;1;1070;6120;1;3;47,4989;-122,317
422250;2;1,5;1280;1256;2;3;47,6741;-122,375
1698000;4;3,5;3950;6240;2;3;47,6221;-122,29
540000;3;2,5;1380;1021;2;3;47,6148;-122,309
160000;3;1,75;1610;7392;1;4;47,3413;-122,28
670000;3;1;1600;16868;1;3;47,5872;-122,241
284200;3;1,75;1540;6632;1;3;47,4973;-122,252
4e+05;4;2;1560;8250;1;3;47,7565;-122,358
2e+06;3;2,5;3490;21064;1;3;47,6092;-122,073
343000;3;1;1120;7250;1;4;47,7143;-122,211
275000;2;1,75;930;7080;1;3;47,5224;-122,36
1900000;4;3,25;4130;112521;2;3;47,6392;-122,165
499000;3;2;2090;42689;1,5;3;47,3497;-121,944
880000;2;1;1530;6350;1,5;4;47,6325;-122,303
510000;4;1,5;2040;8800;1;4;47,5965;-122,139
415000;4;2,5;2544;4071;2;3;47,341;-122,179
515000;4;1,5;1740;8160;1,5;4;47,7243;-122,363
3e+05;4;2,5;2890;17349;2;3;47,2822;-122,34
212000;3;1;1000;9450;1;3;47,4562;-122,193
402101;2;0,75;1020;1350;2;3;47,5944;-122,299
525000;4;1,5;1170;6240;1;4;47,5495;-122,232
457000;3;2,5;2050;5694;2;3;47,5331;-121,855
660000;4;1,75;1870;10450;1;3;47,5938;-122,154
440000;3;2,5;1440;5434;2;3;47,6818;-122,034
695000;3;2,75;2540;4694;2;3;47,6214;-122,024
845800;4;3,5;3020;12750;2;3;47,6524;-122,184
319950;3;2,5;1700;7000;2;3;47,3798;-122,025
336000;3;2,5;2110;4549;2;4;47,3885;-122,154
1245000;3;3;4610;8400;2;3;47,5854;-122,292
2e+05;4;2;1900;8160;1;3;47,2114;-121,986
565000;3;3;2110;4000;1;4;47,5696;-122,375
385000;3;1,75;2310;11200;1;4;47,3637;-122,21
380000;4;1,75;2030;12518;1;3;47,7278;-122,297
427000;3;2;1720;128066;1;3;47,4487;-121,981
285000;4;2,5;1996;4547;2;3;47,3365;-122,051
635000;4;1,75;2460;7560;2;4;47,7256;-122,367
509950;3;2,5;2210;70567;2;3;47,6087;-121,895
294000;3;1;1320;9520;1;3;47,4857;-122,253
265000;2;1;760;4000;1;4;47,5466;-122,304
335000;2;1,75;1270;1685;2;3;47,5646;-122,295
197000;4;2,25;1790;13200;1;3;47,4672;-122,185
451000;3;1,75;1560;4049;1,5;3;47,5666;-122,375
282000;4;1;1200;11111;1,5;3;47,7529;-122,306
285000;2;2,5;1380;1073;2;3;47,5462;-122,369
1003000;4;2,75;2290;6120;2;4;47,6746;-122,327
1636000;3;2,5;3110;6765;2;4;47,6886;-122,276
559950;3;2,5;1660;1458;3;3;47,5876;-122,309
718000;5;2,75;3250;8100;2;3;47,7133;-122,311
365000;4;2,25;2070;8893;2;4;47,4388;-122,162
425000;3;1,5;1660;5665;1;5;47,5391;-122,274
416286;3;2,5;1408;989;3;3;47,6856;-122,315
329900;3;2,5;2170;4905;2;3;47,3503;-122,039
449000;3;1,75;1660;9697;1;4;47,7564;-122,286
470000;4;2,25;2380;17199;2;3;47,7668;-122,27
593450;4;2,25;2130;7172;2;4;47,6271;-122,112
435000;4;2;2030;4033;2;4;47,7056;-122,342
475000;4;2,5;2040;7260;2;4;47,7399;-122,332
402500;4;1;1270;3630;1,5;3;47,6135;-122,307
725000;4;2,25;2880;8882;2;4;47,6999;-122,284
760000;4;1,75;2450;13300;1;4;47,5564;-122,13
325000;2;2;970;5000;1;3;47,7223;-122,16
375000;4;1,75;1890;8000;1;4;47,7576;-122,333
667400;4;2,5;2660;40312;2;4;47,7532;-122,139
435000;3;2,5;1778;147823;2;3;47,6811;-121,915
610000;4;1;1390;3708;1,5;4;47,685;-122,363
570000;3;2,75;2730;11936;2;3;47,6987;-122,231
115000;2;1;1000;16524;1;3;47,2841;-122,255
230000;3;1,75;1450;8378;1;4;47,3093;-122,385
783350;4;2,5;3290;35001;2;3;47,7231;-122,038
363750;3;1,75;1726;197326;2;4;47,3484;-122,505
635000;4;2,5;2490;40608;2;3;47,6507;-122,004
660000;3;3;2340;2970;2;5;47,6868;-122,348
160000;3;1,5;1010;9600;1;4;47,4097;-122,316
375000;3;1;1190;9486;1;4;47,4319;-122,339
760000;5;3,5;3180;14000;2;5;47,5501;-122,128
570000;3;1,75;1930;36210;1;3;47,7692;-122,128
372000;3;2,5;1710;5633;2;3;47,7232;-122,161
392000;4;2,5;2130;4028;2;3;47,5108;-122,363
336000;3;2,5;1260;1211;3;3;47,6969;-122,343
505000;3;1;1380;4000;1,5;3;47,6261;-122,296
377000;3;1,75;1680;7389;1;3;47,5199;-122,184
289000;2;1,75;2056;52333;1;4;47,2592;-122,291
480000;5;2,75;2550;7725;1;5;47,5388;-122,171
385000;3;2;1860;7400;1;3;47,4598;-122,352
560200;3;2,5;1990;3984;2;3;47,5914;-122,017
235000;3;1;1250;15603;1;4;47,5093;-122,172
525000;5;3;2750;3800;1,5;5;47,6845;-122,313
590000;4;2,5;2380;4950;2;3;47,5382;-122,391
740000;5;3,75;3990;18897;2;3;47,7228;-122,31
272000;3;2,5;1980;6608;2;3;47,2642;-122,213
305000;4;2,5;2320;4683;2;3;47,3349;-122,059
385000;3;1,75;1340;3850;1;4;47,7134;-122,292
507250;3;1,75;1400;5750;1;3;47,5659;-122,38
660000;4;2,5;3170;186436;2;3;47,4475;-122,034
185900;3;1;940;10890;1;4;47,2763;-122,257
630000;3;2,5;3490;12410;2;3;47,4714;-122,071
550000;3;2,25;1720;9600;1;4;47,6581;-122,126
413000;4;3,5;2380;5809;2;4;47,5536;-122,359
569950;4;1;1140;5940;1;3;47,6795;-122,354
698000;3;1,5;1090;7200;1;4;47,5817;-122,241
360000;2;2;1180;3200;1;4;47,5275;-122,383
1095000;4;4;3530;8400;2;5;47,6402;-122,395
375000;5;3;2680;8410;2;3;47,4401;-122,126
402300;3;1,75;1480;4050;1;3;47,681;-122,304
306000;3;1;1450;7200;1;3;47,7311;-122,199
850000;4;2,25;2330;10451;2;4;47,6044;-122,168
555000;3;2,5;2690;4819;2;3;47,5302;-121,849
505400;3;1,75;1640;3400;1;4;47,6694;-122,3
236000;3;1,75;1330;6301;1;3;47,3411;-122,219
281000;3;1,5;1280;974;3;3;47,7162;-122,293
675000;4;2,5;2620;6114;2;3;47,5603;-122,013
257500;4;1,5;1360;9323;1;4;47,3168;-122,401
312500;4;0,5;2300;5570;2;3;47,3285;-122,168
466200;3;1,5;1340;8856;1;4;47,6094;-122,126
455000;5;3,5;3080;7759;2;3;47,7454;-121,977
215000;3;1;1010;10125;1;4;47,3423;-122,088
391500;3;2,5;2424;6143;2;3;47,3512;-122,135
340000;4;2,25;2230;6791;2;3;47,3769;-122,028
495000;4;3,5;3170;3858;2;3;47,5049;-122,155
459000;4;2;2360;7080;1;5;47,5261;-122,376
653000;4;2,5;2160;7000;2;4;47,5659;-122,013
370950;3;2,5;2529;9653;2;3;47,3738;-122,161
371500;3;1;1650;6400;1;4;47,52;-122,365
333800;5;3;1980;3868;1;3;47,5173;-122,275
282000;4;2,5;1785;2552;2;3;47,3582;-122,2
1681000;5;5,25;4830;18707;2;5;47,5858;-122,247
640500;2;1,75;1640;6750;1;4;47,7068;-122,308
265000;3;1,75;1630;5999;1,5;4;47,3816;-122,313
257500;1;1;710;6060;1;4;47,5621;-122,283
1700000;3;2,75;2810;18731;2;4;47,6361;-122,093
575000;3;1,75;1890;11141;1;4;47,5697;-122,163
292000;2;1;880;5500;1;3;47,5573;-122,289
336900;3;1,75;1780;120661;1;4;47,7731;-121,897
340000;3;1;1710;10190;1;3;47,506;-122,331
567000;4;1,75;2630;11213;1;4;47,7158;-122,366
130000;2;1;840;6654;1;3;47,7319;-122,335
630000;3;1;1590;4080;1,5;3;47,662;-122,326
306000;3;2,5;1680;11193;2;3;47,4482;-122,125
385000;3;1,75;1200;7360;1;4;47,6979;-122,13
607000;3;2;2060;4080;1;5;47,574;-122,289
197400;3;2;1610;7575;1;4;47,334;-122,3
525000;3;1,5;1350;6000;1;3;47,5275;-122,391
1275000;4;2;2850;7861;1;4;47,6995;-122,397
1288000;4;3,5;3700;13175;2;4;47,5471;-122,133
305000;2;1;1210;7140;1,5;3;47,7225;-122,349
960000;5;4;3720;15200;2;3;47,5956;-122,026
420000;3;2,5;1970;3667;2;3;47,5321;-121,851
359999;4;2,25;3220;7700;2;4;47,3188;-122,38
308625;2;2;1500;1408;3;3;47,7293;-122,343
307000;3;1,5;2320;7500;1;3;47,7413;-121,979
1250000;4;2,5;3220;15600;1;5;47,5697;-122,182
1702500;5;4,5;5190;23716;2;3;47,5846;-122,223
635000;4;3,25;3420;6752;2;3;47,517;-121,876
214100;2;2,5;1150;2064;2;3;47,3516;-122,292
360000;3;1;1660;9600;1;3;47,708;-122,216
419000;4;2,5;3010;9155;2;3;47,3542;-122,027
785000;3;2;1600;9638;1;5;47,5753;-122,224
235000;4;1,75;1450;8891;1,5;3;47,478;-122,278
440000;3;2,5;2230;5800;2;3;47,5308;-121,847
7e+05;4;3,25;3580;43093;1;4;47,5595;-121,901
337000;3;1;1070;6109;1;5;47,7207;-122,32
1e+06;3;2,25;2300;15952;1;4;47,6322;-122,232
729000;3;3,25;2250;60548;1;3;47,4246;-122,014
920000;5;3;2230;4400;2;3;47,6404;-122,325
660000;4;2,5;2550;10000;1;3;47,6208;-122,141
720000;3;1,5;1590;7080;1;3;47,5244;-122,386
850000;4;3,25;3090;6744;2;3;47,768;-122,388
485000;4;1;1210;6380;1,5;3;47,6924;-122,321
282500;2;1,75;1440;11210;1;4;47,498;-122,35
450000;4;2,75;1540;4840;1;4;47,5491;-122,375
650000;4;1,75;2640;8215;1;4;47,5819;-122,125
425000;3;2;1500;8086;1;3;47,5584;-122,081
580000;5;2,5;2720;5000;1,5;4;47,6827;-122,376
599000;3;2,75;1960;2500;1,5;5;47,6744;-122,353
630000;3;1;1360;13000;1;5;47,3359;-122,033
1950000;4;3,5;4065;18713;2;4;47,6209;-122,237
565000;3;2,5;2700;6037;2;3;47,5376;-121,879
453000;3;2;1430;9583;1;4;47,7206;-122,197
180000;2;1;1150;5695;1;4;47,4989;-122,171
533600;3;2,5;1930;5080;2;4;47,5694;-122,001
265000;2;1;940;9458;1;3;47,7523;-122,311
399950;3;2,5;1230;922;2;3;47,6518;-122,384
234999;3;1;1330;8912;1;3;47,4493;-122,274
932808;5;4,5;4690;6705;2;3;47,5539;-122,108
320000;3;2,25;998;844;2;3;47,6983;-122,367
650000;4;2,75;2020;15810;1;4;47,5921;-122,155
235000;2;1;1500;8015;1;3;47,5027;-122,348
249000;3;2,5;1850;7200;1;3;47,3063;-122,384
251750;3;2;1320;7200;1;5;47,3947;-122,174
435000;3;1,75;1310;8065;1;4;47,701;-122,368
580000;3;2,5;2150;7484;2;3;47,6191;-122,043
285000;1;1,5;810;3211;2;4;47,6939;-122,184
618000;3;2,5;2340;3630;2;3;47,6059;-122,307
8e+05;6;4,25;5480;189050;2;4;47,412;-122,168
780000;4;2,25;2260;16188;1;3;47,5637;-122,112
346000;2;1;1070;2196;1;4;47,5726;-122,308
640000;4;2;2310;31850;1,5;4;47,7713;-122,122
726500;4;2,5;2180;3893;2;3;47,6886;-122,388
378000;3;1,5;1000;6914;1;3;47,7144;-122,319
710800;3;2,5;2880;36820;2;3;47,766;-122,044
410000;4;2,25;2150;27345;2;5;47,469;-122,121
309900;3;2,5;2020;26670;2;3;47,2597;-122,31
402000;4;1,75;2430;5481;1;3;47,5569;-122,298
479000;2;2,5;1741;1439;2;3;47,7043;-122,209
242500;3;1;940;7380;1;3;47,4516;-122,175
775000;4;3,25;4100;241322;2;3;47,7302;-122,096
635000;4;2,5;2720;7991;2;3;47,7168;-122,331
234000;3;1;1240;239144;1;3;47,4303;-122,046
310000;3;1;1510;6000;1;3;47,5168;-122,285
1157200;4;4,25;5860;52889;2;4;47,7245;-122,095
421000;3;1,75;1100;8662;1;5;47,5368;-122,173
340000;3;2;1130;9879;2;3;47,635;-121,964
479950;2;2;1510;6516;1;3;47,7076;-122,013
627000;3;2;1940;3800;1;4;47,6842;-122,309
569950;4;3,5;2700;443440;1,5;3;47,333;-122,098
679000;4;2,5;3680;7236;2;3;47,3543;-122,005
555000;4;2,5;3310;6500;2;3;47,515;-121,87
1150000;5;2,5;3580;8921;2;3;47,693;-122,202
399950;3;1,75;1560;5223;1;4;47,7175;-122,288
230000;3;1;1300;14000;1;4;47,4213;-122,322
3e+05;6;2,5;3080;8163;1;3;47,3859;-122,221
1050000;3;1,75;2650;5512;2;3;47,6265;-122,295
325000;4;2,25;1770;7799;2;3;47,4192;-122,202
590000;4;2,75;2400;104108;2;3;47,4686;-121,989
650000;4;2;1820;5000;1,5;3;47,6815;-122,269
530000;3;2,5;2030;10958;2;3;47,7251;-122,11
287500;4;2,5;2570;9000;1;4;47,2986;-122,372
718500;3;2;2910;6600;2;4;47,5576;-122,281
685000;3;1;1570;2280;2;3;47,6413;-122,364
502000;3;2,5;1600;3073;3;3;47,5934;-122,298
642000;4;2,5;2560;8780;2;3;47,5717;-121,991
262500;4;2;1540;5110;1;3;47,5164;-122,268
345000;2;1,75;1820;8409;1;4;47,7538;-122,327
610000;4;2,5;2950;9010;2;3;47,531;-121,86
631000;4;2;1930;3240;1,5;4;47,6156;-122,299
6e+05;3;3;3530;8345;2;3;47,7338;-122,234
750000;3;1,75;2240;10578;2;5;47,6954;-122,292
705000;4;2;2040;5050;1;5;47,6885;-122,324
199990;3;1;1100;8560;1;3;47,329;-122,338
5e+05;4;2,5;3010;5040;2;3;47,709;-122,35
522000;4;2,5;2835;6598;2;3;47,3878;-122,034
870000;4;2,5;3190;14565;2;3;47,713;-122,072
930000;3;3,25;2950;4446;2;3;47,5852;-122,391
550000;5;2;2450;9488;1;4;47,7056;-122,34
875000;4;1,75;2360;8286;1;3;47,6226;-122,205
289999;5;2,5;2180;8240;1;4;47,3122;-122,191
380000;4;2,5;1984;32400;1;3;47,36;-122,318
935000;2;2,5;1780;2067;2;5;47,6132;-122,21
250000;3;1;1660;7650;1,5;3;47,5576;-122,277
277140;3;1,5;1190;785;2;3;47,6781;-122,117
472000;3;1,5;1740;9038;1;4;47,5897;-122,136
560000;3;2;1300;6000;1;5;47,5482;-122,392
