"price";"bedrooms";"bathrooms";"sqft_living";"sqft_lot";"floors";"lat";"long";"yr_built"
550120;5;2,5;2620;8050;1;47,6919;-122,115;1975
250000;3;2,25;1765;7652;2;47,3072;-122,328;1996
310000;4;3;2320;7200;2;47,7703;-122,312;1976
630000;4;2,25;2900;9680;2;47,7037;-122,308;1947
312500;3;1,75;1490;9493;1;47,4514;-122,134;1976
855000;5;3,25;3420;5669;2;47,5366;-122,067;2003
950000;4;1,75;2500;92347;1;47,5345;-122,216;1970
395000;4;1;1980;10350;1;47,5226;-122,045;1968
593000;2;2,5;2000;2500;3;47,5788;-122,396;1994
250000;4;1,75;1510;5500;1,5;47,535;-122,359;1920
1200000;3;1,75;1560;8078;1,5;47,5779;-122,246;1928
340000;3;2,5;1400;4800;1;47,6865;-122,379;1921
6e+05;4;2,5;1960;14242;1;47,4947;-122,369;1958
432500;3;2,5;1940;10800;1;47,7471;-122,075;1979
475000;3;2,5;1690;2890;2;47,6802;-122,031;2004
335000;3;2,5;1150;683;2;47,5323;-122,071;2013
1289000;3;2,5;2190;11394;1;47,6685;-122,409;1956
440000;1;1;850;6567;1;47,327;-122,039;1940
395000;4;2;2240;7085;1,5;47,7309;-122,305;1944
1325000;3;3;3180;2758;2;47,6377;-122,342;2008
495000;3;2;2950;12196;2;47,4702;-122,365;1918
621000;4;2,5;2030;9905;1;47,5518;-122,184;1959
572500;3;1;1590;4600;1,5;47,6807;-122,399;1926
345000;3;1,75;3140;8571;1;47,3074;-122,337;1985
1003000;5;2,5;3150;50094;2;47,6387;-122,177;1969
330000;4;1;1360;13372;1;47,7622;-122,263;1955
220000;4;1,5;1180;8058;1;47,2966;-122,19;1969
487500;5;3,5;3530;218472;2;47,7309;-121,905;1999
550000;4;2,25;2590;36256;2;47,769;-122,094;1978
220650;2;1,75;1460;10500;1;47,4461;-121,768;1980
548000;4;3,25;3420;5012;2;47,732;-121,982;2008
470000;4;2,5;2520;9684;2;47,4848;-121,801;1994
260000;2;1;1410;5650;1,5;47,5159;-122,258;1918
825500;3;2,5;2780;11964;2;47,7127;-122,216;2009
471000;3;1,75;1640;10123;1;47,7698;-122,167;1977
249000;3;1;1752;14626;2;47,3755;-122,278;2005
1400000;4;2,5;2920;4000;1,5;47,6578;-122,28;1909
196440;3;2;1560;7352;1;47,2804;-122,251;1992
575000;3;2;2500;30056;1;47,4468;-122,337;1954
730000;4;2;2360;6000;1;47,6534;-122,41;1939
572500;3;2,5;2490;7589;2;47,5355;-122,179;1991
5e+05;2;2,25;1570;1269;2;47,6514;-122,385;2015
1398000;5;2,25;2640;14959;1;47,6191;-122,234;1929
250000;3;2;1430;7280;1;47,3742;-122,18;1980
225000;4;2,25;1800;9350;1;47,2959;-122,191;1969
565000;4;1;2170;12100;1;47,6893;-122,164;1961
280000;3;2,5;1650;6000;2;47,36;-122,194;1990
340895;2;1;920;8612;1;47,734;-122,301;1947
535000;2;1;980;4120;1;47,6815;-122,291;1950
290000;3;2,25;1500;7308;1;47,4621;-122,187;1968
437000;5;2;2120;137565;1,5;47,4558;-122,507;1913
160000;3;1,5;960;6497;1;47,3018;-122,378;1970
275000;5;2,25;1820;10500;1;47,4058;-122,177;1979
245000;3;2;1190;4072;1,5;47,5276;-122,274;1907
344000;4;2,5;2100;8501;2;47,1951;-122,01;1993
660000;3;2;2880;5100;1,5;47,6805;-122,385;1926
522500;4;1,75;2100;6480;1;47,7049;-122,359;1947
440000;3;1,75;2240;8153;1;47,7303;-122,329;1948
220000;3;1;1050;6300;1;47,5128;-122,374;1942
465000;3;1,75;1730;8073;1;47,7694;-122,367;1971
310000;3;1;1250;10723;1;47,4894;-122,135;1961
335000;3;1,5;1900;7584;1;47,5091;-122,19;1962
362500;2;1,5;940;1768;2;47,5925;-122,295;2009
511000;5;2,5;3361;6983;2;47,3427;-122,169;2006
275000;3;2,5;2497;4400;2;47,2873;-122,283;2007
515000;4;3,5;3400;5222;2;47,3559;-122;2005
415000;3;1,75;1770;10513;1;47,7726;-122,266;1982
196000;3;2,25;2070;11576;2;47,3417;-122,271;1974
230000;3;1;1250;8800;1;47,497;-122,357;1955
565000;3;2,5;1870;1058;3;47,6512;-122,345;2007
440000;4;2;2310;5004;1;47,5471;-122,298;1994
637800;4;1,75;2250;4750;1,5;47,6738;-122,292;1924
405000;3;1,75;1260;7373;1;47,7296;-122,233;1979
530000;4;2,5;3020;6788;2;47,5346;-121,881;2002
810000;4;1,75;2000;3988;1;47,5925;-122,391;1958
950000;4;2,25;2620;10920;1;47,6117;-122,164;1965
316000;3;2,5;2550;8170;2;47,311;-122,345;1985
1518630;4;4,25;3650;5328;1,5;47,638;-122,362;1907
674950;3;2,75;3510;92347;2;47,3735;-122,018;1990
830000;5;2,25;2710;19800;1;47,5958;-122,175;1959
293000;4;2,5;2019;4435;2;47,1958;-121,974;2008
745000;4;2,5;2760;13093;2;47,5845;-122,06;1989
1610000;4;2,75;4270;25807;2;47,5951;-122,206;1996
205000;3;1;1290;6566;1;47,3004;-122,377;1976
247500;4;2;1710;5200;1;47,3634;-122,09;1977
449500;4;3;2580;7299;2;47,4646;-122,15;1998
425000;2;1;970;2700;1;47,6852;-122,312;1926
289000;2;1,5;1010;1309;2;47,5659;-122,286;2007
419990;3;2,5;1690;1689;2;47,5528;-121,999;2014
237000;3;1;920;5546;1;47,7114;-122,284;1928
277500;4;2,5;2550;7500;1;47,3165;-122,386;1976
128000;3;1;1400;9690;1;47,3201;-122,398;1969
264000;3;1,5;1470;14821;1;47,3658;-122,148;1958
540000;3;2,25;2000;217800;2;47,5599;-121,911;1996
539000;3;2,25;1540;5338;1;47,6942;-122,304;1954
350000;4;2,5;2260;13755;1;47,3767;-122,161;1975
535000;2;1;1040;5527;1;47,6774;-122,284;1951
480000;5;2;1760;21562;1;47,7597;-122,263;1959
279000;3;1;1320;5750;1,5;47,5288;-122,325;1913
517000;2;1,5;1920;3408;1;47,6118;-122,299;1912
655000;4;2,5;3500;11306;2;47,5428;-121,861;2005
380000;4;2,5;2320;10079;2;47,3828;-122,026;1994
394000;5;3,25;3620;4650;2;47,3552;-122,026;2004
287000;4;1,5;1300;10050;1,5;47,4899;-122,116;1963
265000;2;1;1290;2828;2;47,6968;-122,025;2008
389950;3;2,25;1580;920;3;47,5578;-122,363;2015
910000;4;3,25;3340;10890;1,5;47,6677;-122,136;1963
640000;3;3;2270;5175;2;47,516;-122,203;2002
640000;4;1,75;2020;16120;1;47,3413;-122,048;1969
930000;3;2,5;3100;20553;1;47,7635;-122,377;1954
605000;4;2,5;2800;10786;1;47,5959;-122,116;1970
572000;4;2,75;2700;7992;2;47,4831;-122,135;2012
485000;4;2,5;3710;15935;1;47,3528;-122,267;2005
410000;3;2,5;1420;1269;3;47,6904;-122,342;2007
1245000;3;3;4610;8400;2;47,5854;-122,292;1947
550000;4;2,5;2700;5150;2;47,5071;-122,148;2007
467500;4;2,5;3160;7210;1;47,7368;-122,183;1969
175000;2;1;740;3434;1;47,2088;-121,992;1920
616500;3;2;2080;4549;1;47,6886;-122,309;1954
345000;3;1,75;1860;7191;1;47,4338;-122,168;1975
199950;2;2,75;1590;20917;1,5;47,2786;-122,25;1920
207100;2;1;1000;4500;1;47,4896;-122,204;1916
535000;5;2,25;2520;49222;2;47,4918;-122,064;1978
585000;3;2,5;2330;33750;2;47,4787;-121,723;1983
595000;4;1,75;1880;4080;1;47,6754;-122,327;1924
5e+05;4;3,25;2670;5001;1;47,5666;-122,293;2013
8e+05;4;2,25;2120;9921;2;47,5593;-122,082;1981
242500;3;1;1020;5870;1;47,741;-122,314;1941
254000;3;1;1010;7384;1;47,4905;-122,191;1943
405000;2;1,75;1710;4234;2;47,5319;-122,386;1920
1100000;4;3,5;2210;7597;1;47,5816;-122,197;1977
1e+06;5;4,5;2120;8944;2;47,5488;-122,197;1939
572500;3;2;2290;11200;2;47,6517;-122,124;1979
537000;3;2;1550;27003;1,5;47,606;-122,056;1982
324000;4;1,75;2110;7208;1;47,4464;-122,129;1975
568000;3;1,75;1760;235224;1;47,6735;-122,041;1973
350000;3;1,75;1580;19998;1;47,3299;-122,046;1968
157340;2;1;900;23000;1;47,3576;-122,156;1953
425000;2;2;1280;4095;2;47,5501;-122,393;1918
1017000;3;2,5;2605;2216;2;47,6529;-122,202;1979
450000;2;1,75;1760;2275;1,5;47,5803;-122,393;1912
224400;3;1,75;1070;7200;1;47,3129;-122,023;1994
335000;4;2;1910;10200;1;47,4804;-122,133;1963
185000;2;1;900;8000;1;47,4217;-122,317;1954
552500;5;3;2320;7229;1;47,697;-122,097;1986
265000;2;1;1600;7936;1;47,7411;-122,322;1947
728000;3;1,5;1940;4000;1,5;47,6205;-122,291;1915
250000;4;2;2120;8701;1,5;47,3722;-122,308;1960
498000;3;2;1620;8400;1;47,6574;-122,128;1968
842500;4;2,5;2160;5298;2,5;47,6106;-122,31;1902
388000;4;2,5;2090;5040;2;47,4797;-122,23;2014
295000;3;2,25;1850;7800;2;47,3146;-122,379;1974
505000;4;2,5;2420;5006;2;47,4795;-122,126;2013
515000;3;2,25;1640;8400;1;47,5484;-122,172;1962
284000;3;2,5;1660;4083;2;47,3595;-122,045;2013
845000;4;3,5;3350;19487;1;47,5796;-121,998;1992
1085000;3;2,5;3630;11019;1;47,561;-122,226;1972
279000;5;2,5;2690;5557;2;47,4914;-122,253;2012
188200;3;1;1260;7265;1;47,2979;-122,224;1954
796500;3;2,75;2590;12063;2;47,5527;-122,12;1993
475000;3;1,5;1480;13457;1;47,5914;-122,136;1959
330000;3;1;1070;10563;1;47,7687;-122,166;1969
765000;4;2,5;4040;25752;2;47,4579;-122,068;2000
430000;3;3,25;1550;1444;3;47,6767;-122,291;2006
350000;3;2,5;2680;7836;2;47,3203;-122,185;1990
350000;4;2,25;2190;3850;2;47,4854;-122,16;2006
455000;2;1;980;5000;1;47,7518;-122,279;1950
510000;2;1,5;1860;5100;1;47,5573;-122,392;1940
567500;3;2,5;2280;2502;2;47,5364;-122,073;2006
270000;3;1;1500;13500;1;47,4666;-122,072;1968
535000;2;2;1510;5133;1,5;47,6415;-122,401;1939
539000;3;1,5;1460;5040;1;47,7112;-122,357;1971
204000;3;1;1040;7405;1;47,3105;-122,021;1971
316475;4;2,5;1740;4642;2;47,3686;-122,117;2012
975000;4;2,25;2250;3600;2;47,643;-122,37;1912
430000;4;1,5;1810;7200;1;47,7207;-122,186;1966
190000;3;1,75;1270;7875;1;47,3696;-122,17;1980
1210000;3;1,75;1900;13600;1;47,6163;-122,219;1956
310000;3;1;1050;9876;1;47,7635;-122,262;1953
506950;3;2,5;2080;4931;2;47,5342;-121,868;2000
860000;3;1,75;2600;15064;1;47,64;-122,204;1967
479000;2;2,5;1730;1037;3,5;47,5594;-122,285;2008
341500;5;2,25;3120;10400;2;47,3097;-122,34;1980
615000;5;2;2130;4180;1,5;47,575;-122,388;1926
280000;4;1,5;1940;6386;1;47,5533;-122,285;1954
609000;3;2,5;2630;10131;2;47,7695;-122,259;1989
350000;3;2,25;1780;16290;2;47,4622;-122,127;1987
654000;3;3,25;1530;1565;2;47,6179;-122,312;2005
1457000;4;1,5;2650;6900;2;47,6275;-122,305;1909
345000;3;1,5;1360;13496;1;47,4032;-122,314;1960
353500;4;2,25;1760;9602;2;47,4248;-122,158;1987
425000;2;1;2110;4920;1,5;47,6872;-122,339;1911
355000;3;1;1600;5001;1,5;47,7232;-122,289;1930
408000;5;3,25;2820;6589;1,5;47,5357;-122,273;1906
660000;3;2,25;2675;40910;2;47,5916;-122,055;1984
286950;4;2,5;1610;4052;2;47,3603;-122,081;2013
810000;4;2,5;2910;6555;2;47,6659;-122,172;2005
1275000;6;5,25;6160;27490;2;47,6094;-122,023;2007
580000;3;1,5;1320;1250;3;47,6536;-122,341;2008
432500;3;2,5;2240;6396;2;47,5356;-121,881;2002
637000;4;2,75;2850;7510;2;47,7097;-122,305;2008
716000;3;1,5;1140;4800;1,5;47,6368;-122,354;1915
3e+05;4;2,5;1910;4862;2;47,3607;-122,034;2005
517500;4;2,5;1520;3370;2;47,5696;-122,004;1994
370000;3;1,75;1160;8774;1;47,7159;-122,165;1972
4e+05;3;1;1180;7537;1;47,7233;-122,221;1969
374950;4;1,5;1970;14490;1,5;47,4612;-122,069;1963
409000;3;2,5;1890;6500;2;47,6225;-122,058;2012
330000;5;3;2100;7715;1;47,4866;-122,319;2013
2225000;3;4;4200;30120;2;47,6379;-122,311;1933
725000;3;1;940;8377;1;47,5974;-122,2;1952
325000;3;2,5;2000;7205;2;47,3499;-122,302;1998
2075000;4;3,5;4230;20377;2;47,5954;-122,206;1997
310000;3;2,25;1960;2345;2;47,5419;-122,288;2003
233000;3;1;1980;8505;1;47,538;-122,353;1965
405000;2;1;860;2599;1;47,675;-122,379;1901
470000;3;1,5;1510;8000;1;47,5865;-122,135;1956
2280000;7;8;13540;307752;3;47,6675;-121,986;1999
510000;3;2;1850;9600;1;47,7671;-122,225;1968
225000;4;2;2220;14120;1;47,361;-122,116;1966
444900;4;2,5;3120;7448;2;47,3645;-122,126;1998
455000;2;1;910;5759;1;47,7153;-122,284;1951
9e+05;6;3;3020;13783;2;47,5722;-122,226;1952
152900;1;1;900;4368;1;47,2107;-121,99;1915
827000;4;2,5;3230;12100;1;47,562;-122,146;1977
250000;3;1;990;8062;1;47,4151;-122,334;1960
249000;4;2,25;1830;6136;2;47,367;-122,181;1990
280000;2;1,5;800;1196;2;47,6972;-122,341;2003
1650000;4;3,25;3910;7500;2;47,6527;-122,198;2006
852880;4;3,25;3450;6184;2;47,6072;-122,054;2014
744000;4;2,75;2830;13059;2;47,595;-121,986;1998
348000;3;2,5;2060;7458;2;47,3045;-122,351;1989
575000;2;1;1510;4032;1,5;47,6371;-122,393;1935
485000;4;1,75;2050;8913;1;47,6735;-122,151;1968
446000;2;1;2550;21675;1;47,4013;-122,319;1958
277000;4;2,5;1850;5880;2;47,3322;-122,173;1998
684000;4;3,5;3040;8414;2;47,5222;-122,157;2010
580000;7;2,75;2310;2400;1,5;47,6775;-122,39;1915
528000;4;2,25;1910;8005;1;47,7259;-122,298;1960
320000;3;2;1820;17600;1;47,4703;-122,112;1972
2400000;4;3,5;5860;7200;2;47,6287;-122,287;1907
653000;3;2,5;2290;3475;2;47,5551;-122,001;2006
690000;3;1,75;2330;16300;2;47,7037;-122,24;1964
790000;4;2,5;2240;8664;1;47,6621;-122,189;1975
359500;4;2,75;2140;10316;2;47,3537;-122,274;1993
360000;4;1,5;1720;6417;1;47,7268;-122,311;1953
320000;3;1,75;2300;12000;1;47,7599;-122,343;1942
1237500;4;4,5;5120;41327;2;47,7009;-122,059;2008
550000;3;2,5;2080;2625;2;47,5469;-121,997;2006
317000;3;2;1790;8228;1;47,4658;-122,172;1980
446500;3;2,5;2650;7286;2;47,5084;-122,154;1990
341000;3;2,25;1750;8900;2;47,4451;-122,136;1977
415000;4;2,25;2520;8000;1;47,3202;-122,383;1970
461000;2;1;1060;7193;1;47,7102;-122,356;1926
730000;3;2,25;2040;130680;2;47,7584;-122,136;1977
280000;3;2,25;1358;1141;3;47,7052;-122,346;2007
445000;3;2,5;1730;4408;2;47,5683;-122,005;1996
750000;3;2,75;3010;206910;2;47,4881;-121,721;2001
227064;3;1,5;1570;10824;2;47,54;-122,275;1908
458400;4;2,5;1910;10300;1;47,7581;-122,359;1921
435000;4;2;2630;9663;1;47,4841;-122,19;1956
470000;3;3,5;3520;35512;2;47,2416;-121,979;2005
205500;2;1;900;6400;1;47,2113;-121,992;1938
390000;3;2,5;2500;21780;1;47,3282;-122,198;1986
379000;3;2,5;1580;3075;2;47,545;-122,368;2013
716000;3;3;1660;1849;3;47,6649;-122,353;2013
4e+05;3;1;1060;12690;1;47,6736;-122,167;1969
858450;5;2,75;3460;7977;2;47,5908;-122,062;2011
807100;4;2,5;2680;4499;2;47,565;-122,125;1999
650000;4;1,75;2390;12000;1;47,7061;-122,163;1979
270000;3;2,25;2100;14027;2;47,3833;-122,1;1979
623000;4;2,75;2300;12633;2;47,6218;-122,032;1984
90000;2;1;580;7500;1;47,4852;-122,251;1943
279900;3;3,25;2240;5000;2;47,4114;-122,334;1989
630000;4;1,75;2950;9025;1;47,7128;-122,223;1975
330000;3;1,75;1850;14986;2;47,4837;-122,148;1943
250000;3;1;1230;10350;1;47,428;-122,199;1957
420000;3;1,5;1780;5000;1;47,5168;-122,256;1958
395000;2;1;870;3121;1;47,6659;-122,369;1923
730000;4;3,5;3370;5638;2;47,7196;-122,223;2001
895990;4;2,75;3555;6565;2;47,6847;-122,017;2014
320000;2;1;850;8400;1;47,4696;-122,359;1941
416000;3;2,5;1800;5372;2;47,7188;-122,177;1987
460000;3;1,75;1970;9135;1;47,7603;-122,215;1961
206000;3;1;920;8400;1;47,3771;-122,287;1963
355000;3;2,25;1960;7000;1;47,4427;-122,126;1980
340500;3;1,75;1810;10463;1;47,4581;-122,162;1969
410000;3;1;1190;5280;1;47,5131;-122,383;1957
275000;3;2,5;1720;8755;1;47,3186;-122,391;1983
268500;4;1,75;1420;7500;1;47,4025;-122,176;1981
5e+05;3;1,75;1410;1197;3;47,6558;-122,348;2012
279000;4;2;1980;10051;1;47,3231;-122,103;1969
230000;3;1,75;1260;10164;1;47,4752;-122,133;1964
635000;4;2,5;2720;7991;2;47,7168;-122,331;2006
268000;3;2,5;1550;8134;2;47,404;-122,191;1991
364000;3;2,5;1800;2790;2;47,5455;-122,371;2011
724950;4;2,5;2860;3638;1,5;47,6631;-122,361;1924
239000;2;1;710;14000;1;47,4379;-122,337;1953
749000;3;2,5;2670;10338;2;47,6599;-122,146;1987
355000;3;2,25;1430;4777;2;47,4867;-122,152;2010
216000;3;1,75;1310;8670;1;47,3156;-122,186;1984
521000;3;3,25;1460;1254;3;47,6535;-122,353;2000
