"Budget";"Movie_length";"Lead_Actor_Rating";"Lead_Actress_rating";"Director_rating";"Producer_rating";"Avg_age_actors";"X3D_available";"Genre";"Collection"
37668,455;144,8;8,425;8,63;8,44;8,79;58;"YES";"Thriller";53000
35579,775;158,9;8,485;8,725;8,635;8,725;57;"NO";"Action";37200
34091,035;160,9;8,515;8,79;8,56;8,71;36;"YES";"Comedy";38600
34257,685;163,5;8,685;8,875;8,66;8,935;20;"YES";"Comedy";40200
32502,305;170,2;8,905;9,025;8,935;8,925;57;"YES";"Comedy";39000
32418,98;165,4;8,815;8,965;8,76;9,04;20;"YES";"Drama";39000
34035,485;158,7;8,825;9,025;8,915;8,99;57;"YES";"Action";40800
35963,07;170,6;8,64;8,91;8,73;8,85;48;"NO";"Action";39600
34602,095;164,7;8,715;8,86;8,56;8,775;41;"YES";"Comedy";38800
34413,225;127,9;8,475;8,7;8,48;8,79;37;"YES";"Comedy";43400
37301,825;155,1;8,595;8,685;8,5;8,87;34;"YES";"Thriller";45600
32846,715;166,4;8,725;8,885;8,72;8,965;35;"YES";"Thriller";37600
33841,06;168,9;8,705;8,875;8,725;8,6;59;"YES";"Thriller";37400
34740,97;157,7;8,73;8,93;8,855;8,975;39;"NO";"Action";37000
32930,04;161,7;8,72;8,795;8,64;8,92;24;"NO";"Comedy";36600
34307,68;146;8,535;8,645;8,5;8,86;23;"NO";"Comedy";42400
33446,655;156,1;8,615;8,755;8,54;8,595;28;"NO";"Action";38400
32618,96;146,6;8,6;8,865;8,69;8,89;40;"YES";"Thriller";40800
31835,705;138,7;8,52;8,74;8,54;8,685;20;"YES";"Thriller";38600
32607,85;143,2;8,8;8,92;8,735;9,03;23;"YES";"Thriller";44000
33352,22;157,6;8,78;9,02;8,815;8,99;39;"YES";"Action";40600
33113,355;166,4;8,83;9,075;8,865;9,05;51;"YES";"Comedy";41000
32530,08;170,5;8,89;9,09;8,965;9,165;51;"YES";"Drama";34600
32657,845;169,3;8,895;9,13;8,9;9,06;56;"NO";"Thriller";37600
33252,23;161,9;8,935;9,075;8,855;9,155;22;"YES";"Drama";42800
31180,215;169,1;9,035;9,24;9,1;9,115;42;"NO";"Drama";31400
31624,615;169,5;8,955;9,135;9,08;9,255;31;"YES";"Comedy";32400
35724,205;172,3;9,02;9,195;9,04;9,115;41;"NO";"Comedy";36000
31313,535;168,2;8,85;9,06;8,95;9,175;30;"YES";"Drama";28600
35874,19;172,4;8,815;9,035;8,82;9,095;25;"YES";"Comedy";38400
35140,93;171,2;8,73;8,985;8,79;8,955;29;"YES";"Comedy";39200
35396,46;171,4;8,795;8,92;8,8;8,83;57;"YES";"Action";46000
32341,21;168,9;8,635;8,79;8,735;8,895;58;"YES";"Action";36800
31980,135;171,9;8,825;8,86;8,735;8,885;32;"NO";"Action";31200
35190,925;171,7;8,89;8,965;8,84;9,085;37;"YES";"Thriller";36200
33007,81;167;8,87;9,08;8,91;9,205;37;"NO";"Thriller";34800
35851,97;171,9;8,925;9,235;8,915;9,225;40;"YES";"Comedy";34200
32535,635;171,7;9,055;9,295;9,08;9,235;39;"NO";"Thriller";26600
34168,805;171,4;9,045;9,205;9,16;9,255;29;"YES";"Drama";35600
34296,57;167,1;9,07;9,23;9,065;9,41;28;"NO";"Drama";28000
27880,545;173,5;9,185;9,34;9,145;9,45;43;"YES";"Comedy";28800
30013,665;173,5;9,33;9,48;9,18;9,365;42;"YES";"Thriller";26800
30374,74;173,5;9,18;9,4;9,21;9,385;25;"YES";"Comedy";31200
27236,165;171,3;9,26;9,46;9,225;9,365;52;"YES";"Thriller";23600
34052,15;173,5;9,155;9,37;9,14;9,495;59;"YES";"Thriller";27600
31263,54;173,5;9,09;9,255;9,155;9,47;32;"YES";"Thriller";31200
27363,93;169,2;9,115;9,32;9,17;9,475;24;"NO";"Comedy";29200
28808,23;167,3;9,21;9,385;9,2;9,14;43;"NO";"Drama";35600
31091,335;168,4;9,12;9,39;9,205;9,24;48;"NO";"Comedy";30800
34007,71;170,8;9,175;9,24;9,035;9,315;34;"NO";"Thriller";43000
30019,22;173,5;9,07;9,27;9,115;9,365;42;"NO";"Thriller";39200
27841,66;161,5;9,09;9,22;9,05;9,42;46;"YES";"Comedy";30600
31713,495;172;9,11;9,32;9,05;9,275;58;"NO";"Comedy";38800
34046,595;169,5;9,115;9,265;9,015;9,11;48;"NO";"Action";34000
34174,36;156,1;9,06;9,275;9,04;9,13;37;"NO";"Thriller";31200
29285,96;167,5;9,005;9,145;9,075;9,305;60;"NO";"Thriller";26200
38568,365;170,9;9,005;9,12;9,04;9,08;57;"YES";"Comedy";82600
33696,63;173,5;9,02;9,23;9,05;9,185;46;"NO";"Thriller";48600
36163,05;173,5;9,08;9,155;9,01;9,22;36;"YES";"Drama";46600
34718,75;166,1;9,07;9,24;9,06;9,03;23;"YES";"Drama";54000
32518,97;165,3;8,645;8,805;8,755;8,95;56;"YES";"Drama";45400
33891,055;166,5;8,815;8,86;8,705;9,055;22;"YES";"Thriller";50000
32646,735;152,7;8,655;8,895;8,71;8,89;22;"YES";"Drama";47600
35102,045;169,6;8,855;8,98;8,88;9,085;23;"NO";"Comedy";47600
35563,11;168,7;8,85;8,94;8,835;8,85;22;"NO";"Action";36500
32635,625;168,1;8,65;8,79;8,64;9,07;28;"NO";"Drama";34800
32663,4;170,8;8,69;8,82;8,725;8,985;54;"NO";"Thriller";38200
30952,46;162;8,65;8,73;8,635;8,79;38;"NO";"Thriller";46200
35640,88;157,6;8,57;8,715;8,615;8,805;59;"YES";"Comedy";47200
32546,745;142,2;8,58;8,65;8,485;8,88;35;"YES";"Thriller";45200
36363,03;106,6;8,39;8,545;8,395;8,41;48;"YES";"Comedy";58800
33441,1;120,7;8,125;8,295;8,11;8,36;49;"YES";"Drama";46400
35079,825;146,9;8,325;8,36;8,295;8,38;31;"YES";"Drama";49200
38107,3;147,9;8,405;8,625;8,395;8,75;28;"NO";"Comedy";59800
38773,9;131,9;8,445;8,725;8,58;8,59;50;"NO";"Drama";74400
43134,575;156,8;8,51;8,67;8,52;8,82;60;"YES";"Action";79600
34129,92;135,7;8,655;8,805;8,605;8,74;59;"YES";"Thriller";72400
39746,025;165,7;8,64;8,675;8,54;8,75;56;"YES";"Thriller";75800
36457,465;169,1;8,48;8,665;8,545;8,62;60;"YES";"Drama";65000
31130,22;163,3;8,47;8,58;8,425;8,545;27;"YES";"Drama";52800
34179,915;142,3;8,285;8,475;8,25;8,43;45;"YES";"Drama";59200
37674,01;114,6;8,095;8,15;8,065;8,115;23;"YES";"Thriller";64000
36418,58;102,6;7,69;7,86;7,66;7,655;40;"YES";"Thriller";59600
39912,675;112,4;7,585;7,785;7,66;7,835;20;"NO";"Thriller";69800
38612,805;95;6,73;6,82;6,645;6,845;55;"NO";"Comedy";66000
37435,145;104,3;6,645;6,79;6,63;6,975;40;"NO";"Comedy";61000
39873,79;99,8;6,62;6,83;6,7;6,895;40;"YES";"Drama";72800
37774;83,4;6,77;6,935;6,775;7,08;24;"NO";"Thriller";62200
36685,22;92,3;6,745;6,985;6,77;7,06;59;"NO";"Thriller";58200
40479,285;107,6;6,21;6,4;6,245;6,525;20;"YES";"Action";66600
39479,385;110,1;6,18;6,49;6,3;6,41;24;"YES";"Action";60600
40407,07;111,8;6,235;6,39;6,27;6,485;43;"NO";"Drama";69200
38746,125;88,8;6,015;6,24;6,11;6,33;24;"YES";"Comedy";69800
39634,925;87,4;6,105;6,185;6,015;6,39;22;"NO";"Drama";65800
34229,91;111,9;6,8;6,965;6,8;6,89;32;"YES";"Thriller";48200
42273,55;89,2;6,825;6,955;6,735;6,95;30;"NO";"Action";84600
43623,415;106,7;7,315;7,485;7,35;7,615;22;"NO";"Comedy";97000
32724,505;95,8;7,88;8,19;7,945;8,09;26;"YES";"Thriller";45200
35140,93;126;7,685;7,88;7,765;7,955;52;"YES";"Thriller";48800
32124,565;146,2;7,68;7,875;7,7;8,04;38;"YES";"Comedy";45000
33685,52;132,6;7,85;8,005;7,725;7,94;31;"YES";"Comedy";48800
29685,92;173,5;8,025;8,07;7,93;8,225;60;"NO";"Comedy";40000
33107,8;165,6;8,045;8,185;8,02;8;36;"YES";"Comedy";43400
30019,22;162,1;8,005;8,295;8,1;8,27;39;"NO";"Thriller";38600
32257,885;127,3;8,17;8,21;8,1;8,215;20;"YES";"Thriller";44800
35413,125;105,8;7,945;8,04;7,91;8,215;3;"YES";"Comedy";56200
30063,66;83,3;8,16;8,26;8,165;8,235;21;"YES";"Comedy";47400
34341,01;115,9;7,925;8,095;8,02;8,065;30;"YES";"Drama";50000
32707,84;129,5;8,28;8,515;8,285;8,695;22;"YES";"Action";46600
36896,31;158,6;8,24;8,405;8,155;8,36;23;"NO";"Comedy";57400
33057,805;167,3;8,54;8,56;8,46;8,66;49;"YES";"Comedy";43000
35402,015;165,9;8,175;8,375;8,315;8,405;21;"YES";"Comedy";46000
38612,805;162;8,485;8,64;8,485;8,67;23;"NO";"Thriller";53400
34241,02;164,8;8,345;8,48;8,42;8,66;37;"YES";"Comedy";43400
38212,845;151,2;8,295;8,395;8,31;8,455;50;"YES";"Action";55000
36762,99;154,3;8,25;8,4;8,23;8,58;39;"YES";"Thriller";60200
45917,63;151,8;8,52;8,635;8,435;8,62;47;"YES";"Drama";89600
44662,2;160;8,255;8,52;8,345;8,45;54;"YES";"Action";75200
39790,465;153,4;8,345;8,44;8,36;8,42;34;"NO";"Thriller";63200
42695,73;90,5;8,225;8,35;8,195;8,475;43;"YES";"Drama";93400
36396,36;94,9;8,22;8,36;8,29;8,385;47;"YES";"Comedy";63000
33224,455;141,6;8,015;8,31;8,06;8,265;59;"NO";"Comedy";48600
41173,66;150,4;8,06;8,33;8,065;8,2;26;"YES";"Comedy";63400
46312,035;146,8;7,97;8,09;8,05;8,21;28;"YES";"Thriller";83400
45812,085;143,9;8,09;8,255;8,13;8,225;23;"YES";"Comedy";96600
37362,93;140;8,165;8,31;8,015;8,205;32;"YES";"Thriller";58000
33807,73;135;8,045;8,305;8,095;8,255;57;"YES";"Comedy";48000
36835,205;150;7,77;8,05;7,9;7,985;36;"YES";"Action";50200
40873,69;145,1;7,88;8,09;7,835;7,9;34;"YES";"Thriller";63000
36001,955;92;6,87;6,94;6,775;7,035;48;"YES";"Action";47400
36696,33;115,7;6,875;6,945;6,795;7,005;51;"NO";"Action";46600
38312,835;127,8;6,755;6,935;6,8;6,84;24;"YES";"Comedy";54000
33857,725;138,6;6,785;6,96;6,685;6,9;41;"NO";"Comedy";40200
35318,69;126,4;6,445;6,595;6,405;6,485;42;"YES";"Thriller";44400
35513,115;81,3;6,47;6,515;6,435;6,505;26;"YES";"Thriller";47400
31069,115;150;5,925;6,19;5,94;6,035;42;"NO";"Comedy";35200
31135,775;143,7;5,86;6,085;5,86;6,285;59;"YES";"Comedy";37000
33929,94;108,4;5,815;6,11;5,81;6,155;25;"YES";"Comedy";48600
34585,43;152,7;5,915;6,005;5,85;6,12;31;"NO";"Thriller";41000
35735,315;122,6;5,975;6,13;6,055;6,185;43;"YES";"Thriller";49000
37318,49;91;5,96;6,2;5,96;6,23;39;"YES";"Comedy";52400
36035,285;86,5;6,25;6,34;6,185;6,43;38;"YES";"Thriller";48800
35763,09;82,4;6,285;6,41;6,295;6,215;50;"NO";"Drama";49600
38646,135;80,3;5,41;5,575;5,45;5,755;57;"NO";"Action";59200
45878,745;81,9;5,485;5,555;5,465;5,68;53;"NO";"Thriller";85600
33929,94;105,5;5,305;5,495;5,345;5,42;56;"NO";"Thriller";43800
32641,18;92,6;5,385;5,445;5,26;5,47;31;"NO";"Comedy";41800
41406,97;107,7;6,67;6,985;6,665;7,01;38;"NO";"Thriller";88000
40734,815;173,5;8,9;9,13;8,99;9,195;58;"YES";"Thriller";72000
38007,31;173,5;8,9;9,09;8,84;9,145;40;"YES";"Thriller";60200
40012,665;155,3;8,94;9,025;8,815;8,995;21;"YES";"Drama";67600
41773,6;162,9;8,8;9;8,925;9;24;"YES";"Action";86200
46650,89;165;8,725;8,98;8,805;8,915;24;"YES";"Thriller";97600
40701,485;168;8,795;8,99;8,895;9,16;60;"YES";"Comedy";62000
40029,33;165,1;9,02;9,045;8,89;9,185;36;"YES";"Thriller";73000
30885,8;136,3;8,95;9,015;8,97;9,095;59;"NO";"Comedy";45600
38962,77;158,1;8,89;9,07;8,82;8,955;41;"NO";"Thriller";61400
41495,85;126,1;8,415;8,69;8,51;8,645;43;"NO";"Drama";87000
32885,6;135;7,89;8,185;8,015;8,075;29;"NO";"Action";41400
32530,08;115,6;7,67;7,895;7,745;7,83;27;"YES";"Comedy";42200
34663,2;89,8;7,72;7,815;7,655;7,95;25;"NO";"Thriller";50400
36318,59;132,2;7,995;8,185;7,94;8,045;40;"YES";"Thriller";48800
42723,505;125,3;7,735;7,95;7,76;7,82;39;"YES";"Thriller";70400
37540,69;106,4;7,9;8,01;7,81;8,12;30;"NO";"Thriller";64800
38073,97;116,3;7,86;7,95;7,73;7,925;23;"YES";"Thriller";64000
40368,185;122,5;7,53;7,66;7,515;7,72;35;"NO";"Drama";66400
37918,43;101,1;7,43;7,58;7,54;7,725;21;"NO";"Thriller";66200
36007,51;105,6;7,89;7,96;7,8;8,075;38;"YES";"Thriller";58200
37840,66;105,7;7,825;8,04;7,89;8,045;26;"NO";"Drama";70200
43440,1;138;7,51;7,665;7,58;7,855;50;"NO";"Comedy";90800
38707,24;110,7;7,225;7,54;7,215;7,53;48;"YES";"Comedy";70800
42467,975;123,2;7,27;7,53;7,285;7,495;25;"YES";"Drama";92000
39373,84;94,3;6,28;6,5;6,18;6,425;30;"YES";"Action";64400
35846,415;105,4;6,335;6,445;6,26;6,345;55;"YES";"Comedy";44000
34607,65;105;5,395;5,54;5,295;5,595;39;"YES";"Comedy";40200
34490,995;104,8;6,275;6,4;6,21;6,475;60;"YES";"Drama";46400
35079,825;119,1;6,185;6,48;6,27;6,43;22;"NO";"Thriller";44600
36468,575;96,4;6,335;6,505;6,275;6,25;60;"NO";"Comedy";49600
38112,855;101,4;7,39;7,59;7,42;7,365;53;"YES";"Thriller";57000
39707,14;101,2;7,44;7,515;7,295;7,515;37;"YES";"Comedy";74600
36829,65;96,9;7,375;7,48;7,315;7,595;37;"NO";"Thriller";55800
34035,485;91,9;7,12;7,305;7,165;7,4;46;"YES";"Thriller";47800
33379,995;115,8;7,23;7,265;7,22;7,28;23;"NO";"Drama";43400
37096,29;104,6;6,9;7,135;6,965;7,08;44;"YES";"Thriller";57200
36379,695;124,5;6,89;7,125;6,865;7,195;26;"NO";"Comedy";54200
32163,45;131,5;6,72;6,85;6,825;6,965;42;"YES";"Comedy";40600
35246,475;93,6;6;6,165;5,985;6,195;48;"NO";"Drama";45000
39112,755;83,5;6,08;6,095;5,945;6,22;36;"YES";"Drama";58000
38168,405;120,9;5,955;6,16;6,055;6,175;29;"YES";"Thriller";49600
36607,45;113,9;7,185;7,4;7,25;7,175;21;"YES";"Thriller";44000
36079,725;91,9;7,1;7,4;7,16;7,36;42;"YES";"Action";52800
38785,01;91,2;7,095;7,32;7,245;7,355;34;"NO";"Comedy";66200
40195,98;114,6;7,95;8,02;7,955;8,03;55;"NO";"Thriller";72200
36751,88;131,6;8,185;8,475;8,175;8,425;22;"NO";"Comedy";56800
41218,1;145,4;8,345;8,54;8,36;8,555;23;"YES";"Thriller";66800
38046,195;143,8;8,36;8,555;8,345;8,375;46;"YES";"Action";56400
36857,425;156;8,215;8,38;8,295;8,475;31;"NO";"Thriller";45600
33174,46;150,2;8,3;8,545;8,36;8,59;51;"YES";"Comedy";40600
27625,015;111,3;8,685;8,86;8,685;8,735;27;"NO";"Thriller";32200
34007,71;126,3;8,555;8,83;8,615;8,725;46;"YES";"Thriller";44200
33457,765;163,9;8,5;8,665;8,425;8,745;26;"YES";"Comedy";38800
34807,63;156,3;8,31;8,51;8,295;8,36;33;"YES";"Comedy";43200
36479,685;160,8;8,04;8,345;8,1;8,305;56;"YES";"Drama";47600
31691,275;151,2;7,99;8,1;7,945;8,075;58;"NO";"Thriller";32400
32852,27;156,7;7,9;8,09;7,96;8,055;43;"NO";"Thriller";35600
32119,01;145,2;7,935;8,03;7,83;8,135;50;"NO";"Thriller";39600
35452,01;140,7;8,1;8,325;8,21;8,3;53;"NO";"Comedy";46200
33957,715;132,3;7,965;8,07;7,88;8,08;36;"NO";"Action";42000
35696,43;125,8;7,63;7,84;7,615;7,83;48;"YES";"Thriller";47600
35418,68;127,8;7,575;7,81;7,595;7,94;40;"YES";"Drama";46200
33557,755;123,4;7,535;7,785;7,565;7,67;40;"NO";"Comedy";40800
31707,94;147,8;7,545;7,7;7,55;7,765;25;"YES";"Comedy";37000
35635,325;113,6;7,5;7,75;7,49;7,82;52;"NO";"Thriller";50000
35724,205;88,2;7,245;7,45;7,215;7,255;45;"NO";"Comedy";49200
35063,16;102,4;7,265;7,455;7,145;7,3;36;"YES";"Thriller";46000
33791,065;117,2;7,205;7,31;7,26;7,395;27;"NO";"Comedy";44400
32596,74;99,3;7,29;7,47;7,265;7,54;35;"YES";"Drama";38600
35179,815;90,7;7,32;7,46;7,275;7,515;53;"NO";"Comedy";45200
34129,92;105,7;6,99;7,225;7,05;6,985;26;"NO";"Thriller";39600
31696,83;101,9;6,665;6,72;6,67;6,665;21;"NO";"Drama";34200
33502,205;96,8;6,525;6,71;6,6;6,885;22;"YES";"Comedy";38800
35085,38;111,6;6,62;6,9;6,735;6,83;34;"NO";"Comedy";44400
35052,05;112;6,74;6,83;6,655;6,855;53;"YES";"Action";40000
33535,535;108;6,87;7,15;6,865;7,145;57;"YES";"Comedy";42200
32602,295;119,8;7,25;7,545;7,25;7,495;53;"NO";"Thriller";39000
32746,725;133,1;7,07;7,255;7,16;7,285;21;"YES";"Thriller";37000
33657,745;110,8;7,545;7,74;7,465;7,625;26;"YES";"Thriller";41200
33246,675;118,9;7,555;7,68;7,475;7,665;28;"NO";"Drama";38000
33152,24;132;7,47;7,62;7,515;7,77;20;"YES";"Comedy";37400
40223,755;122,8;6,34;6,52;6,41;6,655;48;"YES";"Comedy";65400
36329,7;133,2;6,77;6,895;6,705;7,095;40;"YES";"Thriller";33000
37196,28;129,9;6,985;7,19;7,08;7,28;52;"YES";"Action";47800
38185,07;101,6;6,645;6,91;6,665;6,85;23;"NO";"Thriller";62400
33407,77;122;5,88;6,045;5,885;6,165;26;"YES";"Drama";35000
32763,39;125,8;5,965;6,075;5,835;6,095;46;"NO";"Thriller";34400
36196,38;101,2;5,565;5,855;5,71;5,795;47;"YES";"Drama";46200
36857,425;103,2;5,69;5,91;5,73;5,985;45;"YES";"Comedy";49000
38546,145;108;5,56;5,73;5,515;5,605;30;"YES";"Comedy";53200
36051,95;117,9;5,5;5,685;5,445;5,785;55;"NO";"Thriller";45800
36546,345;109,4;4,51;4,785;4,575;4,705;45;"YES";"Thriller";48200
32685,62;92;4,585;4,725;4,515;4,75;50;"YES";"Thriller";37200
37374,04;109,6;3,84;4,035;3,84;4,03;40;"YES";"Drama";60200
31457,965;95,4;4,62;4,815;4,62;4,775;34;"NO";"Comedy";36400
32974,48;93;4,59;4,75;4,69;4,8;53;"NO";"Thriller";41200
34507,66;170,9;8,92;9,095;8,785;8,955;39;"NO";"Comedy";35600
35524,225;164,5;8,585;8,775;8,69;8,94;56;"NO";"Drama";43400
34035,485;156,9;8,52;8,8;8,55;8,685;42;"NO";"Action";45400
33952,16;154,8;8,61;8,81;8,72;8,845;26;"NO";"Drama";45200
35540,89;161,5;8,635;8,79;8,655;8,885;37;"NO";"Comedy";50000
34724,305;164,6;8,71;9,01;8,85;8,84;56;"YES";"Thriller";39800
29785,91;169,7;8,865;9,1;8,895;8,93;52;"NO";"Drama";41600
