"SEX";"MARITAL_STATUS";"AGE";"QUANT_DEPENDANTS";"MONTHS_IN_RESIDENCE";"MONTHS_IN_THE_JOB";"PROFESSION_CODE";"PERSONAL_NET_INCOME";"DELINQ"
"F";"C";40;0;228;72;100;450;"0"
"F";"S";51;0;240;0;72;500;"0"
"F";"S";31;0;336;24;205;360;"0"
"F";"C";41;0;60;36;305;1100;"0"
"F";"S";26;0;60;0;30;0;"0"
"F";"S";29;0;252;0;29;275;"0"
"F";"C";36;0;180;12;205;180;"0"
"F";"O";43;0;240;12;165;200;"0"
"F";"S";20;0;240;12;514;770;"0"
"M";"S";25;0;240;12;950;850;"0"
"M";"C";39;0;24;96;512;2500;"0"
"F";"S";35;0;12;36;654;530;"0"
"M";"S";20;0;240;12;38;258;"0"
"M";"S";18;0;192;24;950;500;"0"
"F";"S";19;0;216;0;220;0;"0"
"M";"O";35;0;156;96;159;900;"1"
"F";"S";22;0;12;12;205;360;"0"
"F";"C";39;0;468;12;131;278;"0"
"F";"C";45;0;120;0;720;0;"0"
"F";"S";32;0;72;12;13;322;"0"
"F";"D";26;0;24;36;732;484;"1"
"F";"C";44;0;72;240;950;1500;"1"
"F";"S";21;0;12;96;60;200;"0"
"F";"C";24;0;36;12;38;249;"0"
"F";"S";25;0;180;48;514;1100;"0"
"F";"C";61;0;12;264;38;432;"0"
"F";"C";32;0;48;12;999;1000;"0"
"F";"C";68;0;12;240;13;1111;"0"
"F";"C";36;0;36;96;165;300;"0"
"F";"S";20;0;36;24;999;300;"0"
"F";"S";39;0;0;108;704;471;"0"
"M";"V";59;0;444;12;703;360;"0"
"F";"S";18;0;180;12;999;560;"0"
"M";"C";32;0;0;120;514;805;"0"
"F";"C";35;0;240;24;853;720;"0"
"F";"S";25;0;72;0;999;500;"1"
"M";"S";28;0;336;12;514;1141;"0"
"F";"S";35;0;12;48;950;300;"1"
"M";"C";30;0;72;12;522;594;"0"
"F";"S";23;0;276;0;999;300;"0"
"M";"S";20;0;240;24;514;760;"0"
"F";"C";22;0;48;48;205;181;"0"
"F";"V";54;0;372;12;703;462;"0"
"F";"S";30;0;300;0;205;220;"0"
"F";"C";28;0;120;12;36;456;"0"
"M";"S";24;0;120;0;999;0;"0"
"F";"C";44;0;240;12;35;380;"0"
"M";"S";29;0;240;12;999;218;"0"
"M";"C";38;0;168;168;991;620;"0"
"M";"C";49;0;204;36;521;670;"0"
"F";"S";19;0;168;0;652;428;"0"
"F";"V";59;0;708;12;703;2666;"0"
"M";"C";29;0;72;72;992;634;"0"
"M";"C";36;0;120;240;254;1100;"1"
"F";"V";71;0;336;48;725;640;"0"
"F";"S";21;0;12;12;654;300;"1"
"F";"S";26;0;240;0;992;210;"0"
"F";"V";64;0;156;324;713;1060;"0"
"M";"C";42;0;12;120;202;409;"1"
"M";"S";23;0;36;12;950;400;"0"
"F";"D";63;0;276;324;713;3472;"0"
"M";"D";56;0;24;204;38;729;"1"
"M";"C";57;0;120;0;13;347;"1"
"F";"C";32;0;108;0;205;0;"0"
"F";"S";20;0;72;12;26;191;"0"
"F";"C";19;0;120;12;24;220;"1"
"F";"C";33;0;108;12;720;877;"0"
"F";"S";24;0;144;48;999;240;"0"
"F";"C";53;0;252;0;713;1100;"0"
"M";"D";57;0;240;108;703;538;"0"
"M";"C";39;0;48;0;211;1286;"0"
"M";"S";19;0;216;12;514;460;"1"
"M";"S";20;0;24;12;514;750;"0"
"F";"V";50;0;600;36;525;297;"0"
"F";"O";25;0;36;0;999;1000;"1"
"F";"S";50;0;480;348;205;360;"0"
"F";"S";30;0;120;132;205;220;"0"
"F";"C";63;0;264;60;13;1064;"0"
"F";"O";27;0;132;24;60;278;"0"
"F";"O";33;0;12;0;103;1200;"0"
"M";"C";31;0;24;168;110;1200;"0"
"M";"C";32;0;36;120;721;339;"0"
"F";"S";33;0;12;36;914;700;"0"
"F";"S";18;0;216;0;999;1;"0"
"F";"C";28;0;36;24;113;1000;"0"
"F";"S";37;0;216;0;950;540;"0"
"M";"C";57;0;36;0;515;1500;"0"
"F";"C";41;0;180;60;950;300;"1"
"M";"S";37;0;300;24;13;180;"0"
"F";"S";30;0;36;24;950;550;"0"
"F";"O";25;0;48;12;26;320;"0"
"F";"C";34;0;12;0;855;230;"0"
"F";"C";40;0;36;48;43;400;"0"
"F";"S";40;0;48;24;801;756;"1"
"F";"C";31;0;60;132;205;208;"0"
"M";"C";34;0;120;0;717;1080;"0"
"F";"S";23;0;276;36;501;500;"0"
"F";"S";22;0;12;0;950;211;"1"
"F";"C";51;0;24;36;38;710;"0"
"M";"C";32;0;360;12;706;444;"1"
"M";"S";19;0;132;12;999;450;"1"
"F";"C";36;0;72;48;712;400;"0"
"M";"S";19;0;228;0;218;360;"0"
"F";"S";22;0;48;60;100;300;"0"
"F";"C";48;0;72;36;13;925;"0"
"M";"C";50;0;480;0;13;210;"0"
"M";"S";32;0;132;0;855;277;"0"
"M";"C";36;0;72;72;991;456;"0"
"M";"S";35;0;60;36;110;416;"0"
"F";"C";47;0;168;228;713;660;"0"
"M";"C";27;0;36;12;707;400;"0"
"M";"S";33;0;0;0;118;277;"0"
"F";"S";20;0;240;0;4;1604;"0"
"M";"C";49;0;120;12;135;309;"0"
"M";"C";38;0;372;36;167;490;"0"
"M";"C";55;0;300;96;305;1412;"0"
"F";"S";23;0;276;12;40;717;"1"
"F";"O";30;0;12;12;312;732;"0"
"F";"S";38;0;60;12;165;250;"0"
"F";"V";61;0;336;0;703;1231;"0"
"M";"C";34;0;84;120;305;3000;"1"
"F";"C";25;0;120;12;720;300;"0"
"M";"S";35;0;300;12;40;500;"0"
"F";"D";48;0;48;36;718;518;"0"
"F";"C";31;0;24;48;806;366;"0"
"F";"S";43;0;108;120;131;300;"0"
"F";"S";55;0;360;312;262;4670;"0"
"F";"C";40;0;132;216;704;1686;"0"
"M";"S";18;0;144;12;39;445;"0"
"F";"S";42;0;120;120;210;1600;"0"
"F";"C";39;0;168;12;19;411;"0"
"F";"C";51;0;24;360;725;180;"0"
"M";"S";18;0;216;36;26;192;"1"
"M";"C";44;0;72;0;29;550;"0"
"M";"S";20;0;240;0;159;1900;"1"
"F";"S";36;0;168;96;72;500;"0"
"F";"C";39;0;240;0;205;220;"0"
"M";"C";32;0;96;36;952;500;"0"
"F";"S";21;0;24;0;801;260;"0"
"F";"V";41;0;384;168;703;380;"0"
"F";"C";27;0;216;36;131;500;"1"
"M";"S";27;0;480;12;45;600;"0"
"F";"S";21;0;252;12;26;208;"0"
"F";"D";44;0;528;276;999;820;"0"
"F";"C";43;0;264;0;501;247;"0"
"F";"S";61;0;732;180;13;180;"0"
"M";"C";40;0;12;12;46;590;"0"
"M";"C";41;0;492;12;999;454;"1"
"F";"C";64;0;72;360;131;800;"0"
"F";"S";30;0;12;12;205;180;"0"
"F";"S";29;0;60;12;950;225;"0"
"M";"S";26;0;312;24;801;800;"1"
"F";"S";19;0;60;12;60;267;"0"
"F";"S";20;0;120;0;999;252;"0"
"M";"C";34;0;120;36;79;1408;"0"
"F";"S";48;0;24;24;999;350;"0"
"M";"O";41;0;216;12;30;390;"0"
"F";"S";20;0;60;0;999;500;"0"
"F";"S";19;0;12;12;806;240;"0"
"M";"C";53;0;216;0;515;1768;"0"
"F";"S";23;0;48;12;801;350;"0"
"F";"C";44;0;60;180;713;1300;"0"
"F";"C";27;0;336;12;999;660;"0"
"F";"D";33;0;540;12;950;300;"0"
"F";"C";34;0;420;156;166;1000;"0"
"F";"S";19;0;12;12;950;320;"0"
"M";"S";28;0;48;48;707;445;"0"
"M";"S";28;0;336;12;26;210;"0"
"M";"S";24;0;276;36;921;700;"0"
"M";"S";17;0;48;12;26;300;"0"
"M";"V";52;0;60;24;13;213;"1"
"M";"C";51;0;360;240;702;1160;"0"
"F";"S";28;0;36;12;72;220;"0"
"M";"S";20;0;0;24;118;222;"0"
"M";"C";31;0;12;12;717;830;"0"
"F";"S";22;0;264;12;210;446;"1"
"F";"S";29;0;348;12;950;200;"0"
"M";"S";21;0;252;12;999;400;"0"
"F";"D";50;0;96;60;13;1383;"0"
"F";"O";24;0;36;0;720;1;"0"
"M";"C";32;0;12;0;999;700;"0"
"F";"O";46;0;72;300;40;938;"0"
"F";"C";50;0;216;96;717;10000;"0"
"F";"C";66;0;12;120;13;707;"0"
"F";"S";36;0;432;96;704;531;"1"
"M";"S";36;0;108;12;953;880;"0"
"F";"S";39;0;192;168;718;2500;"0"
"F";"C";36;0;72;60;999;600;"0"
"F";"S";37;0;72;36;952;832;"0"
"F";"S";42;0;24;48;24;756;"1"
"M";"S";51;0;12;48;953;630;"0"
"F";"S";22;0;12;12;950;500;"0"
"F";"V";59;0;240;132;725;1031;"0"
"F";"S";23;0;48;48;137;700;"0"
"F";"C";20;0;120;0;653;180;"0"
"F";"O";17;0;216;24;62;200;"1"
"F";"S";25;0;12;12;999;634;"0"
"F";"S";20;0;96;12;40;306;"0"
"F";"S";60;0;300;36;210;650;"0"
"F";"C";35;0;48;72;131;350;"0"
"F";"S";21;0;108;24;999;394;"0"
"F";"S";65;0;24;48;13;200;"0"
"F";"O";34;0;192;48;801;266;"0"
"F";"V";73;0;624;60;13;701;"0"
"F";"C";62;0;756;12;703;180;"1"
"M";"S";37;0;408;48;49;430;"0"
"F";"V";48;0;324;0;205;300;"0"
"F";"V";66;0;360;72;703;3168;"0"
"F";"S";34;0;216;24;999;241;"0"
"M";"C";69;0;360;468;133;963;"1"
"M";"S";25;0;24;12;999;711;"0"
"F";"C";20;0;12;36;501;350;"0"
"M";"S";21;0;120;24;113;800;"0"
"F";"C";37;0;24;24;732;600;"0"
"F";"V";53;0;216;144;703;240;"0"
"F";"S";38;0;36;48;205;380;"0"
"M";"C";35;0;396;120;717;700;"0"
"M";"S";19;0;240;0;301;333;"0"
"M";"D";60;0;48;48;707;500;"0"
"F";"C";49;0;60;60;305;800;"0"
"F";"D";40;0;168;120;131;450;"0"
"M";"O";48;0;576;0;13;226;"1"
"F";"S";28;0;36;12;26;200;"0"
"M";"S";21;0;228;12;78;640;"0"
"F";"S";21;0;24;12;38;235;"0"
"F";"C";25;0;0;0;950;600;"0"
"F";"C";42;0;72;72;165;300;"0"
"F";"C";53;0;12;36;26;250;"0"
"M";"S";36;0;216;24;161;1622;"0"
"F";"S";42;0;12;72;205;350;"0"
"M";"S";19;0;72;0;64;756;"0"
"F";"C";43;0;96;0;720;0;"0"
"F";"S";30;0;240;0;950;270;"0"
"M";"S";20;0;120;12;706;320;"0"
"F";"O";22;0;276;0;999;500;"0"
"F";"S";59;0;12;132;713;1027;"0"
"M";"C";25;0;48;60;223;237;"1"
"F";"D";55;0;300;444;713;640;"0"
"M";"S";43;0;72;300;514;1046;"0"
"M";"S";19;0;84;12;30;252;"1"
"F";"S";23;0;120;60;205;200;"0"
"F";"C";51;0;240;48;712;500;"0"
"F";"S";20;0;240;0;853;200;"0"
"F";"C";18;0;24;0;302;200;"1"
"F";"S";18;0;12;24;38;300;"0"
"F";"C";21;0;12;24;950;800;"0"
"F";"S";23;0;36;36;712;300;"1"
"M";"C";38;0;12;12;514;1777;"0"
"F";"S";58;0;240;0;950;300;"0"
"F";"S";20;0;36;0;653;216;"0"
"F";"S";20;0;240;12;999;200;"0"
"F";"C";45;0;240;60;205;220;"1"
"M";"O";40;0;24;12;521;307;"0"
"F";"O";38;0;456;72;38;600;"0"
"F";"C";33;0;36;72;205;226;"0"
"F";"S";36;0;12;36;26;200;"0"
"F";"C";39;0;468;120;24;1300;"0"
"F";"S";35;0;180;144;704;500;"0"
"M";"S";20;0;240;12;139;286;"1"
"F";"C";30;0;24;36;718;510;"0"
"F";"C";35;0;0;120;402;800;"0"
"F";"C";59;0;72;0;999;694;"0"
"F";"V";68;0;120;300;13;360;"0"
"M";"S";25;0;300;12;40;470;"0"
"F";"C";47;0;480;0;720;622;"0"
"M";"C";35;0;24;120;804;1500;"0"
"F";"V";66;0;792;192;703;451;"0"
"F";"C";48;0;48;264;501;800;"1"
"M";"C";51;0;48;24;522;746;"0"
"F";"S";23;0;36;12;40;240;"0"
"F";"C";45;0;84;0;40;600;"0"
"F";"O";33;0;240;48;35;456;"0"
"F";"S";46;0;216;12;514;817;"0"
"F";"S";18;0;216;12;35;908;"1"
"F";"S";20;0;96;72;60;180;"1"
"F";"S";40;0;0;120;950;500;"0"
"M";"S";20;0;72;12;514;310;"0"
"M";"C";40;0;108;12;514;950;"0"
"F";"O";18;0;84;0;720;0;"0"
"F";"O";43;0;192;132;51;813;"0"
"M";"C";35;0;180;12;305;520;"0"
"F";"S";22;0;240;24;24;400;"0"
"M";"C";24;0;288;180;922;600;"1"
"F";"O";30;0;240;0;205;300;"0"
"F";"S";48;0;204;24;713;1004;"0"
"F";"S";31;0;12;24;131;262;"0"
"F";"S";42;0;60;120;2;1500;"0"
"F";"C";27;0;336;12;999;497;"0"
"F";"C";41;0;264;300;131;500;"0"
"M";"S";22;0;264;12;522;2000;"0"
"F";"S";22;0;24;12;999;340;"0"
"F";"S";36;0;216;36;305;220;"0"
"F";"C";22;0;180;36;506;600;"1"
"M";"S";24;0;240;48;350;600;"0"
"F";"C";47;0;192;0;151;600;"1"
"F";"S";20;0;240;0;950;313;"0"
"M";"C";31;0;12;12;26;250;"0"
"F";"C";37;0;144;120;713;1000;"0"
"F";"S";19;0;156;0;999;200;"0"
"F";"C";26;0;96;60;950;600;"1"
"F";"S";46;0;360;360;205;220;"0"
"M";"S";47;0;564;60;950;600;"1"
"F";"O";21;0;36;0;950;300;"0"
"F";"S";18;0;120;12;60;300;"0"
"M";"C";40;0;24;168;999;8231;"0"
"F";"C";63;0;432;0;950;300;"0"
"F";"S";27;0;84;36;950;600;"1"
"F";"V";68;0;372;12;13;428;"0"
"F";"C";35;0;24;0;950;1500;"0"
"F";"S";21;0;240;24;40;180;"0"
"F";"S";21;0;216;0;205;220;"1"
"M";"C";20;0;180;12;202;450;"1"
"F";"D";43;0;0;36;24;350;"0"
"F";"S";29;0;360;36;123;345;"0"
"F";"C";35;0;24;12;123;239;"0"
"F";"S";18;0;84;12;801;546;"0"
"M";"C";27;0;96;96;952;350;"0"
"F";"S";21;0;24;12;35;275;"0"
"F";"S";20;0;24;36;24;420;"0"
"F";"S";32;0;84;120;704;395;"0"
"F";"D";61;0;24;48;999;1200;"0"
"F";"O";30;0;60;12;205;270;"1"
"M";"S";25;0;12;12;265;385;"1"
"M";"S";27;0;72;12;26;240;"0"
"F";"S";34;0;240;60;950;800;"0"
"M";"C";33;0;120;12;26;473;"0"
"M";"S";19;0;12;24;501;250;"0"
"F";"S";20;0;12;12;654;287;"0"
"F";"S";20;0;300;12;992;370;"0"
"F";"C";32;0;240;96;38;600;"0"
"F";"D";53;0;192;96;131;1200;"0"
"F";"O";41;0;120;96;305;4966;"0"
"F";"O";51;0;144;96;26;189;"0"
"F";"C";32;0;396;84;950;450;"0"
"F";"C";32;0;96;24;205;450;"0"
"M";"C";41;0;240;0;508;1200;"0"
"F";"S";22;0;12;12;950;500;"0"
"M";"S";38;0;456;36;521;283;"0"
"F";"C";25;0;36;36;514;488;"0"
"F";"S";20;0;240;12;801;250;"0"
"F";"C";51;0;240;240;950;0;"0"
"M";"C";45;0;72;12;155;565;"0"
"M";"C";39;0;96;24;999;2000;"1"
"F";"C";75;0;24;120;13;500;"0"
"F";"C";43;0;480;0;703;805;"0"
"M";"S";40;0;120;216;950;600;"0"
"F";"O";42;0;240;24;950;550;"0"
"F";"V";46;0;96;0;130;848;"0"
"M";"C";35;0;24;12;508;1050;"0"
"F";"S";38;0;384;72;950;700;"0"
"F";"S";24;0;240;0;213;252;"0"
"F";"C";37;0;360;12;720;200;"0"
"F";"C";22;0;0;12;39;247;"0"
"F";"S";55;0;108;480;725;1000;"0"
"F";"S";19;0;96;12;950;297;"0"
"F";"S";20;0;240;36;950;300;"1"
"F";"C";42;0;360;0;89;0;"1"
"M";"S";24;0;240;36;12;1400;"0"
"F";"S";25;0;12;24;39;279;"0"
"F";"C";29;0;24;48;38;398;"1"
"M";"C";58;0;60;96;13;1500;"0"
"F";"C";40;0;348;12;43;450;"0"
"F";"S";23;0;276;24;33;598;"0"
"F";"C";40;0;216;0;205;220;"0"
"M";"S";19;0;228;12;514;440;"0"
"M";"C";31;0;12;12;266;625;"0"
"M";"C";24;0;36;36;702;400;"1"
"M";"C";56;0;180;180;707;1500;"0"
"F";"C";38;0;24;84;513;805;"0"
"M";"S";24;0;288;12;514;532;"0"
"F";"S";20;0;168;0;999;180;"0"
"F";"S";21;0;0;0;130;250;"0"
"M";"C";58;0;228;0;13;2946;"0"
"F";"C";35;0;24;120;210;2800;"0"
"M";"C";41;0;12;12;654;200;"0"
"F";"S";33;0;24;24;950;600;"0"
"F";"S";70;0;168;0;704;1057;"1"
"M";"C";45;0;144;240;169;2000;"0"
"M";"C";44;0;312;12;953;436;"0"
"F";"S";37;0;336;12;520;640;"1"
"M";"V";57;0;120;0;725;530;"1"
"M";"S";19;0;36;12;514;375;"1"
"M";"S";19;0;12;12;310;201;"0"
"M";"C";26;0;288;0;999;400;"0"
"F";"V";38;0;252;36;704;2668;"0"
"F";"V";64;0;480;36;703;327;"0"
"M";"C";46;0;24;24;34;1521;"0"
"M";"V";40;0;84;264;514;2100;"0"
"F";"S";47;0;420;96;60;450;"0"
"F";"C";42;0;36;60;100;500;"0"
"M";"D";64;0;240;0;13;891;"0"
"F";"C";32;0;156;180;100;500;"0"
"M";"S";18;0;36;0;60;180;"0"
"F";"O";25;0;72;12;801;189;"0"
"F";"C";37;0;24;12;123;300;"0"
"M";"C";30;0;36;60;301;800;"1"
"M";"C";25;0;12;36;653;398;"1"
"F";"S";37;0;48;24;205;200;"0"
"F";"S";28;0;216;12;950;260;"0"
"F";"S";27;0;180;12;804;380;"0"
"F";"S";50;0;336;240;525;356;"0"
"M";"S";27;0;336;12;908;250;"1"
"F";"S";18;0;144;36;26;180;"0"
"M";"C";43;0;180;36;110;416;"0"
"M";"C";46;0;240;60;521;360;"0"
"M";"C";41;0;360;12;864;700;"0"
"F";"C";67;0;528;0;13;180;"0"
"F";"C";36;0;144;108;210;1470;"0"
"F";"C";37;0;36;12;712;400;"0"
"F";"S";33;0;36;84;501;500;"0"
"F";"C";63;0;480;0;704;827;"0"
"F";"S";18;0;144;12;213;270;"0"
"M";"S";23;0;24;12;514;810;"1"
"F";"C";63;0;180;132;999;500;"0"
"F";"C";39;0;132;24;4;685;"0"
"F";"S";50;0;12;72;13;689;"0"
"F";"C";47;0;240;168;712;2200;"0"
"F";"S";26;0;216;12;305;500;"0"
"F";"C";49;0;216;0;720;0;"0"
"M";"S";23;0;276;36;950;550;"0"
"F";"C";53;0;360;0;999;650;"1"
"M";"S";43;0;24;12;154;672;"0"
"F";"S";25;0;240;12;999;450;"0"
"F";"C";57;0;384;0;720;0;"0"
"F";"S";23;0;24;12;999;500;"1"
"M";"S";25;0;36;96;514;1009;"0"
"M";"S";20;0;240;0;254;314;"0"
"M";"C";21;0;36;24;999;398;"0"
"F";"S";54;0;120;60;13;1053;"0"
"F";"S";21;0;12;0;950;1200;"0"
"F";"C";32;0;36;48;165;300;"0"
"F";"C";40;0;24;0;999;0;"0"
"M";"O";44;0;0;60;999;626;"0"
"F";"C";29;0;240;24;522;1500;"0"
"M";"C";46;0;288;12;702;534;"0"
"M";"C";62;0;480;360;13;180;"0"
"F";"C";50;0;96;120;999;800;"0"
"F";"S";33;0;120;24;131;250;"0"
"F";"S";27;0;96;72;165;450;"1"
"M";"S";19;0;120;24;123;380;"0"
"M";"S";22;0;12;36;514;780;"0"
"M";"O";35;0;96;96;508;817;"1"
"M";"C";22;0;48;0;999;540;"1"
"M";"S";21;0;12;12;653;175;"0"
"F";"O";51;0;96;0;26;286;"0"
"F";"S";34;0;252;12;999;1200;"0"
"F";"S";18;0;84;0;305;245;"1"
"F";"S";22;0;12;12;165;280;"0"
"M";"C";28;0;72;24;707;500;"0"
"F";"C";40;0;240;240;305;2495;"1"
"F";"S";23;0;240;12;305;450;"1"
"F";"O";44;0;48;60;131;279;"0"
"F";"S";49;0;180;12;131;582;"0"
"F";"D";42;0;60;48;704;467;"0"
