"price";"bedrooms";"bathrooms";"sqft_living";"sqft_lot";"floors";"condition";"yr_built"
425000;3;2,25;1890;8400;1;3;1977
328500;4;3;2290;8250;2;3;1990
670000;5;2,75;2900;5155;2;3;2008
516500;1;1,25;1100;638;3;3;2014
237000;3;1,5;1800;9216;1;4;1950
279000;3;2;1640;5650;1;3;2003
306000;2;1;930;5650;1;3;1941
438000;3;2,5;1520;1304;2;3;2006
249000;4;2,25;1830;6136;2;3;1990
118125;2;1;790;7153;1;4;1944
609000;3;2,5;2630;10131;2;3;1989
325000;2;2,25;1230;1078;2;3;2008
265000;3;2,5;1780;6527;2;3;1989
775000;4;2,75;2740;6200;1,5;4;1947
4e+05;3;2;3000;17800;1;3;1962
680000;4;3,5;2510;3763;2;3;2013
792000;4;2,75;3100;10245;2;3;1999
695000;4;3,5;3510;9364;2;3;2001
524000;4;1;1980;7015;1;3;1973
825000;3;1,75;2080;5000;2;5;1906
550000;3;1;1110;6000;1;3;1904
585000;3;2,5;1740;2350;2;3;1995
1031000;4;1,75;2110;6708;1;3;1941
247500;3;2;1530;8749;1;3;1995
280000;3;1;1160;10881;1;2;1983
253000;3;2,25;1440;9806;1;3;1965
570000;3;1;1660;7650;1,5;3;1910
819000;3;3,5;2130;6150;2;5;1908
469775;2;1,75;1530;7020;1;3;1942
415000;2;1;760;4000;1;3;1944
431000;4;2,5;3040;6000;2;3;2007
298500;4;2,5;1890;5954;2;3;2004
550120;5;2,5;2620;8050;1;3;1975
215000;3;1;960;9563;1;5;1967
9e+05;4;3,5;3370;5000;2;3;2008
245000;2;1;670;1675;1;5;1960
775000;4;2,5;2580;5787;2;3;2007
675000;3;1,75;1660;9549;1;3;1956
201700;3;1;1010;9576;1;4;1967
675000;4;2,5;2560;36601;2;4;1987
762400;3;1,75;2430;14607;1;3;1949
246500;2;1;940;6000;1;2;1954
510000;3;1,75;1920;43560;1;4;1962
255000;1;1;810;5000;1;3;1936
399000;3;2,5;1430;1250;3;3;2007
410000;4;3;2430;7243;2;3;2003
572000;4;2,75;2770;3852;2;3;2014
470000;2;1;1190;5200;1;5;1912
650000;4;2,25;2330;7220;2;3;1988
480000;4;3,5;3370;435600;2;3;2005
599950;2;1;1150;3775;1;3;1917
305000;2;1;890;7200;1;3;1949
325000;3;2,5;2550;4240;2;3;2006
360000;4;2,5;2000;5500;2;3;2003
324950;4;2;2160;4800;2;4;1929
980000;4;1,75;2260;17711;1;4;1968
883000;4;2,5;3670;54450;2;3;1999
414000;3;2,5;2490;4540;2,5;3;2012
663000;3;2;1480;3876;1;5;1928
380000;3;2;2010;16736;2;4;1929
430000;3;1,75;1300;12731;1;3;1981
205000;3;1;1120;8342;1;4;1976
387000;3;1,5;1340;6500;1;3;1972
490000;3;2,25;1470;2500;2;3;1984
289950;3;2,25;1740;9370;1;3;1992
828500;4;2,5;3720;35000;2;3;1983
526000;3;3,25;1220;1281;2;3;2014
460000;2;2,25;1230;929;2;3;2004
433200;3;2,5;2075;16200;2;3;2002
295500;3;1,75;1330;10523;1;3;1981
792000;3;1,5;1570;1050;2;3;1915
225000;3;2;1700;11475;1;5;1945
437000;3;1,75;2220;17568;1;4;1967
449000;4;2,75;2090;14141;1,5;4;1941
847093;4;2,75;2760;5670;2;3;2014
270000;2;1;2060;8398;1;3;1962
635000;2;2,5;2470;8840;2;4;2001
260000;6;2;2220;8797;1;3;1977
595000;2;1,75;1280;8500;1;3;1953
1010800;4;3,25;3610;4000;2;3;2007
201000;4;1,5;1360;8100;1,5;3;1962
540000;4;2;1990;29078;2;3;1984
579000;4;3,25;1900;2631;2;3;2014
255000;3;1,5;1340;8450;1;4;1958
744000;3;2,5;2670;12187;2;3;1986
855000;4;2,75;2600;5390;1;4;1960
565000;4;1;2170;12100;1;5;1961
940000;3;1;1220;8119;1;4;1955
468000;2;1;1160;6000;1;4;1942
525000;3;3,5;2876;5086;2;3;2007
590000;2;2,5;1450;1281;2;3;2006
282000;3;1;1250;13503;1,5;4;1931
3e+05;3;1;1220;13000;1;4;1955
249000;3;1,75;2120;18335;1;3;1961
496000;3;2,5;2180;4533;2;3;2010
240000;4;2,5;2040;11841;2;3;1994
307000;3;1,75;1890;13860;1;5;1966
420000;4;1,75;2480;60548;1;4;1968
230000;3;1;1390;16000;1;4;1960
411000;4;2,75;2150;9915;1;5;1976
350000;4;2,5;2440;4000;2;3;2009
369000;4;2,75;2420;6495;2;3;2005
525000;4;2,75;2500;10330;1;4;1978
349950;3;2;1640;4714;1;3;2009
406000;3;1,75;1390;7904;1;3;1985
549950;5;2,5;2650;54380;2;3;1984
875000;3;2,5;1820;6848;1;4;1953
449950;3;2,25;1610;5159;2;3;1985
368000;4;2;3160;11193;1;5;1942
781500;4;2,5;3440;6332;2;3;2001
902000;4;2,25;2530;9200;1;5;1976
506400;3;2,5;2100;9040;1;3;1989
765000;3;2,75;2250;9600;2,5;4;1909
565000;3;2;2730;15677;2,5;3;1976
292000;2;1;880;5500;1;3;1904
507000;3;2,5;2120;7201;2;3;2003
352500;3;1;1470;8400;1;4;1953
296000;4;1,5;1370;9750;1;3;1953
6e+05;3;1;1040;5000;1,5;3;1912
419000;3;2,5;3310;21096;2;3;2004
320000;2;1;1802;11225;1;3;1961
735000;3;2;1610;3600;2;5;1925
510000;3;2,5;1860;3658;2;3;1994
6e+05;4;2,25;2760;5200;2;3;1910
408506;3;2,75;2480;209199;1,5;3;2000
529950;3;2,25;1240;1250;3;3;2014
150000;3;0,75;490;38500;1,5;4;1959
408000;3;1,75;1600;313672;1;4;1960
650000;3;2,5;2190;3600;2;3;2003
865000;4;3,5;3380;11270;2;3;2007
641000;2;1;1420;5332;1;3;1953
502700;4;3,5;2710;14016;2;4;1968
365000;3;2,25;1800;9010;1;3;1975
405500;2;2,75;1350;1252;2;3;2006
7e+05;3;1,5;1580;5000;1;3;1939
453000;4;2;1880;5100;1;3;1952
320000;3;1,5;1650;9380;1;5;1978
3e+05;2;1,75;2120;6350;1;4;1924
755000;3;3,25;3450;15586;2;3;1989
275000;3;2;1910;8050;1;4;1980
339950;2;1;820;681;3;3;2006
125000;3;1;1230;4800;1,5;1;1916
665000;3;2,5;2330;15536;1;3;1996
445000;3;2,5;2790;16173;2;3;1988
280000;3;1,75;1770;8240;1;4;1978
374000;3;1,75;1510;18439;1;3;1971
675000;4;1,75;2220;7230;1;3;1950
675000;3;2,25;2260;13209;1;3;1977
937500;5;3,75;4210;14599;2;3;2004
539950;3;2;1560;3200;1,5;3;1910
565000;3;2,25;2560;8040;1;3;1958
295000;2;1,75;2200;89298;1;3;1973
280000;3;2;1020;889;2;3;2009
432500;3;2,5;2390;6435;1;3;1978
799000;3;1,5;2210;6300;1,5;5;1916
260000;3;2;1030;7260;1;3;1947
365500;3;2;1410;9600;1;4;1983
769000;5;2,25;3320;13138;1;4;1964
217000;3;1;1110;9827;1;3;1966
590000;3;2;1410;6413;1;4;1947
505000;4;2,5;2780;6369;1;3;1978
275000;3;1,5;1060;6954;1;4;1983
529000;4;1,75;2800;90169;2;3;1934
237000;3;1;1300;8160;1;4;1960
350000;3;2,25;1840;9929;1;3;1987
307000;4;1;1150;8184;1,5;3;1947
265000;3;2,25;1489;2800;2;3;2012
580000;5;2;2290;7125;1;3;1964
545000;2;1,5;2340;13380;1;4;1954
850000;2;1,5;2210;5000;1;3;1951
230000;3;1;1250;9035;1;4;1970
470000;6;1,75;2490;8732;1,5;4;1966
2e+05;3;1;1200;10703;1,5;2;1918
325000;3;2,5;2260;8120;2;3;2004
765000;5;3;2870;5700;1;3;1964
535000;3;2;2040;5600;1;5;1954
5e+05;3;1,5;2220;8994;1;4;1962
292000;4;3;1984;4460;2;3;2012
370000;4;2;1950;3757;1;4;1908
408000;3;2,25;2800;35362;2;3;1985
280000;4;2,5;2200;5893;2;3;2008
592500;2;2;1420;9191;1,5;5;1928
505000;2;1;1000;4640;1;3;1915
285950;2;1;1170;6000;1;3;1948
305100;3;2;1590;35988;1;4;1974
326000;3;2,5;1782;1577;3;3;2000
575000;3;3;1384;1287;2;3;2006
630000;4;2;1610;5000;2;5;1946
392500;3;1;1390;10500;1,5;3;1940
580000;3;2,25;1670;7416;1;4;1974
539500;3;2,5;3080;12476;2;3;1990
550388;3;3;1720;70567;1;5;1966
840000;4;1,75;2480;11010;1;4;1966
575000;4;2,5;2280;27441;2;3;1996
436000;2;1;790;6600;1;3;1949
465000;5;3;2010;7264;1;3;1990
522500;3;1,75;1710;9707;1;4;1966
344000;3;2,25;1250;1033;3;3;2007
635000;3;1,75;2940;6000;1;4;1957
799000;4;3;2580;209523;2;3;1984
305000;3;2,5;1714;3240;2;3;2005
277000;4;1;1450;6250;1;3;1964
255000;3;1;1160;8636;1;3;1923
7e+05;2;1,5;1850;4945;1,5;4;1907
310000;3;2,25;1960;2345;2;3;2003
460000;3;3,25;1370;1194;3;3;2005
397500;3;2,25;1430;1383;3;3;2005
349000;3;3,25;1340;1151;3;3;2008
310000;2;1;1050;2699;1;3;2005
275400;2;1;890;8180;1;3;1947
669500;4;2,25;2500;4046;1,5;4;1940
560000;4;1,5;1810;6000;1;3;1952
280000;3;2,25;1360;9600;2;3;1992
605000;4;2,25;2940;48788;1;5;1961
520000;2;1,75;1340;1368;2;3;2006
284200;3;1,75;1540;6632;1;3;1959
380000;3;3,25;2090;51212;1;3;1989
424950;3;1,75;2090;7505;1;3;1967
382500;3;2;1150;6249;1;3;1952
249950;3;3;1790;2003;2;3;2006
156000;1;0,75;470;15000;1;3;1947
535000;4;1,75;1570;3250;1,5;5;1928
540000;3;2,5;1810;3930;2;3;2008
429000;3;2,5;2530;8820;2;3;1997
465000;4;2,5;1930;9653;1;4;1968
886000;3;2,25;2380;6000;2;5;1931
308000;3;2,5;1250;1150;2;3;2009
260000;3;2,25;1413;3403;2;3;2009
285000;3;1;1090;8640;1;4;1973
240000;3;1,75;1240;10956;1;3;1987
509000;2;2;1560;4675;1;3;2006
637800;4;1,75;2250;4750;1,5;4;1924
521000;3;2;1840;6000;1;4;1908
759000;3;2,75;1960;6390;1,5;5;1900
595000;2;1,5;1030;4500;1;3;1924
431000;3;2,25;2360;14950;1;4;1978
277500;3;2,25;1820;19602;1;4;1964
1010000;4;2,75;2940;5400;1,5;5;1910
246000;3;1,5;1630;10200;1;4;1976
882566;4;2,5;3560;5265;3;3;2014
229900;3;1;1440;11925;1;3;1968
438000;3;1,75;1780;9660;1;3;1962
345000;2;1,5;830;920;2;3;2005
335900;4;2,75;2475;4000;2;3;2014
1184000;4;2,5;3200;7500;1,5;5;1948
559500;4;1,75;1650;7088;1;3;1973
416100;4;1,75;2320;5490;1;3;1956
283000;4;1,5;1480;47045;1;5;1942
255000;3;1,75;2190;6000;1,5;4;1920
410000;3;1,75;1530;26642;1;3;1988
380000;5;3,25;3800;15500;1;3;1965
3e+05;4;2,5;2080;2999;2;3;1998
614000;4;2,75;2760;8160;1,5;4;1940
685000;3;2,5;3450;8000;3;4;1927
309000;3;1;1140;6400;1;3;1962
130000;2;1;790;7500;1;3;1951
288790;4;2;1350;942;3;3;2008
680000;3;1,75;1090;6775;1;4;1950
339950;3;2,5;1730;4286;2;3;1999
515000;4;2,5;2670;8765;2;3;2006
339950;5;2,5;2990;7292;2;4;1990
340000;2;1;1280;9690;1;4;1919
355000;3;3;1850;9600;1;3;1981
257500;3;2;1300;9334;1;5;1981
340000;2;2,5;1100;1760;3;3;1997
255000;3;1,75;1700;7532;1;3;1987
299000;3;1,75;2100;15480;1;3;1983
218250;3;1;1270;7344;1;3;1967
350000;2;1,5;830;1077;2;3;2006
502000;3;1;1710;5000;1;5;1921
443000;3;2,25;1920;8223;2;4;1989
311100;4;2,25;2130;8078;1;4;1977
510000;3;2,5;2730;7136;2;3;2012
645000;3;2,5;1740;13750;2;4;1975
331000;3;1,75;1300;9079;1;3;1986
875000;3;2,5;1690;10592;1;3;1973
825000;4;3,5;3920;11086;2;3;1999
310000;2;1;720;5750;1;2;1943
315000;3;2,5;1410;1325;2;3;2007
265000;3;1,5;1560;10489;1;5;1961
359000;4;1,5;1890;6052;1;4;1955
369950;3;1,75;1640;4860;1;3;1965
505000;3;2,25;1460;7210;1;3;1963
505000;4;3;2280;7400;1;3;1978
585000;4;2,5;1950;3720;2;3;2004
323000;4;1,75;1440;8114;1;4;1963
720000;4;2,25;2530;5200;1;4;1957
184500;3;1,5;1280;3640;2;3;1983
347000;2;1,75;1315;2162;2;4;1974
490000;2;1;990;5000;1;3;1941
475500;3;1;1500;9416;1;4;1952
659000;4;2;2350;9329;2;3;1977
450000;3;2,5;2480;5647;2;3;2002
835000;3;2,25;2120;54014;2;4;1964
210000;3;2,25;1720;9435;1;4;1978
518000;4;2,5;2830;13760;2;3;1993
272000;3;1,5;1760;9600;1;4;1966
225000;3;1;1020;8437;1;5;1987
4e+05;3;1,75;1330;9143;1;3;1960
318000;5;2,5;2820;9956;1;4;1967
675000;4;2,5;3000;5548;2;3;2006
535000;3;2,5;2790;19485;2;3;1990
361000;3;1;1040;6720;1,5;3;1951
549000;3;2,25;1230;1380;3;3;2013
399950;3;2,5;1610;1320;2;3;2007
691000;2;2;1780;3810;1,5;3;1922
296000;4;2,5;1780;3600;2;3;2006
6e+05;3;1,75;2340;57499;1;3;1988
218000;3;1;980;12812;1;3;1956
320000;3;1;1330;5850;1;3;1954
3e+05;4;2,5;1960;9898;2;3;2001
310000;1;0,75;520;2885;1;4;1947
379000;2;1;930;5400;1;3;1952
634000;3;2,5;2490;4904;2;3;2003
649000;2;1,75;2260;280962;2;3;2005
228000;4;1,75;2000;6120;1;3;1965
315000;2;1;630;6550;1;3;1918
162950;2;1;950;2784;1;4;1972
562500;3;2,5;2030;7549;1;3;1988
372500;3;1,75;1550;12956;1;3;1988
284000;3;1,75;1320;35100;1;3;1990
464000;4;2,5;3140;12591;2;3;1993
310000;3;1;1010;9945;1;4;1973
447500;3;2,5;2320;15024;2;3;1990
749950;4;2,5;2620;8312;2;3;1990
312000;3;2,5;1750;4076;2;3;2013
291600;3;1,75;1630;7480;1;3;1979
340000;2;1,75;1500;4158;1;4;1947
729000;3;1,5;1770;30689;1;3;1953
825000;4;2,75;3990;6637;2;3;2003
650000;2;1,75;1450;4000;1,5;4;1903
274900;4;2,5;1970;6600;2;3;1987
375000;3;1;1230;9877;1;3;1954
415000;4;3;1830;9548;2;3;1991
352500;3;1,75;1860;7881;1;3;1986
565000;4;2,5;2980;10459;2;3;2001
312000;4;2,5;1790;10584;1;4;1981
903000;2;1,5;1140;7800;1;4;1947
287000;5;1,5;1730;9230;1;3;1962
546500;3;2,5;1410;2675;1;3;1985
521000;4;1,75;2020;36400;1;4;1976
290000;4;1,75;2340;7200;1;3;1960
285000;2;1;720;6400;1;4;1943
685000;3;2;2500;6733;1;3;1979
255000;2;1;920;43560;1;4;1923
660000;3;2,5;1780;1729;2;3;2008
570000;4;2;2000;46902;2;3;1978
768500;4;1,75;3620;10400;1;4;1965
515000;2;1;1640;5200;1;4;1937
438000;3;1,75;1520;6380;1;3;1948
185000;4;1;1760;8906;1;3;1966
220000;4;1;1440;8250;1;3;1959
245000;5;1,5;2000;8100;1,5;3;1946
338000;4;1,5;1790;17925;1;4;1951
4e+05;4;2,5;3140;12792;2;4;1977
390000;3;2,5;1910;4755;2;3;1997
648000;4;2,25;2170;8240;2;4;1983
330000;4;2;1820;9450;1;3;1962
475000;4;2,25;1800;7200;1;3;1979
258000;3;2;1390;7200;1;3;1996
239000;2;1,5;680;772;2;3;2005
435000;4;2,25;2140;6355;2;3;2002
8e+05;4;2,25;2350;10664;1;2;1952
425000;4;1,75;2120;15920;1;4;1960
441000;3;2;1720;15000;1;3;2011
613500;3;3,25;1876;1531;3;3;2009
1060000;4;3,5;3850;8100;2;3;1995
872500;4;2;1990;6000;1;3;1956
752000;4;2,5;2570;8178;1;3;1961
320000;2;1;900;7620;1;3;1971
560000;3;3;4120;60392;2;3;1994
450000;5;2;1870;7344;1,5;3;1960
325000;3;1,75;1780;11096;1;3;1979
480000;5;2,5;2732;9500;1;4;1975
648000;4;2,5;2620;5450;2;3;2001
427500;4;2,5;2460;5091;2;3;2003
7e+05;4;1,75;1730;6500;1;3;1945
475000;3;2,25;1190;1137;2;3;1999
160000;2;1;1040;13100;1;5;1912
445000;4;2;1650;6000;1;5;1959
990000;3;2,5;2160;6000;1,5;4;1939
521450;3;2;1290;5700;1;5;1950
414000;4;2,5;2120;6497;2;3;2003
299000;4;2,25;1870;6693;2;3;1996
632500;4;1,5;2720;37258;2;3;1994
729000;3;2,5;2480;7428;2;3;1990
635000;5;3,5;4150;13232;2;3;2006
543000;3;2,25;1240;949;3;3;2008
490000;3;2,25;2380;6000;1;3;1961
605000;3;2,5;1660;1692;3;3;2005
547000;3;2,5;1570;1452;2,5;3;2007
315000;2;1;970;18557;1;3;1939
546500;3;2,5;2130;7199;2;3;1990
525126;5;2,25;1950;8025;1;3;1960
287000;3;2,25;1370;6000;2;4;1992
473000;3;2,75;1050;7200;1;3;1985
625000;4;2,5;3190;27806;2;3;1997
251200;4;1,5;1310;8250;1;3;1953
265000;3;1;960;9748;1;3;1922
680000;4;2,5;3030;13068;2;3;1978
260000;2;1;770;7906;1;4;1948
606000;4;2,5;2110;13850;2;3;1987
583000;4;2,75;2200;9453;1;5;1955
265000;4;1;1940;9533;1;3;1962
643500;3;2;1650;7104;2;3;1945
183000;3;1,75;1070;8100;1;4;1957
5e+05;4;1,75;2290;9215;1;5;1969
231500;2;1;1000;7615;1;4;1943
402500;4;1;1270;3630;1,5;3;1903
436000;3;2,25;1480;1384;3;3;2008
752000;4;2,5;2940;10382;2;4;1991
375000;4;2;2270;18450;1;3;1961
415000;3;2,75;2600;64626;1,5;3;2009
286000;4;2,5;1820;7930;2;5;1989
640000;4;2,5;2460;9973;1;4;1965
615000;3;1,75;1780;5175;1;4;1927
515000;2;1,75;1930;5570;1;3;2005
345000;5;2,75;1940;4182;1;3;2002
880000;3;2,5;2870;5163;2;3;2014
235000;2;1;720;6321;1;3;1940
563950;4;2,75;3050;4750;2;3;2014
460000;3;2,5;1730;8490;1;3;1969
780000;5;3,5;3190;4247;2;3;2013
403000;3;1;1400;6879;1;3;1951
340000;4;2,5;2320;4142;2;3;2010
323500;3;3;2240;11536;2;3;1943
629950;3;2,5;1680;1683;2;3;2014
560000;3;2,5;2840;216493;2;3;1991
877500;4;2;3060;8000;2;4;1922
745000;3;1,75;1490;9800;1;4;1947
565000;3;2,5;1870;1058;3;3;2007
90000;2;1;580;7500;1;3;1943
410000;3;1,75;1440;7112;1;3;1979
399000;3;1;860;9403;1;4;1942
575000;4;2,75;2730;35075;1;3;1979
294000;3;2;1650;11256;1;4;1957
267000;4;1,75;2000;7350;1;3;1963
285000;1;1,5;810;3211;2;4;1982
332000;3;2,5;1530;9406;1;3;1993
563000;4;1;1410;3376;1,5;5;1911
762500;4;2,5;3150;5979;2;3;2005
480000;3;2,5;2450;28185;2;3;1990
375000;4;2,5;2990;6145;2;3;2003
550000;4;2,5;2120;9163;1;4;1961
215000;3;2;1760;9282;1;5;1947
305500;3;1;1240;6090;1;4;1950
635000;3;3;2230;1407;2,5;3;2014
887000;3;2;3000;22040;2;4;1942
256750;3;2,5;1990;8991;1;3;1969
244000;2;1;1180;10200;1;4;1955
399000;2;1;1120;8661;1;3;1946
234900;3;1;1250;8000;1;3;1956
484950;3;2,25;1590;926;3;3;2014
249000;3;2;1360;6082;1;3;1994
250000;1;0,75;940;87120;1;3;1944
725000;5;3,75;3360;6000;2;3;1963
285000;2;1,5;990;1380;3;3;2001
533000;3;2,5;2060;4812;2;3;1990
434975;3;2,25;1590;9960;1;3;1976
315000;3;2,5;2340;6837;2;3;1992
541800;4;2,5;3118;7866;2;3;2014
207000;4;2;1690;7728;1,5;4;1967
255950;3;2,5;1720;3676;2;3;1992
445000;3;2,25;1990;7340;2;3;1984
452500;3;2,5;2240;7791;2;3;2002
276000;2;2;1480;6075;1;5;1919
415000;4;1,75;2230;9625;1;3;1955
250000;3;2;1470;2781;2;3;2003
275000;3;1,5;1390;48257;1;3;1922
325000;3;1;1410;8250;1;3;1954
535000;3;2,5;2070;4132;2;3;1999
560000;4;1;1660;4690;1,5;3;1945
320000;3;3,25;1450;1387;2;3;2013
749000;3;1;1580;5000;1,5;3;1926
257000;3;1,75;1397;18000;1;3;1965
410000;3;2;1320;6000;1,5;4;1920
935000;3;3,25;3710;38509;2;3;1998
443500;3;2,5;2170;5866;2;3;2006
440000;3;2,5;1440;5434;2;3;2003
975000;4;2,5;4270;43386;1;3;1991
260000;4;1,75;1650;7276;1;3;1977
799000;4;2,5;3170;94855;1;4;1978
919000;4;2,5;3620;17133;1;3;1993
319000;4;2,25;2380;7400;1;4;1979
515000;2;2,25;2690;15000;1;3;1987
350000;4;3;2560;5606;2;3;2004
385000;3;1,75;1180;10541;1;4;1981
820000;4;2,5;3170;8523;2;3;2008
615000;2;1;1540;6872;1;4;1946
445000;3;1,75;1850;7056;2,5;4;1979
639000;4;2;1940;5000;1;4;1910
231000;3;2;1640;4875;1;4;1977
150000;3;1;1320;24684;1;3;1979
425000;3;2,5;1960;4709;2;3;2003
510000;2;1;890;6095;1;3;1947
455000;3;1;1300;3550;1,5;3;1927
688000;4;3;3000;4000;1,5;3;1913
475000;4;2,5;2500;4500;2;3;2010
485000;3;1,75;1950;10080;1;4;1967
515000;5;3;2530;5105;1;3;2005
392000;3;1;1090;6125;1;4;1945
1e+06;4;3,5;2990;4200;2;5;1925
241000;3;1;1150;10000;1;3;1951
850000;3;1,75;2450;8603;1;5;1940
210000;5;2;2050;10200;1;3;1956
375000;3;3,25;1370;1227;3;3;2007
657000;4;2,5;2640;25038;2;4;1995
214000;3;1;1200;8316;1;4;1953
425000;2;1;1150;6835;1;3;1922
286000;4;2,5;2060;16000;2;3;1993
287000;3;2,5;1710;10341;2;3;1986
825000;3;2,75;3040;24192;2;4;1987
625000;3;2,25;1920;9672;2;4;1984
545000;4;2,75;3410;35040;2;3;1984
335000;3;2,5;2440;7632;2;3;1998
450000;4;2,25;2040;9565;1;3;1959
255000;4;1,75;1650;7200;1;3;1977
875000;4;2,5;3030;16000;2;3;1990
790000;3;2,5;3040;34670;2;4;1983
352500;3;1,5;1360;7680;1;3;1955
565997;5;2,75;2730;5820;2;3;2014
375000;3;1;1040;9800;1;4;1955
334000;5;1,75;2590;6720;1;4;1979
750000;3;2;1820;5000;1,5;4;1941
290000;3;2;1260;7346;1;3;1987
1035000;4;4;4090;51908;2;3;1991
286000;2;1,5;1010;825;3;3;2007
589950;3;2;2080;12094;2;4;1982
365070;4;2,5;2506;6232;2;3;2006
1e+05;2;1;770;17334;1;3;1978
982000;4;2,75;3610;8580;2;3;2014
350000;3;2,5;2040;13590;2;3;2009
539950;3;2,5;1330;2183;3;3;2014
440000;3;2,5;1390;4997;2;3;2004
403950;4;2,5;2120;13780;2;3;1993
607000;3;1;1230;8114;1;4;1951
341000;3;1,5;1720;7119;1,5;4;1952
695000;4;3;3150;9130;2;3;2001
402000;3;2,5;1520;3425;2;3;1986
230000;6;1,5;1810;4838;1,5;4;1905
432500;3;3;2500;6000;2;3;2012
605000;2;2;1270;5500;1,5;4;1921
650500;4;1,75;2340;5940;1;3;1953
343000;2;1;1110;9920;1;5;1942
1050000;4;1;1330;9729;1;3;1952
320000;4;2,5;3490;5000;2;3;2003
525000;4;2;1720;6099;1;4;1949
207000;4;2,5;2100;19680;1,5;3;1914
675000;4;2,5;2990;5400;2;3;2005
598000;5;2,25;2890;12478;2;3;1977
325000;6;2;2780;13950;2,5;4;1955
305000;3;1,5;1800;12196;1;4;1966
275000;2;1;840;4000;1;3;1942
760750;3;2,5;3190;49137;2;3;1988
710000;3;2;2140;4923;1;4;1928
234500;4;2,5;1960;7875;1;3;1978
755000;2;2,5;1360;2070;2;3;1999
645000;3;2;2130;4000;2;3;1908
275000;4;1;1340;22500;1,5;3;1926
475000;3;2,5;2480;6031;2;3;2001
250000;3;2,5;1610;6600;2;3;1994
895000;4;2,75;2640;4000;2;5;1925
327500;4;1,75;1650;7800;1;3;1968
241250;3;1,75;1350;7588;1;3;1993
460000;3;1,75;1400;12155;1;4;1977
720000;4;2,5;2650;11520;2;3;1988
365000;5;2,5;2260;7040;2;3;1999
255000;3;1;1180;13650;1;4;1967
705380;3;2,5;2490;4343;2;3;2003
733000;4;2,5;2210;5002;1;3;1977
294000;2;2,5;1380;889;2;3;2012
565000;4;2,75;3260;4900;2;3;2013
814842;3;2,5;3190;6899;2;3;2014
390500;2;1,75;1460;426450;1;5;1966
842500;4;2,5;2160;5298;2,5;4;1902
269000;4;1,75;1490;10000;1;4;1969
415000;4;1;1620;4329;1,5;3;1927
465000;4;2,5;2300;7314;1;4;1979
484000;3;2,25;1620;1425;3;3;2009
375000;3;1;980;7296;1;3;1967
705000;4;2,25;2620;10536;1;3;1979
535000;3;2;2120;4080;2;3;2003
355000;2;1,75;1650;4000;1;4;1947
489000;3;2;1510;3000;1;4;1972
390000;3;1;950;3621;1;4;1947
355000;3;2,25;1980;7200;1;3;1964
405000;2;1;910;6490;1;3;1942
544000;3;2,5;1460;1613;2;3;2007
426000;2;1;640;2500;1;4;1918
3e+05;3;1,75;1210;7000;1;3;1975
425000;3;2;1540;8011;1;3;1988
267000;3;1;940;4700;1;4;1942
185000;3;1,75;1170;9085;1;3;1967
455000;4;2,5;2440;5001;2;3;2005
6e+05;3;2,75;3580;14217;2;4;1989
495000;4;2,5;2980;12075;1;3;2007
490000;4;2,5;3480;12696;1;4;1977
370000;4;1;1310;6000;1,5;3;1940
