"SEX";"MARITAL_STATUS";"AGE";"QUANT_DEPENDANTS";"MONTHS_IN_RESIDENCE";"MONTHS_IN_THE_JOB";"PERSONAL_NET_INCOME";"DELINQ"
"F";"S";27;0;180;12;3000;"1"
"M";"S";21;0;12;12;226;"0"
"M";"V";62;0;408;156;460;"0"
"M";"C";43;0;156;12;439;"0"
"M";"C";35;0;144;0;1200;"1"
"F";"S";29;0;12;12;350;"0"
"F";"O";49;0;0;180;1389;"0"
"M";"S";40;0;84;204;1194;"0"
"F";"S";43;0;24;120;797;"1"
"F";"C";37;0;156;12;800;"0"
"F";"C";36;0;72;72;385;"0"
"M";"C";33;0;24;0;1760;"0"
"F";"S";30;0;360;0;350;"0"
"M";"S";19;0;12;12;297;"1"
"F";"S";67;0;456;264;255;"0"
"F";"S";36;0;12;12;371;"0"
"M";"C";26;0;60;48;1500;"0"
"F";"C";39;0;48;240;400;"1"
"F";"O";34;0;24;36;1000;"0"
"F";"C";34;0;36;120;750;"0"
"F";"C";58;0;60;0;2000;"0"
"M";"S";19;0;228;12;280;"0"
"M";"S";20;0;84;0;200;"0"
"F";"S";21;0;132;0;518;"1"
"M";"C";26;0;12;12;650;"0"
"F";"S";44;0;108;48;239;"0"
"F";"S";32;0;240;60;190;"0"
"F";"D";37;0;108;108;446;"1"
"F";"C";46;0;144;12;385;"0"
"M";"C";43;0;480;36;430;"0"
"F";"C";40;0;168;36;650;"0"
"F";"S";22;0;96;12;392;"0"
"F";"C";51;0;120;120;1000;"0"
"F";"C";25;0;12;24;450;"0"
"M";"S";29;0;96;24;260;"0"
"F";"C";65;0;360;60;600;"0"
"F";"O";34;0;120;48;500;"0"
"F";"S";28;0;48;0;500;"0"
"F";"S";24;0;0;36;275;"0"
"F";"D";70;0;120;108;1000;"0"
"M";"C";42;0;60;24;470;"0"
"M";"S";68;0;36;12;520;"0"
"F";"C";34;0;48;144;397;"1"
"F";"S";38;0;36;0;500;"1"
"M";"O";43;0;24;12;249;"1"
"F";"C";32;0;72;72;1043;"0"
"F";"S";42;0;12;12;198;"0"
"M";"S";29;0;348;12;800;"0"
"F";"V";57;0;12;36;613;"0"
"M";"C";60;0;240;336;1380;"0"
"F";"S";20;0;240;24;258;"1"
"F";"C";63;0;480;0;10;"0"
"M";"C";39;0;12;12;1119;"0"
"F";"S";19;0;168;0;220;"1"
"M";"S";21;0;24;12;180;"0"
"F";"S";45;0;0;468;838;"1"
"M";"S";17;0;168;0;240;"0"
"M";"O";28;0;216;120;1200;"0"
"M";"C";35;0;180;36;260;"0"
"F";"S";65;0;36;168;849;"0"
"F";"S";25;0;36;12;220;"1"
"M";"C";29;0;24;60;1200;"0"
"F";"S";42;0;240;60;480;"0"
"F";"C";47;0;120;48;800;"0"
"F";"S";27;0;312;72;251;"0"
"F";"S";21;0;228;12;277;"0"
"F";"S";27;0;12;12;1200;"0"
"F";"C";29;0;12;12;270;"0"
"M";"S";20;0;240;0;850;"1"
"F";"C";46;0;252;180;980;"0"
"F";"C";34;0;420;108;1072;"0"
"F";"C";49;0;48;48;302;"0"
"M";"C";31;0;60;0;662;"0"
"F";"O";19;0;12;12;200;"1"
"F";"S";18;0;144;0;160;"0"
"F";"S";23;0;276;12;200;"0"
"M";"S";21;0;240;12;225;"0"
"F";"S";20;0;240;0;270;"1"
"F";"S";21;0;252;24;350;"0"
"F";"C";38;0;240;0;0;"0"
"F";"C";30;0;60;24;800;"0"
"F";"C";25;0;12;36;1000;"0"
"F";"S";21;0;252;0;239;"1"
"F";"C";25;0;48;24;200;"0"
"F";"S";20;0;240;12;260;"1"
"M";"C";61;0;360;96;1184;"0"
"F";"S";48;0;180;0;270;"0"
"F";"C";44;0;480;36;5000;"1"
"F";"S";19;0;24;0;500;"1"
"F";"S";27;0;12;12;220;"0"
"F";"S";74;0;156;240;1680;"0"
"F";"S";27;0;24;0;226;"0"
"M";"O";29;0;120;0;600;"1"
"M";"C";58;0;420;144;2500;"0"
"M";"S";30;0;36;72;615;"1"
"M";"S";37;0;240;60;800;"0"
"F";"S";48;0;180;12;180;"1"
"F";"V";37;0;192;108;379;"0"
"F";"D";33;0;72;12;400;"0"
"F";"S";22;0;24;72;200;"1"
"M";"S";20;0;0;24;222;"0"
"F";"V";59;0;240;0;1176;"0"
"M";"S";36;0;36;12;763;"0"
"F";"S";30;0;24;0;220;"1"
"F";"S";28;0;12;12;579;"0"
"F";"S";19;0;168;12;360;"0"
"F";"C";27;0;84;36;196;"0"
"F";"S";18;0;120;12;350;"0"
"M";"C";50;0;156;300;793;"0"
"F";"C";36;0;240;12;250;"0"
"F";"S";55;0;276;60;2900;"0"
"F";"C";64;0;240;360;600;"0"
"F";"S";33;0;48;12;594;"0"
"F";"S";24;0;264;72;350;"0"
"M";"S";20;0;240;0;200;"0"
"F";"S";21;0;48;0;500;"1"
"F";"S";21;0;252;12;190;"1"
"F";"S";39;0;228;0;800;"0"
"M";"S";21;0;180;12;220;"0"
"F";"S";29;0;12;0;500;"0"
"F";"S";24;0;288;36;700;"1"
"M";"V";49;0;180;96;374;"0"
"M";"C";37;0;12;48;226;"0"
"M";"C";39;0;60;72;325;"0"
"M";"S";25;0;120;0;180;"0"
"F";"S";21;0;252;12;400;"0"
"M";"C";44;0;108;36;220;"0"
"F";"S";21;0;216;12;432;"0"
"F";"S";39;0;204;12;180;"0"
"F";"S";36;0;144;36;400;"0"
"F";"C";47;0;180;0;500;"0"
"F";"S";23;0;24;36;700;"1"
"M";"S";20;0;12;48;500;"1"
"F";"S";34;0;324;12;180;"0"
"F";"C";37;0;96;24;500;"1"
"F";"D";39;0;468;72;611;"0"
"F";"S";70;0;168;0;1057;"0"
"M";"S";21;0;192;0;0;"0"
"F";"S";26;0;168;12;468;"0"
"F";"S";56;0;36;24;414;"0"
"F";"S";29;0;336;12;244;"0"
"F";"D";38;0;24;192;3200;"0"
"M";"C";42;0;60;24;200;"0"
"F";"S";41;0;72;0;660;"0"
"F";"S";23;0;48;12;274;"1"
"F";"S";29;0;192;84;409;"0"
"M";"C";43;0;36;60;1500;"0"
"F";"C";26;0;12;12;1200;"0"
"F";"S";20;0;216;0;270;"0"
"F";"S";24;0;180;24;250;"0"
"F";"C";39;0;24;180;2000;"0"
"F";"C";38;0;216;12;400;"0"
"F";"S";26;0;312;0;270;"1"
"F";"C";39;0;444;12;1400;"0"
"F";"C";29;0;96;36;600;"0"
"F";"S";24;0;288;48;1150;"0"
"F";"S";18;0;24;24;785;"0"
"F";"S";27;0;24;0;550;"0"
"F";"C";48;0;576;60;3336;"0"
"M";"S";31;0;240;96;325;"0"
"F";"S";20;0;60;24;250;"0"
"M";"C";44;0;72;252;3900;"0"
"F";"S";22;0;132;24;236;"1"
"F";"S";21;0;252;12;230;"0"
"M";"S";22;0;144;12;795;"1"
"M";"C";61;0;96;276;968;"0"
"F";"S";36;0;396;60;600;"0"
"M";"S";33;0;216;36;450;"0"
"F";"C";25;0;108;96;400;"0"
"F";"O";63;0;36;60;180;"0"
"F";"S";35;0;24;24;294;"0"
"F";"V";57;0;360;204;265;"0"
"F";"S";19;0;228;12;450;"0"
"F";"S";32;0;96;12;230;"0"
"F";"O";38;0;216;240;1355;"0"
"F";"C";32;0;24;12;1000;"1"
"F";"C";19;0;120;24;300;"0"
"F";"C";45;0;360;48;510;"0"
"M";"C";32;0;12;60;351;"0"
"F";"S";41;0;492;24;360;"1"
"M";"C";35;0;36;96;1100;"0"
"M";"V";61;0;480;0;229;"1"
"F";"S";27;0;120;0;250;"0"
"F";"S";27;0;72;48;430;"0"
"F";"C";43;0;36;216;271;"0"
"F";"S";50;0;420;96;180;"0"
"F";"S";49;0;264;0;0;"0"
"M";"S";24;0;96;24;1220;"1"
"F";"S";35;0;408;12;500;"1"
"M";"C";42;0;12;288;3500;"0"
"F";"C";37;0;48;12;200;"0"
"M";"C";34;0;36;132;189;"0"
"F";"C";32;0;360;0;250;"1"
"F";"V";75;0;540;336;3495;"0"
"F";"S";44;0;240;240;500;"0"
"M";"S";21;0;12;12;400;"1"
"F";"S";20;0;240;0;236;"0"
"M";"C";28;0;336;12;330;"0"
"F";"S";22;0;180;24;300;"0"
"F";"C";81;0;12;0;530;"0"
"F";"S";18;0;216;12;450;"0"
"F";"C";20;0;0;12;1000;"0"
"F";"S";36;0;60;0;270;"0"
"F";"S";20;0;60;36;180;"0"
"F";"S";30;0;132;12;189;"0"
"F";"S";21;0;252;12;241;"0"
"M";"S";25;0;120;60;500;"0"
"F";"S";27;0;12;24;260;"0"
"F";"O";21;0;36;36;300;"0"
"F";"S";20;0;192;36;500;"0"
"F";"S";27;0;324;12;535;"0"
"F";"S";27;0;24;84;800;"0"
"M";"S";42;0;12;12;265;"0"
"F";"O";30;0;12;12;732;"0"
"F";"V";68;0;48;144;180;"1"
"F";"O";45;0;348;12;1328;"0"
"F";"S";27;0;180;0;1200;"1"
"F";"S";19;0;96;12;189;"1"
"F";"S";38;0;36;48;380;"0"
"M";"C";18;0;144;0;223;"0"
"F";"S";24;0;288;12;400;"1"
"F";"S";42;0;168;0;270;"0"
"F";"S";26;0;12;36;480;"0"
"F";"C";42;0;108;228;1558;"0"
"F";"V";49;0;120;0;336;"0"
"M";"C";38;0;420;240;620;"0"
"F";"C";39;0;456;24;200;"0"
"M";"S";23;0;12;48;280;"0"
"F";"S";36;0;432;156;267;"0"
"F";"D";22;0;60;0;380;"0"
"F";"C";19;0;12;12;447;"0"
"F";"C";47;0;564;300;500;"0"
"M";"S";20;0;300;12;220;"0"
"M";"S";34;0;120;132;395;"0"
"F";"S";29;0;168;12;190;"0"
"M";"S";19;0;36;12;375;"0"
"M";"S";43;0;24;240;800;"1"
"M";"S";48;0;12;12;821;"0"
"F";"S";29;0;36;0;400;"0"
"F";"C";54;0;240;12;600;"0"
"F";"C";39;0;420;120;200;"0"
"F";"S";30;0;324;36;530;"0"
"F";"C";50;0;264;240;600;"0"
"F";"V";54;0;216;0;1000;"0"
"M";"C";39;0;228;0;440;"0"
"M";"S";38;0;456;0;637;"0"
"F";"S";27;0;12;12;500;"0"
"M";"C";28;0;12;144;2800;"1"
"F";"C";51;0;240;240;0;"1"
"M";"S";20;0;240;12;382;"0"
"M";"S";21;0;120;12;460;"0"
"M";"S";32;0;144;120;350;"0"
"M";"C";47;0;264;12;1000;"0"
"M";"O";29;0;96;0;220;"1"
"F";"C";38;0;12;0;815;"0"
"F";"C";38;0;312;84;1636;"0"
"M";"S";31;0;372;12;200;"1"
"F";"S";20;0;36;0;216;"0"
"F";"C";55;0;24;24;1137;"0"
"M";"C";72;0;492;276;447;"0"
"F";"V";35;0;12;0;180;"0"
"M";"O";39;0;408;252;1385;"0"
"F";"S";20;0;36;12;220;"0"
"F";"S";22;0;36;0;150;"0"
"M";"S";20;0;240;72;400;"0"
"F";"C";41;0;60;0;375;"0"
"F";"S";30;0;24;168;600;"0"
"F";"S";24;0;72;12;350;"0"
"F";"O";45;0;12;0;450;"0"
"F";"S";29;0;96;96;600;"0"
"M";"S";21;0;252;12;221;"0"
"M";"S";20;0;240;12;500;"0"
"F";"S";20;0;0;0;300;"1"
"F";"O";35;0;360;12;450;"0"
"F";"V";74;0;180;480;540;"0"
"F";"S";19;0;0;0;260;"1"
"F";"C";28;0;336;12;848;"0"
"F";"S";20;0;48;0;500;"1"
"F";"S";24;0;12;0;500;"0"
"F";"C";38;0;444;60;500;"0"
"F";"S";23;0;36;12;225;"0"
"M";"C";43;0;120;72;2000;"0"
"F";"S";28;0;96;12;760;"0"
"F";"C";39;0;216;0;290;"0"
"F";"C";25;0;36;12;320;"1"
"F";"S";60;0;300;36;650;"0"
"F";"S";18;0;216;0;1000;"0"
"F";"C";42;0;144;24;800;"0"
"M";"S";24;0;120;60;3100;"0"
"M";"C";51;0;12;12;319;"1"
"F";"S";69;0;0;600;8000;"0"
"F";"S";42;0;72;240;923,23;"0"
"M";"C";48;0;252;0;540;"0"
"F";"C";45;0;60;60;600;"0"
"F";"C";31;0;72;60;500;"0"
"M";"O";26;0;300;84;440;"1"
"F";"S";26;0;144;24;180;"0"
"M";"S";21;0;72;24;280;"0"
"F";"S";37;0;444;216;539;"0"
"F";"C";60;0;372;0;6212;"0"
"F";"V";59;0;264;12;963;"1"
"M";"S";23;0;132;60;700;"0"
"M";"C";36;0;432;0;270;"0"
"F";"V";53;0;360;84;480;"0"
"F";"V";67;0;144;0;1131;"0"
"M";"C";31;0;120;84;470;"0"
"M";"S";22;0;48;12;581;"0"
"M";"C";63;0;480;36;1200;"0"
"F";"C";42;0;240;228;1657;"0"
"F";"C";29;0;12;24;450;"1"
"F";"C";23;0;96;24;595;"1"
"F";"C";18;0;0;0;400;"0"
"F";"S";20;0;240;12;268;"0"
"F";"C";39;0;108;12;200;"0"
"M";"C";31;0;144;12;570;"0"
"F";"V";52;0;336;0;760;"0"
"F";"S";37;0;36;48;205;"0"
"F";"V";54;0;144;0;309;"0"
"F";"S";19;0;240;0;1000;"0"
"F";"C";59;0;420;24;253;"0"
"F";"C";48;0;192;120;427;"0"
"F";"S";35;0;420;0;413;"0"
"F";"S";34;0;72;12;500;"1"
"F";"S";50;0;192;60;370;"0"
"F";"C";47;0;12;12;1000;"1"
"M";"C";30;0;120;0;2000;"1"
"M";"S";25;0;240;48;700;"0"
"F";"S";43;0;120;0;300;"0"
"M";"C";31;0;36;12;352;"0"
"F";"V";43;0;360;120;180;"0"
"F";"D";47;0;0;24;500;"0"
"F";"C";39;0;468;0;200;"0"
"F";"S";42;0;36;264;450;"0"
"M";"O";42;0;504;156;1100;"0"
"M";"S";18;0;168;12;381;"0"
"M";"S";31;0;12;0;719;"0"
"F";"S";19;0;60;12;334;"0"
"F";"S";39;0;96;24;700;"0"
"F";"V";68;0;204;0;180;"0"
"M";"C";44;0;144;276;1874;"0"
"F";"C";66;0;240;0;764;"0"
"M";"C";25;0;12;24;400;"0"
"F";"S";42;0;36;84;376;"0"
"F";"C";25;0;24;12;200;"1"
"M";"S";38;0;204;12;250;"1"
"F";"S";48;0;12;0;800;"0"
"F";"S";27;0;324;0;200;"1"
"F";"O";46;0;120;96;430;"0"
"F";"V";63;0;576;240;400;"0"
"F";"C";23;0;60;0;0;"0"
"F";"V";53;0;12;180;335;"0"
"F";"C";44;0;108;276;1287;"0"
"F";"S";19;0;228;0;350;"0"
"F";"C";26;0;36;12;600;"0"
"M";"S";24;0;60;36;303;"1"
"F";"C";58;0;60;0;600;"0"
"M";"C";33;0;96;96;360;"0"
"M";"S";39;0;300;240;480;"1"
"F";"S";51;0;240;288;1130;"0"
"F";"V";47;0;120;216;326;"0"
"M";"S";23;0;24;0;1500;"1"
"M";"C";40;0;120;36;715;"0"
"F";"S";36;0;12;72;294;"0"
"F";"S";33;0;60;0;300;"1"
"F";"S";22;0;36;24;450;"0"
"M";"C";30;0;24;156;1300;"1"
"F";"S";33;0;192;12;800;"0"
"F";"C";31;0;192;36;400;"0"
"F";"O";32;0;96;144;600;"0"
"M";"S";40;0;432;252;2000;"0"
"F";"S";23;0;12;12;400;"1"
"M";"S";35;0;180;180;800;"0"
"M";"S";23;0;240;12;608;"0"
"M";"V";51;0;192;60;688;"0"
"M";"C";35;0;72;48;400;"0"
"M";"S";38;0;24;24;1200;"0"
"F";"C";57;0;36;180;600;"0"
"F";"D";28;0;108;60;1465;"0"
"M";"C";48;0;336;12;1090;"0"
"F";"C";39;0;120;60;800;"0"
"F";"O";34;0;24;0;900;"0"
"F";"S";44;0;180;228;476;"0"
"F";"S";38;0;12;12;700;"1"
"F";"S";46;0;0;180;500;"0"
"F";"C";42;0;12;120;398;"0"
"M";"S";31;0;84;12;316;"0"
"F";"S";28;0;12;0;400;"0"
"F";"S";21;0;12;24;400;"1"
"F";"S";23;0;132;84;900;"0"
"F";"C";36;0;408;60;257;"0"
"F";"S";43;0;12;0;0;"0"
"F";"S";23;0;276;12;513;"1"
"F";"S";29;0;336;12;220;"0"
"F";"S";35;0;48;12;475;"1"
"F";"S";29;0;348;48;280;"0"
"F";"C";42;0;360;84;450;"0"
"F";"C";47;0;72;276;3000;"0"
"M";"S";24;0;12;36;500;"0"
"M";"C";49;0;216;96;900;"0"
"F";"O";48;0;228;0;1000;"0"
"F";"S";19;0;216;12;216;"0"
"F";"S";20;0;72;0;550;"1"
"F";"C";23;0;60;12;200;"1"
"F";"C";40;0;240;72;355;"0"
"M";"C";29;0;12;12;900;"0"
"F";"S";20;0;12;24;800;"0"
"F";"C";49;0;300;36;700;"0"
"F";"C";36;0;96;12;557;"0"
"M";"C";51;0;192;72;724;"0"
"F";"C";47;0;480;300;1500;"0"
"F";"O";51;0;180;12;839;"1"
"F";"D";38;0;108;24;885;"1"
"M";"S";21;0;252;0;208;"0"
"F";"D";51;0;276;240;650;"0"
"M";"D";33;0;240;12;370;"0"
"F";"S";25;0;264;12;503;"0"
"M";"S";18;0;12;12;260;"0"
"F";"C";40;0;144;12;1000;"0"
"M";"C";31;0;360;24;875;"0"
"F";"S";69;0;12;216;1000;"0"
"M";"C";60;0;252;12;2028;"0"
"F";"S";19;0;24;12;342;"0"
"F";"O";37;0;168;0;400;"0"
"F";"S";35;0;48;120;1190;"0"
"F";"O";35;0;12;72;1252;"0"
"M";"D";55;0;24;36;900;"1"
"F";"S";53;0;120;120;1600;"0"
"F";"V";71;0;12;36;180;"0"
"F";"S";22;0;264;24;250;"0"
"F";"S";31;0;372;120;450;"0"
"F";"C";42;0;36;24;360;"0"
"F";"C";24;0;12;12;500;"0"
"M";"O";32;0;384;48;1500;"0"
"M";"C";51;0;120;48;1620;"0"
"F";"C";27;0;108;12;220;"0"
"F";"S";53;0;216;0;500;"1"
"F";"D";33;0;12;72;300;"0"
"F";"S";33;0;12;12;250;"0"
"M";"S";20;0;204;12;489;"0"
"F";"S";22;0;24;12;700;"0"
"M";"D";48;0;576;36;700;"0"
"F";"C";49;0;84;132;384;"0"
"M";"C";41;0;300;108;448;"1"
"F";"C";24;0;12;12;800;"0"
"M";"S";22;0;12;48;350;"1"
"F";"C";25;0;84;12;330;"1"
"M";"S";23;0;276;48;1005;"0"
"F";"S";30;0;24;36;220;"0"
"F";"C";24;0;240;0;180;"0"
"M";"S";20;0;240;24;262;"0"
"F";"C";37;0;180;12;900;"0"
"F";"S";19;0;120;0;180;"0"
"F";"C";38;0;120;0;279;"0"
"M";"C";71;0;300;96;800;"0"
"F";"S";23;0;12;60;500;"0"
"F";"S";37;0;120;36;960;"0"
"M";"C";35;0;12;12;566;"1"
"M";"S";30;0;360;84;398;"0"
"F";"S";51;0;108;0;0;"0"
"M";"C";44;0;312;12;436;"1"
"F";"C";35;0;180;180;350;"0"
"M";"S";19;0;12;36;277;"0"
"F";"C";34;0;96;0;500;"1"
"F";"S";25;0;240;12;250;"0"
"F";"C";51;0;84;360;2160;"0"
"M";"C";30;0;60;12;1000;"0"
"F";"C";40;0;36;156;1100;"0"
"F";"C";22;0;120;12;458;"0"
"M";"S";19;0;132;12;319;"1"
"F";"C";47;0;324;0;600;"1"
"F";"S";40;0;72;36;704;"0"
"F";"S";23;0;36;12;271;"0"
"M";"C";49;0;240;288;570;"0"
"F";"C";42;0;240;12;151;"0"
"M";"C";36;0;72;36;286;"0"
"F";"C";47;0;12;0;0;"0"
"F";"V";39;0;24;24;800;"0"
"F";"C";48;0;240;0;0;"0"
"F";"S";22;0;36;12;231;"1"
"F";"S";18;0;216;12;237;"1"
"F";"S";26;0;300;0;304;"1"
"M";"C";43;0;108;12;1125;"1"
"M";"S";37;0;36;12;490;"0"
"F";"C";51;0;276;24;278;"0"
"F";"C";25;0;300;24;720;"0"
"M";"S";24;0;240;24;220;"0"
"F";"C";58;0;264;12;320;"0"
"F";"S";55;0;360;312;4670;"0"
"F";"S";27;0;36;0;852;"0"
